# y_px x_px vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 0 -3.432918330355222452e+02 3.036128394967128088e+02 9.999999740875771259e-01 3.153517459613200558e+01 3.022572060744028732e+01
0 1 -3.444084518304702556e+02 2.437438703018744377e+02 1.000000023441868668e+00 2.567259046369013475e+01 2.569109295625025879e+01
0 2 -3.274987662071366117e+02 3.923176914046382535e+02 9.999999646209242199e-01 3.102087908489469825e+01 2.816272080113736109e+01
0 3 -2.707018821136952624e+02 3.205778224706691617e+02 1.000000024723904479e+00 2.767850183276253162e+01 2.684571645913215932e+01
0 4 -3.319989418108528412e+02 3.048866523339564196e+02 1.000000005021685290e+00 2.449887081212449758e+01 2.410147231646442734e+01
0 5 -3.207181558004554063e+02 2.939709839605611705e+02 9.999999901922718148e-01 2.498516739274903031e+01 2.365582576264370118e+01
0 6 -3.137122789502167848e+02 2.797153098692234039e+02 9.999999913839681120e-01 1.891292339126268018e+01 1.850007286749510271e+01
0 7 -2.818708038865613617e+02 3.158403538414938794e+02 9.999999997755122383e-01 1.991056102400015249e+01 1.839946300049629357e+01
0 8 -3.070868154340018918e+02 3.171342797682991090e+02 1.000000006897865834e+00 2.191347067715930663e+01 2.109427902797191479e+01
0 9 -3.346916450556828408e+02 3.330964935849485187e+02 1.000000026183567536e+00 2.209912122924713884e+01 2.119339375089688104e+01
0 10 -2.863720822230367844e+02 2.545601974510209118e+02 1.000000047571743433e+00 1.775344846534729371e+01 1.895179338476357600e+01
0 11 -3.335564660696658166e+02 3.074782669199874476e+02 9.999999904428592545e-01 1.668707824353523250e+01 1.702647714216229247e+01
0 12 -3.163985664254491894e+02 2.974003568362082319e+02 1.000000030038231680e+00 1.657844452131247692e+01 1.636979855303547637e+01
0 13 -2.999696876680043829e+02 2.700645767983206724e+02 9.999999690248828621e-01 1.819250149474473943e+01 1.802642479710610246e+01
0 14 -3.161165195241011361e+02 2.709891694751569275e+02 9.999999697647530272e-01 1.563455131428672473e+01 1.535334068284564601e+01
