# y_px x_px vel(km/s) disp(km/s)
0 0 9.969721729673734444e+03 3.293765706821322965e+02
0 1 1.003675439415714391e+04 3.194763932702863940e+02
0 2 9.997811704035531875e+03 3.226540657398768417e+02
0 3 1.002004110412680348e+04 2.994370284490888707e+02
0 4 9.991306309240300834e+03 3.242455229779407659e+02
0 5 9.991561562347762447e+03 3.242887689028706859e+02
0 6 9.994013881525550460e+03 3.397126469778620503e+02
0 7 9.992296981142248114e+03 3.506673991829704278e+02
0 8 1.000276852708219667e+04 3.130239345491445420e+02
0 9 1.000287574652264084e+04 3.305211187806908697e+02
1 0 9.994237656576317022e+03 3.346371640610701661e+02
1 1 9.975106068164301178e+03 3.295809730036694987e+02
1 2 1.000299120306060468e+04 3.272328379502997677e+02
1 3 9.983412678005139242e+03 3.542082346294584454e+02
1 4 9.982988745505766929e+03 3.301455699737270493e+02
1 5 1.001432909710651620e+04 3.315240085499857514e+02
1 6 9.991730163537362387e+03 3.189507620583315770e+02
1 7 9.990599349025083939e+03 3.086251462981612690e+02
1 8 9.990411898630827636e+03 3.070750716434689025e+02
1 9 1.000265362945099150e+04 3.157706696248846470e+02
2 0 9.994378503414653096e+03 3.267787063451064569e+02
2 1 9.976424459248422863e+03 3.461395867832854378e+02
2 2 9.992189674304974687e+03 3.234836402604794898e+02
2 3 9.983637285072836676e+03 3.414561019239523603e+02
2 4 9.985582762392976292e+03 3.500848988899007281e+02
2 5 9.997170417336395985e+03 3.391399225226909380e+02
2 6 9.989753399720540983e+03 3.321745095423976863e+02
2 7 9.983271277527852362e+03 3.339447520741029507e+02
2 8 9.999302862015272694e+03 3.377953362025985484e+02
2 9 1.000514957283238618e+04 3.392148758904275496e+02
3 0 1.001126025086142363e+04 3.109336618566607626e+02
3 1 9.996951142682792124e+03 3.221665300729797536e+02
3 2 1.000441240952743283e+04 3.430359854136548847e+02
3 3 9.989767147266691609e+03 3.632702028597558979e+02
3 4 9.989361280404622448e+03 3.590779424663639361e+02
3 5 9.995376260361850655e+03 3.678787016148264684e+02
