# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 -301 3.734929192190298295e+02 7.314650809722833547e-01 9.399920907813946513e+00 8.717139487442482348e+00
1 -317 3.748978102237082339e+02 1.728599999400262766e+00 4.991715612561874238e+00 4.945433659668129422e+00
2 -317 3.724441037245459825e+02 2.068325584118577698e+00 4.603742841454383949e+00 4.206521212303234947e+00
3 -324 3.662638465721387888e+02 2.195702154608885959e+00 4.572350470750987661e+00 4.226547688398446745e+00
4 -316 3.598433348835036441e+02 2.292063464482962498e+00 4.219032868473363784e+00 4.163674287078720226e+00
5 -318 3.498379408506856407e+02 2.314147840929010602e+00 4.195591007902550018e+00 3.899296591303905046e+00
6 -320 3.415204566329264821e+02 2.607323136054489510e+00 3.913203139309610723e+00 3.858672616887013795e+00
7 -319 3.403297147439253649e+02 2.520228144761384570e+00 3.980777470750318070e+00 3.988191026055967203e+00
8 -318 3.343719779427842695e+02 2.758126713385390172e+00 3.949112402746761230e+00 3.946528062538572801e+00
9 -320 3.293788006063044804e+02 2.222030870427265992e+00 4.066887299548572976e+00 3.831616508634163143e+00
10 -321 3.208116961514199375e+02 2.283468099165792076e+00 4.243865395959497633e+00 4.016891697886249446e+00
11 -321 3.242056143982517824e+02 2.025252112482897271e+00 4.131777840801424517e+00 3.890805828850274040e+00
12 -322 3.191949477191743085e+02 1.929781046945471035e+00 4.069258928970996614e+00 3.638199329795853032e+00
13 -320 3.162701544273294871e+02 2.194168809849707191e+00 4.050874119762714720e+00 3.845300632118881623e+00
14 -307 3.255456536155134017e+02 2.125979845747665298e+00 4.249487816222169201e+00 4.236051578247147731e+00
15 -323 3.186639076369057761e+02 2.133779430723253157e+00 4.734656143384362359e+00 4.475356222204548651e+00
16 -315 3.125390806249116054e+02 2.073359438500344432e+00 4.292994806855469747e+00 4.079553284301407956e+00
17 -326 3.250418965054308273e+02 1.869536545518720949e+00 4.493830859366299002e+00 4.250038690739958547e+00
18 -316 3.176690194937732485e+02 1.700503646947233882e+00 4.205299701372648968e+00 3.968851829089122152e+00
19 -315 3.174085810005448707e+02 1.736901984093614182e+00 4.323937772558278603e+00 4.121885098427200411e+00
20 -319 3.174795010954026111e+02 1.621657891641423932e+00 4.561784507633247721e+00 4.319889105774182170e+00
21 -321 3.155902708144815279e+02 1.654299031402738596e+00 4.180049516790754538e+00 4.127822297860279654e+00
22 -315 3.106539078384407730e+02 1.616899865121157909e+00 4.025587412770651241e+00 4.036434428806059849e+00
23 -310 3.156575688192501161e+02 1.786132909426084048e+00 4.781095290985861723e+00 4.437996803226535114e+00
24 -321 3.097933863259310669e+02 1.829777753371155447e+00 4.675014981053755569e+00 4.467645166780059185e+00
25 -312 3.016707535728032781e+02 1.616954112746298078e+00 4.378439851167556185e+00 4.213619345874436206e+00
26 -315 3.017446487234354890e+02 1.619220810518479103e+00 4.691324931507394602e+00 4.509137638515798407e+00
27 -323 3.040307846840020147e+02 1.650637628536065105e+00 4.716596247736513980e+00 4.501715775587197932e+00
28 -313 3.010710454816432957e+02 1.727016639691785205e+00 4.761066267618945247e+00 4.556461640240496713e+00
29 -320 2.978155346537998298e+02 1.776539450575997492e+00 4.910816153450491051e+00 4.699340545813864622e+00
30 -321 2.998815960954933644e+02 1.854543112158634655e+00 5.357660659739820197e+00 5.180300400093598157e+00
31 -325 2.877122384072362138e+02 1.534618397822977043e+00 5.304779228870179608e+00 5.067484802815915401e+00
32 -320 2.931463608347341960e+02 1.613439237018606143e+00 4.793772278678756216e+00 4.853552747148539126e+00
33 -324 2.934916266332263035e+02 1.768115829559969043e+00 5.826032953071785592e+00 5.529387220480297849e+00
34 -317 2.923497869304808887e+02 1.322883222365084377e+00 5.608354758961058728e+00 4.873444093166535040e+00
35 -313 2.847549033707257990e+02 1.520615872952053804e+00 5.583652900609151537e+00 5.511633072284998214e+00
36 -321 2.922255486108779792e+02 1.443302999116387264e+00 5.631702164557904844e+00 5.664240255690082826e+00
37 -316 2.902892732926346184e+02 1.492396926431537096e+00 6.185841617488384792e+00 6.208506541604598361e+00
38 -329 2.760260113672499074e+02 1.518246778275808673e+00 7.318026092328910437e+00 7.259985464460219973e+00
39 -334 2.844310795926222113e+02 1.473978536080378765e+00 8.689498555014028014e+00 8.484210230881501502e+00
40 -324 2.695098632032657520e+02 1.244776206346679404e+00 8.133838020635977273e+00 7.859268782583940016e+00
41 -306 2.831431443376219477e+02 1.409158014743653764e+00 1.030014227891137146e+01 1.021108308124804864e+01
42 -290 2.822242115194144958e+02 1.403622946204451605e+00 1.078446446777591383e+01 1.033913878911606510e+01
43 -309 3.137388273402597747e+02 1.288752562827223613e+00 1.388050408278967751e+01 1.410622697043028317e+01
44 -298 3.026163341400992408e+02 1.311662218920711664e+00 1.683391851016067164e+01 1.620766581444932442e+01
45 -310 2.990960626831571290e+02 1.296374600606297944e+00 1.810744472109987058e+01 1.710038060532633963e+01
46 -298 2.617243045955062257e+02 1.384399256376537712e+00 1.638903719932012137e+01 1.637417878309942054e+01
47 -331 2.878488802901752024e+02 1.309843002127299094e+00 1.769611508408692657e+01 1.826495596067765703e+01
48 -312 2.839228341702647072e+02 1.298711967640871823e+00 2.294025076430424548e+01 2.142846266763969609e+01
49 -320 2.640092745595419501e+02 1.290000240069259174e+00 2.288183733166691880e+01 2.322675034202923428e+01
50 -308 3.033666843577208851e+02 1.318400544822720732e+00 3.607977394984786912e+01 3.634559908864910938e+01
