# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 -302 3.570256013103734745e+02 6.349549532259349816e-01 1.304971401566252709e+01 8.506347569238187134e+00
1 -312 3.547898582368650864e+02 1.021599227303351176e+00 4.505962680692070954e+00 4.422955604236439520e+00
2 -317 3.529343756860679946e+02 9.035495014923669022e-01 3.661430136198051244e+00 3.403410987536277688e+00
3 -327 3.454730323768561107e+02 9.838016624308257851e-01 3.063231123631029895e+00 3.329398505728322633e+00
4 -317 3.374853059889226188e+02 9.950150759068498996e-01 3.657198568812665140e+00 3.418380455180503041e+00
5 -318 3.301657196168620771e+02 1.096736219673869916e+00 3.085396279443384238e+00 2.936457187443961114e+00
6 -319 3.239968434380315898e+02 1.134352885782853981e+00 2.789704795917081537e+00 3.160337962097606201e+00
7 -320 3.199514326489689324e+02 1.083136454747691824e+00 2.943543213466953468e+00 2.909675460322883822e+00
8 -317 3.123947158501335366e+02 1.231524485826230197e+00 2.951857711543444562e+00 3.131133877875678095e+00
9 -320 3.081667447817158063e+02 1.068559677302580280e+00 3.151285684195769043e+00 2.984632338098752946e+00
10 -321 3.005315368296672887e+02 9.739715626869539511e-01 2.873542751645589810e+00 3.125746032335699809e+00
11 -321 3.081788117590276670e+02 1.032479469114912840e+00 2.957272273736028190e+00 3.204873428196562291e+00
12 -320 3.017826397838007324e+02 1.011277943447946193e+00 3.136871258082505776e+00 3.144815267409573067e+00
13 -318 2.980258052637587411e+02 1.207312625016129681e+00 3.095018847021925090e+00 3.251953281128922679e+00
14 -307 3.041018004664961722e+02 1.159166140581637139e+00 3.466874663658503941e+00 3.692075649132446014e+00
15 -322 3.047309191803552721e+02 1.133125911978227762e+00 3.856772515287905989e+00 3.923534781069219601e+00
16 -316 2.970648909549900623e+02 1.153803848406332877e+00 3.247509304430815202e+00 3.562276100831303971e+00
17 -324 3.076669030736504169e+02 1.114715546963956472e+00 3.871215191164563585e+00 3.754702663098761217e+00
18 -312 3.026075356775276646e+02 1.102010659710369378e+00 4.123723550610904454e+00 3.827834416922836880e+00
19 -313 3.007830728254091923e+02 1.002694949406362834e+00 3.975180660526622223e+00 3.808459977738014146e+00
20 -319 2.990675553214205138e+02 9.812541426858147897e-01 3.719544359195616767e+00 3.961814191826562137e+00
21 -323 2.974330088305958384e+02 1.062491035780454451e+00 4.565178948153622684e+00 4.204628919220792405e+00
22 -315 2.946980324373618032e+02 1.007131146230678009e+00 3.888650343590088543e+00 3.909811997129336802e+00
23 -309 2.949918827522341189e+02 1.057087960430309836e+00 3.830920751815565684e+00 3.845218191608577918e+00
24 -320 2.919580416246730010e+02 1.200052786548271300e+00 4.118270333904423985e+00 4.187427823122779280e+00
25 -312 2.853917444565123560e+02 1.102632424933124966e+00 4.580395858381796970e+00 4.328619367402946061e+00
26 -312 2.841212110417538952e+02 1.207888946586271661e+00 4.906536752870289675e+00 4.376522302812930754e+00
27 -322 2.935777904997432870e+02 1.141943234855990807e+00 4.188928529297960779e+00 4.338200048170981482e+00
28 -313 2.830523152834313692e+02 1.294400650753527948e+00 4.710132969751115617e+00 4.472315585828432916e+00
29 -322 2.811682816247446794e+02 1.343598242451727209e+00 5.550403683235477281e+00 4.874317533503038646e+00
30 -320 2.827439895917202648e+02 1.382566588720380629e+00 5.665029427814478602e+00 5.222108443275650380e+00
31 -324 2.739373915630553711e+02 1.196768098790789381e+00 5.915718324568654651e+00 5.081425139007120784e+00
32 -322 2.785208361266446673e+02 1.256589534684995568e+00 5.181652852246021901e+00 4.967595424155224926e+00
33 -325 2.750002544924028598e+02 1.324374605512103953e+00 5.462857420006801412e+00 5.620929464156042776e+00
34 -312 2.743169390255681606e+02 1.125079941057670840e+00 5.227432057720656111e+00 5.517202954081730226e+00
35 -311 2.805500263496674052e+02 1.305178090644211641e+00 8.246824617849998873e+00 5.970947801439437264e+00
36 -317 2.833632317788351429e+02 1.195348001776188163e+00 6.235064447226686291e+00 5.973343038117159054e+00
37 -312 2.724139017738614825e+02 1.233461191710083060e+00 6.149795640889254678e+00 6.931818538340376534e+00
38 -309 2.528882176805489053e+02 1.287768515443974415e+00 1.313010125210666246e+01 7.694906879211734108e+00
39 -334 2.656675845995590635e+02 1.355603109329743816e+00 1.444270961213622329e+01 9.951973915466428622e+00
40 -325 2.576798376699688333e+02 1.126329938567051991e+00 1.358181213629739226e+01 8.129178461601691552e+00
41 -308 2.703396538118181525e+02 1.267811647056675595e+00 1.089460228601989300e+01 1.090244436578208109e+01
42 -284 2.689363700898679213e+02 1.331804353299104848e+00 1.089869950948386723e+01 1.138044603531382926e+01
43 -310 2.975829728750095455e+02 1.212917137616139618e+00 1.500567754719077307e+01 1.480379222138691198e+01
44 -312 2.918079223746904631e+02 1.259256776392674970e+00 3.283302171852523799e+01 1.589736742125645996e+01
45 -300 2.831963453657998002e+02 1.170686236594180585e+00 1.611619564081026823e+01 1.743567770401122985e+01
46 -296 2.510469729340033211e+02 1.290310370785809457e+00 2.406807509548992385e+01 1.658003405084218684e+01
47 -344 2.595943075616467013e+02 1.201429979619355715e+00 2.524537746114835102e+01 1.766148987804569970e+01
48 -307 2.829148092162277521e+02 1.207700827312061298e+00 2.184491167084744134e+01 2.219752828919628840e+01
49 -305 2.556355683070630960e+02 1.226887045311127133e+00 2.601967883498631551e+01 2.134974323288809117e+01
50 -276 2.546328929370143612e+02 1.250393017098429649e+00 2.959883537528381581e+01 2.938394582367222441e+01
