# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 -2.997854158241516984e+02 3.787304291953307711e+02 7.548920159237266780e-01 8.622586680061003150e+00 8.387762499460141186e+00
1 -3.139643036479697003e+02 3.831773446360630260e+02 1.992082372315635119e+00 5.331662520095595603e+00 5.108810935321612234e+00
2 -3.150074228037007060e+02 3.771851790299708114e+02 2.308362720492695974e+00 4.289971691724205449e+00 4.226450839754016364e+00
3 -3.217619546509223483e+02 3.742142936157987378e+02 2.625963305567885264e+00 4.395396372832270693e+00 4.334161719194295159e+00
4 -3.170412871014343068e+02 3.647673814009643820e+02 2.849801503657581669e+00 4.506932924398011409e+00 4.403864779175767907e+00
5 -3.184623977529652734e+02 3.554873433270971077e+02 2.805000823314191649e+00 4.117168435338515842e+00 4.036724707288104952e+00
6 -3.179413351980638822e+02 3.472922629940411525e+02 3.125332535629573805e+00 4.107050596937464881e+00 4.000470843324165138e+00
7 -3.189819508684433345e+02 3.467539514459515431e+02 3.243748532179189237e+00 4.422013659551908837e+00 4.315071522003155913e+00
8 -3.164810172097083409e+02 3.399365044232560535e+02 3.225692253174980983e+00 4.141800492971548842e+00 4.028529776857332934e+00
9 -3.176765022884108589e+02 3.362455252246255668e+02 2.700565068570643934e+00 4.042082752836386739e+00 3.934452852150045921e+00
10 -3.189918063904211181e+02 3.267420748984110901e+02 2.639710010187134692e+00 4.138128153121487074e+00 4.023822698074535964e+00
11 -3.190731260076481703e+02 3.299111396776672791e+02 2.392504645422941500e+00 4.086307659067285769e+00 3.955188352861334522e+00
12 -3.192377140377142837e+02 3.270429331986692318e+02 2.479170843112239009e+00 3.965227258873156302e+00 3.844941140629943188e+00
13 -3.160157922297414643e+02 3.239948785346402360e+02 2.497933327951114002e+00 3.926815307689254020e+00 3.882685769744844695e+00
14 -3.069389765309309723e+02 3.324242833890604629e+02 2.491364754929054293e+00 4.497014731116763642e+00 4.368538943021664345e+00
15 -3.190278934757815819e+02 3.240353884562994153e+02 2.246324182691290972e+00 4.382127326360316211e+00 4.254284573368082967e+00
16 -3.135400175646120147e+02 3.182236983258655414e+02 2.360972974717436834e+00 4.183471383476845773e+00 4.063924273822509647e+00
17 -3.239973392521420692e+02 3.326994494593873810e+02 2.235154811596434588e+00 4.458979379743444049e+00 4.330869689152969215e+00
18 -3.125301057843815897e+02 3.282306759643143437e+02 2.122534874495524360e+00 4.314770020095604508e+00 4.109220459968423000e+00
19 -3.106085724629396054e+02 3.255898344288124804e+02 2.183359949624696483e+00 4.496566324906445367e+00 4.292679604478284894e+00
20 -3.162230057228323972e+02 3.253874711055503326e+02 1.886950484140866857e+00 4.489303819797950901e+00 4.352078052381051165e+00
21 -3.216963299355035133e+02 3.176676936217125444e+02 1.942149947776803831e+00 4.327600041526131314e+00 4.216945029281513158e+00
22 -3.151947091630767090e+02 3.148004411640326907e+02 1.962625356731495074e+00 4.382526542318728069e+00 4.235906887041393176e+00
23 -3.058910328829333594e+02 3.229376381641885700e+02 2.091739509013333720e+00 4.882686380226536116e+00 4.637884034140953737e+00
24 -3.199170286662129001e+02 3.147206099492930775e+02 2.118217605254269387e+00 4.739160722944101956e+00 4.538820149513632884e+00
25 -3.095303161837343282e+02 3.083560543476036173e+02 1.870019597524408717e+00 4.324176507178572493e+00 4.216656398581683618e+00
