# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
-1.509755671880860e+01 -3.737731639808237e+01 2.985968017578125e+02 3.440124130249023e+01
-1.417037286424181e+01 -3.700270980466646e+01 2.648367919921875e+02 2.347509384155273e+01
-1.324318900967503e+01 -3.662810321125055e+01 2.850688171386719e+02 1.975656890869141e+01
-1.231600515510824e+01 -3.625349661783464e+01 2.850688171386719e+02 1.975656890869141e+01
-1.138882130054145e+01 -3.587889002441872e+01 2.831891784667969e+02 1.945791435241699e+01
-1.046163744597466e+01 -3.550428343100281e+01 2.626545715332031e+02 1.816491317749023e+01
-9.534453591407873e+00 -3.512967683758690e+01 2.626545715332031e+02 1.816491317749023e+01
-8.607269736841088e+00 -3.475507024417099e+01 2.951261291503906e+02 2.076451301574707e+01
-7.680085882274300e+00 -3.438046365075508e+01 3.031728820800781e+02 1.616935539245605e+01
-6.752902027707512e+00 -3.400585705733916e+01 3.031728820800781e+02 1.616935539245605e+01
-5.825718173140727e+00 -3.363125046392325e+01 3.074966125488281e+02 1.681470298767090e+01
-4.898534318573939e+00 -3.325664387050734e+01 2.821408996582031e+02 1.114881896972656e+01
-3.971350464007150e+00 -3.288203727709143e+01 2.821408996582031e+02 1.114881896972656e+01
-3.044166609440362e+00 -3.250743068367552e+01 2.842728881835938e+02 1.077946472167969e+01
-2.116982754873575e+00 -3.213282409025960e+01 2.842728881835938e+02 1.077946472167969e+01
-1.189798900306789e+00 -3.175821749684369e+01 2.721914978027344e+02 9.096488952636719e+00
-2.626150457400005e-01 -3.138361090342778e+01 2.721914978027344e+02 9.096488952636719e+00
6.645688088267878e-01 -3.100900431001187e+01 2.875028381347656e+02 1.007656764984131e+01
1.591752663393574e+00 -3.063439771659596e+01 2.875028381347656e+02 1.007656764984131e+01
2.518936517960361e+00 -3.025979112318004e+01 2.795461730957031e+02 8.892334938049316e+00
3.446120372527149e+00 -2.988518452976413e+01 2.795461730957031e+02 8.892334938049316e+00
4.373304227093937e+00 -2.951057793634822e+01 2.795461730957031e+02 8.892334938049316e+00
5.300488081660724e+00 -2.913597134293231e+01 2.900201721191406e+02 6.932975292205811e+00
6.227671936227511e+00 -2.876136474951640e+01 2.900201721191406e+02 6.932975292205811e+00
7.154855790794299e+00 -2.838675815610048e+01 2.900201721191406e+02 6.932975292205811e+00
8.082039645361085e+00 -2.801215156268457e+01 2.930611877441406e+02 5.710948467254639e+00
9.009223499927874e+00 -2.763754496926866e+01 2.930611877441406e+02 5.710948467254639e+00
9.936407354494662e+00 -2.726293837585275e+01 2.930611877441406e+02 5.710948467254639e+00
1.086359120906145e+01 -2.688833178243684e+01 2.930611877441406e+02 5.710948467254639e+00
1.179077506362824e+01 -2.651372518902092e+01 2.930611877441406e+02 5.710948467254639e+00
1.271795891819502e+01 -2.613911859560501e+01 2.823609619140625e+02 6.177535533905029e+00
1.364514277276181e+01 -2.576451200218910e+01 2.823609619140625e+02 6.177535533905029e+00
1.457232662732860e+01 -2.538990540877319e+01 2.823609619140625e+02 6.177535533905029e+00
1.549951048189538e+01 -2.501529881535728e+01 2.823609619140625e+02 6.177535533905029e+00
1.642669433646217e+01 -2.464069222194136e+01 2.823609619140625e+02 6.177535533905029e+00
1.735387819102896e+01 -2.426608562852545e+01 2.823609619140625e+02 6.177535533905029e+00
1.828106204559575e+01 -2.389147903510954e+01 2.823609619140625e+02 6.177535533905029e+00
1.920824590016254e+01 -2.351687244169363e+01 2.823609619140625e+02 6.177535533905029e+00
2.013542975472932e+01 -2.314226584827772e+01 2.823609619140625e+02 6.177535533905029e+00
2.106261360929611e+01 -2.276765925486180e+01 2.930611877441406e+02 5.710948467254639e+00
