# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
0 0 -3.432918418951370541e+02 3.036128383726122024e+02 1.714027848900213424e+00 3.022572255516304551e+01
0 1 -3.444084579418292265e+02 2.437438781333693782e+02 2.098251851497048293e+00 2.569109407150038038e+01
0 2 -3.274987650379131878e+02 3.923176893367881917e+02 1.720792377967752751e+00 2.816272084994226788e+01
0 3 -2.707018818024183702e+02 3.205778299926287787e+02 1.512178320000922449e+00 2.684571487324619099e+01
0 4 -3.319989421647290442e+02 3.048866484912240367e+02 1.659970073159809267e+00 2.410147299158754564e+01
0 5 -3.207181556430855380e+02 2.939709861592860420e+02 1.586566902141742119e+00 2.365582408182859453e+01
0 6 -3.137122755396661660e+02 2.797153125129057685e+02 1.732940173947793427e+00 1.850007240814080944e+01
0 7 -2.818708030170996039e+02 3.158403536051175706e+02 1.524728034270261157e+00 1.839946285033327200e+01
0 8 -3.070868185532864345e+02 3.171342779719568057e+02 1.431170447840969029e+00 2.109428065746196168e+01
0 9 -3.346916431393877929e+02 3.330964950966549054e+02 1.629545560762780676e+00 2.119339331137550175e+01
0 10 -2.863720883055800641e+02 2.545601941310904408e+02 1.649604734548447027e+00 1.895179300645312637e+01
0 11 -3.335564646018129338e+02 3.074782676852108807e+02 1.392349842645132174e+00 1.702647771305652924e+01
0 12 -3.163985666439904207e+02 2.974003584339413351e+02 1.287047782730027512e+00 1.636979848571546015e+01
0 13 -2.999696922375528629e+02 2.700645770036338718e+02 1.464600385726469334e+00 1.802642510570452927e+01
0 14 -3.161165185338221022e+02 2.709891732752867028e+02 1.386879036717266755e+00 1.535334014060084940e+01
0 15 -3.066304814303537682e+02 2.647994709809032088e+02 1.255537467525819961e+00 1.611098268126173139e+01
0 16 -3.396251213509813738e+02 2.522747028079835161e+02 1.507091604204632507e+00 1.790736267322460762e+01
0 17 -3.196014836183101693e+02 2.833972854327569166e+02 1.345811771445483140e+00 1.825721240717365745e+01
0 18 -2.884904962331663683e+02 3.201604132609824092e+02 1.411197239159626360e+00 2.206952916902557504e+01
0 19 -3.207719723992292415e+02 3.030755085443539087e+02 1.506903652006028604e+00 2.278507917397521965e+01
1 0 -2.474701546203110354e+02 2.909066684806772400e+02 1.375153485732613090e+00 2.373741799839196887e+01
1 1 -2.640786413778214410e+02 2.410886559185997555e+02 1.499966924359625642e+00 2.101700254562791415e+01
1 2 -3.239649999081714782e+02 2.817023610907368152e+02 1.595951182273135815e+00 2.171541763798606439e+01
1 3 -2.932112435763435769e+02 2.890496938044765898e+02 1.603815450774053630e+00 1.846752916683623624e+01
1 4 -2.917368856799459991e+02 2.912399226353722952e+02 1.625339964124304482e+00 2.112494525789655953e+01
1 5 -3.344099702380092936e+02 2.902581435025640531e+02 1.476864528071445859e+00 1.581160178728339538e+01
1 6 -2.757156276632395588e+02 3.013904090575377381e+02 1.243149590482496070e+00 1.808941446261299291e+01
1 7 -2.926715547446112851e+02 2.903930474299892239e+02 1.541172752658514833e+00 1.863980198319211823e+01
1 8 -2.928103868396477196e+02 3.235252355248146614e+02 1.402705945992655412e+00 1.910574484951739649e+01
1 9 -3.349258684513287108e+02 2.987960928570090005e+02 1.450672380961754770e+00 1.626365985674188863e+01
1 10 -3.254384234165641487e+02 3.012960699407810807e+02 1.487299969498310670e+00 1.430572403956678507e+01
1 11 -3.357408024206786763e+02 3.399063076237656560e+02 1.175151478637161961e+00 1.704514233459568828e+01
1 12 -3.129769603649029364e+02 2.998670625065427089e+02 1.443460844281179156e+00 1.477113239360190633e+01
1 13 -3.321316861668107094e+02 2.882316662898950881e+02 1.549021739169278211e+00 1.590526391740445966e+01
1 14 -3.016246654043018225e+02 2.921989919557245798e+02 1.516836662013122394e+00 1.535065906403001712e+01
1 15 -3.005258697902518747e+02 2.872285452283368272e+02 1.377532924413339632e+00 1.529281239561460026e+01
1 16 -2.989853599990219664e+02 3.226325670250865301e+02 1.269796671746135086e+00 1.920055447962003825e+01
1 17 -3.051374617577426989e+02 2.709818651091688366e+02 1.533201582158103093e+00 1.637658258798172639e+01
1 18 -3.148013550777586147e+02 3.620795189729260528e+02 1.421218766916888310e+00 2.446431170215165096e+01
1 19 -3.207870626765049451e+02 2.770340605964617566e+02 1.518253417776150638e+00 1.971812911578507155e+01
2 0 -3.022578656788808189e+02 3.081396908076318937e+02 1.785098548917297467e+00 2.531737743878015934e+01
2 1 -3.475383721594618578e+02 2.778108304395532855e+02 1.461930210384046358e+00 2.095374152397307910e+01
2 2 -3.042896713729351745e+02 3.291674271018738978e+02 1.520302278158730980e+00 2.258892568694642478e+01
2 3 -3.257383454715913444e+02 3.437471855901295612e+02 1.339908717412434891e+00 1.970996659650847960e+01
2 4 -3.046561038855421089e+02 2.969428886055613930e+02 1.405115851821677309e+00 1.782052754804781358e+01
2 5 -3.173727625202245122e+02 2.466760315934766652e+02 1.554019596094220468e+00 1.452818178866369436e+01
2 6 -3.528803232203256357e+02 2.966072688452387069e+02 1.347428500703197196e+00 1.534233552213330398e+01
2 7 -3.118222000360169659e+02 3.135024101934953364e+02 1.411766288700544658e+00 1.566263981710907771e+01
2 8 -3.238604442713020148e+02 2.897015078197342177e+02 1.428776608690531358e+00 1.581480816350195617e+01
2 9 -3.056078951241421464e+02 2.952672238716474453e+02 1.325646178927103902e+00 1.423209208235732603e+01
2 10 -3.105783868833240149e+02 2.950183800979884268e+02 1.616802220865153572e+00 1.416727600531974396e+01
2 11 -3.347180636141620766e+02 3.020544861941415888e+02 1.316703757705873556e+00 1.379025968416017456e+01
2 12 -3.199305397517945835e+02 3.253639879033830766e+02 1.283004119647692898e+00 1.482173790560229776e+01
2 13 -3.154255491064230910e+02 2.998978968330956150e+02 1.346129585113730043e+00 1.315538533202941274e+01
2 14 -3.428270345837535729e+02 3.125916903328298417e+02 1.470595286905383547e+00 1.558004725004161273e+01
2 15 -3.306984272809293088e+02 3.298028762510249408e+02 1.597922805425282977e+00 1.582126595884612463e+01
2 16 -3.030766764184542126e+02 3.098927499182369729e+02 1.432559072153086754e+00 1.603412135686778583e+01
2 17 -2.633451069225604897e+02 3.081265079908433790e+02 1.465861196106271747e+00 1.750695449088618361e+01
2 18 -2.870864536995051708e+02 2.970354682562853554e+02 1.422271999834037182e+00 1.636132848766010284e+01
2 19 -2.966093380239635167e+02 2.868051853675478924e+02 1.625432291389106387e+00 1.939355878461401872e+01
3 0 -3.263276853962652808e+02 2.632082578682382064e+02 1.499884455260745320e+00 1.832132958392185529e+01
3 1 -2.852095669940298990e+02 2.777947141926432550e+02 1.435296818687334941e+00 1.765037153653800672e+01
3 2 -3.247396976169254117e+02 2.875653408082637839e+02 1.537622639518039902e+00 1.835838300738334183e+01
3 3 -3.586446583312823009e+02 3.169844134301111467e+02 1.498364906008799347e+00 1.824767828246099199e+01
3 4 -3.046955261663148917e+02 3.004649810319660332e+02 1.323669208452699975e+00 1.564701538687016757e+01
3 5 -2.712497680051922657e+02 3.022256059631880021e+02 1.332137334180279353e+00 1.567647241889695309e+01
3 6 -3.430695017445164581e+02 3.047597100004783783e+02 1.288199418158709975e+00 1.384321025399197502e+01
3 7 -3.186920331252961205e+02 3.249767211048614399e+02 1.395934653062815389e+00 1.413100507968533392e+01
3 8 -2.954654518489451220e+02 3.101989339369134200e+02 1.518208551850116050e+00 1.364107918114041063e+01
3 9 -3.169782096517701575e+02 3.181205600617489608e+02 1.438549818928271717e+00 1.342925206271567795e+01
3 10 -2.817351066098573256e+02 3.059412322194031617e+02 1.499861741252483505e+00 1.212376191185051866e+01
3 11 -3.354201968737851303e+02 3.234637807094588311e+02 1.253015937956706738e+00 1.156286440247876435e+01
3 12 -3.058018756961020017e+02 3.259686379158392810e+02 1.339373073612428522e+00 1.335251404264757724e+01
3 13 -3.258720444587543170e+02 3.157653168919869699e+02 1.261549877873815895e+00 1.364216777272552328e+01
3 14 -2.774913534012979994e+02 2.811618692174933472e+02 1.401514944170027199e+00 1.299906838752687932e+01
3 15 -3.218395782506711384e+02 3.069039326613752792e+02 1.451031043525673470e+00 1.466106909294178351e+01
3 16 -3.186310276627411895e+02 3.036357832762331554e+02 1.507048921104183092e+00 1.532927141458623232e+01
3 17 -2.972392860049619117e+02 3.691285010950839478e+02 1.508483828393829107e+00 2.237112739012385987e+01
3 18 -3.027790255336988139e+02 2.765766449662349373e+02 1.368328814909133273e+00 1.468534546328874058e+01
3 19 -3.151844628834459741e+02 2.732468712099326922e+02 1.429909985136345929e+00 1.774114313999437798e+01
4 0 -3.429603055853054911e+02 2.711924970661158909e+02 1.533469745779197257e+00 1.898653503333433434e+01
4 1 -2.958966885501922093e+02 3.267968333463060731e+02 1.526831731917821289e+00 1.958738727287498804e+01
4 2 -3.269952714767466659e+02 2.707735952379018727e+02 1.189458661871995560e+00 1.473965269269901590e+01
4 3 -3.525806879990056473e+02 3.236502149375635327e+02 1.433544103677312886e+00 1.666589437407938590e+01
4 4 -3.048685725290490609e+02 3.101500791879776671e+02 1.349924338448864169e+00 1.415960235545692214e+01
4 5 -2.959487881705695145e+02 3.008522592565824425e+02 1.413126837678312375e+00 1.287324899122730493e+01
4 6 -3.405093322298300791e+02 3.177150484485173934e+02 1.353940922648234846e+00 1.376145382006877682e+01
4 7 -3.427685456980154299e+02 3.206490197431676279e+02 1.567371756171769048e+00 1.402097089792411744e+01
4 8 -3.414039001185943221e+02 3.022931951899317937e+02 1.329307513399620166e+00 1.096307989105426017e+01
4 9 -3.086717623554356464e+02 3.268720287849315582e+02 1.292569883455958690e+00 1.220582239190921037e+01
