# y(arcsec) x(arcsec)
0.024789 -0.024789
0.025670 -0.019965
0.026489 -0.014716
0.027146 -0.009049
0.027520 -0.003058
0.027520 0.003058
0.027146 0.009049
0.026489 0.014716
0.025670 0.019965
0.024789 0.024789
0.019965 -0.025670
0.020848 -0.020848
0.021725 -0.015518
0.022489 -0.009638
0.022956 -0.003279
0.022956 0.003279
0.022489 0.009638
0.021725 0.015518
0.020848 0.020848
0.019965 0.025670
0.014716 -0.026489
0.015518 -0.021725
0.016397 -0.016397
0.017261 -0.010356
0.017859 -0.003572
0.017859 0.003572
0.017261 0.010356
0.016397 0.016397
0.015518 0.021725
0.014716 0.026489
0.009049 -0.027146
0.009638 -0.022489
0.010356 -0.017261
0.011215 -0.011215
0.011998 -0.003999
0.011998 0.003999
0.011215 0.011215
0.010356 0.017261
0.009638 0.022489
0.009049 0.027146
0.003058 -0.027520
0.003279 -0.022956
0.003572 -0.017859
0.003999 -0.011998
0.004718 -0.004718
0.004718 0.004718
0.003999 0.011998
0.003572 0.017859
0.003279 0.022956
0.003058 0.027520
-0.003058 -0.027520
-0.003279 -0.022956
-0.003572 -0.017859
-0.003999 -0.011998
-0.004718 -0.004718
-0.004718 0.004718
-0.003999 0.011998
-0.003572 0.017859
-0.003279 0.022956
-0.003058 0.027520
-0.009049 -0.027146
-0.009638 -0.022489
-0.010356 -0.017261
-0.011215 -0.011215
-0.011998 -0.003999
-0.011998 0.003999
-0.011215 0.011215
-0.010356 0.017261
-0.009638 0.022489
-0.009049 0.027146
-0.014716 -0.026489
-0.015518 -0.021725
-0.016397 -0.016397
-0.017261 -0.010356
-0.017859 -0.003572
-0.017859 0.003572
-0.017261 0.010356
-0.016397 0.016397
-0.015518 0.021725
-0.014716 0.026489
-0.019965 -0.025670
-0.020848 -0.020848
-0.021725 -0.015518
-0.022489 -0.009638
-0.022956 -0.003279
-0.022956 0.003279
-0.022489 0.009638
-0.021725 0.015518
-0.020848 0.020848
-0.019965 0.025670
-0.024789 -0.024789
-0.025670 -0.019965
-0.026489 -0.014716
-0.027146 -0.009049
-0.027520 -0.003058
-0.027520 0.003058
-0.027146 0.009049
-0.026489 0.014716
-0.025670 0.019965
-0.024789 0.024789
