# y(arcsec) x(arcsec)
0.405000 -0.405000
0.405000 -0.315000
0.405000 -0.225000
0.405000 -0.135000
0.405000 -0.045000
0.405000 0.045000
0.405000 0.135000
0.405000 0.225000
0.405000 0.315000
0.405000 0.405000
0.315000 -0.405000
0.315000 -0.315000
0.315000 -0.225000
0.315000 -0.135000
0.315000 -0.045000
0.315000 0.045000
0.315000 0.135000
0.315000 0.225000
0.315000 0.315000
0.315000 0.405000
0.225000 -0.405000
0.225000 -0.315000
0.225000 -0.225000
0.225000 -0.135000
0.225000 -0.045000
0.225000 0.045000
0.225000 0.135000
0.225000 0.225000
0.225000 0.315000
0.225000 0.405000
0.135000 -0.405000
0.135000 -0.315000
0.135000 -0.225000
0.135000 -0.135000
0.135000 -0.045000
0.135000 0.045000
0.135000 0.135000
0.135000 0.225000
0.135000 0.315000
0.135000 0.405000
0.045000 -0.405000
0.045000 -0.315000
0.045000 -0.225000
0.045000 -0.135000
0.045000 -0.045000
0.045000 0.045000
0.045000 0.135000
0.045000 0.225000
0.045000 0.315000
0.045000 0.405000
-0.045000 -0.405000
-0.045000 -0.315000
-0.045000 -0.225000
-0.045000 -0.135000
-0.045000 -0.045000
-0.045000 0.045000
-0.045000 0.135000
-0.045000 0.225000
-0.045000 0.315000
-0.045000 0.405000
-0.135000 -0.405000
-0.135000 -0.315000
-0.135000 -0.225000
-0.135000 -0.135000
-0.135000 -0.045000
-0.135000 0.045000
-0.135000 0.135000
-0.135000 0.225000
-0.135000 0.315000
-0.135000 0.405000
-0.225000 -0.405000
-0.225000 -0.315000
-0.225000 -0.225000
-0.225000 -0.135000
-0.225000 -0.045000
-0.225000 0.045000
-0.225000 0.135000
-0.225000 0.225000
-0.225000 0.315000
-0.225000 0.405000
-0.315000 -0.405000
-0.315000 -0.315000
-0.315000 -0.225000
-0.315000 -0.135000
-0.315000 -0.045000
-0.315000 0.045000
-0.315000 0.135000
-0.315000 0.225000
-0.315000 0.315000
-0.315000 0.405000
-0.405000 -0.405000
-0.405000 -0.315000
-0.405000 -0.225000
-0.405000 -0.135000
-0.405000 -0.045000
-0.405000 0.045000
-0.405000 0.135000
-0.405000 0.225000
-0.405000 0.315000
-0.405000 0.405000
