CMDLINE mpiexec --oversubscribe -n 6 python run.py
MEM 0.386719 1616612178.4737
MEM 3.437500 1616612178.5951
MEM 4.214844 1616612178.7116
MEM 7.570312 1616612178.8299
MEM 9.042969 1616612178.9429
MEM 12.265625 1616612179.0569
MEM 114.242188 1616612179.1790
CHLD 0 17.320312 1616612179.1909
CHLD 1 17.113281 1616612179.1910
CHLD 2 17.031250 1616612179.1910
CHLD 3 18.878906 1616612179.1911
CHLD 4 19.285156 1616612179.1911
CHLD 5 17.648438 1616612179.1912
MEM 260.941406 1616612179.3030
CHLD 0 41.238281 1616612179.3142
CHLD 1 40.640625 1616612179.3143
CHLD 2 40.699219 1616612179.3143
CHLD 3 44.960938 1616612179.3144
CHLD 4 46.445312 1616612179.3144
CHLD 5 41.277344 1616612179.3145
MEM 320.601562 1616612179.4263
CHLD 0 49.808594 1616612179.4377
CHLD 1 49.242188 1616612179.4377
CHLD 2 49.402344 1616612179.4378
CHLD 3 56.214844 1616612179.4378
CHLD 4 57.046875 1616612179.4379
CHLD 5 49.835938 1616612179.4379
MEM 390.476562 1616612179.5453
CHLD 0 56.558594 1616612179.5521
CHLD 1 56.179688 1616612179.5521
CHLD 2 56.339844 1616612179.5522
CHLD 3 76.976562 1616612179.5522
CHLD 4 77.093750 1616612179.5522
CHLD 5 56.761719 1616612179.5522
MEM 477.355469 1616612179.6596
CHLD 0 77.437500 1616612179.6660
CHLD 1 77.750000 1616612179.6660
CHLD 2 77.699219 1616612179.6661
CHLD 3 77.832031 1616612179.6661
CHLD 4 77.937500 1616612179.6661
CHLD 5 77.304688 1616612179.6661
MEM 483.445312 1616612179.7811
CHLD 0 78.226562 1616612179.7879
CHLD 1 78.503906 1616612179.7879
CHLD 2 78.476562 1616612179.7880
CHLD 3 78.589844 1616612179.7880
CHLD 4 78.699219 1616612179.7880
CHLD 5 78.140625 1616612179.7880
MEM 498.058594 1616612179.8989
CHLD 0 80.640625 1616612179.9073
CHLD 1 81.027344 1616612179.9073
CHLD 2 80.914062 1616612179.9074
CHLD 3 80.980469 1616612179.9074
CHLD 4 81.164062 1616612179.9074
CHLD 5 80.523438 1616612179.9074
MEM 508.621094 1616612180.0237
CHLD 0 82.394531 1616612180.0317
CHLD 1 82.847656 1616612180.0318
CHLD 2 82.648438 1616612180.0318
CHLD 3 82.734375 1616612180.0318
CHLD 4 82.886719 1616612180.0318
CHLD 5 82.300781 1616612180.0319
MEM 510.792969 1616612180.1459
CHLD 0 82.750000 1616612180.1514
CHLD 1 83.183594 1616612180.1514
CHLD 2 83.011719 1616612180.1515
CHLD 3 83.101562 1616612180.1515
CHLD 4 83.261719 1616612180.1515
CHLD 5 82.675781 1616612180.1515
MEM 510.792969 1616612180.2647
CHLD 0 82.750000 1616612180.2701
CHLD 1 83.183594 1616612180.2701
CHLD 2 83.011719 1616612180.2701
CHLD 3 83.101562 1616612180.2701
CHLD 4 83.261719 1616612180.2701
CHLD 5 82.675781 1616612180.2702
MEM 511.820312 1616612180.3833
CHLD 0 82.921875 1616612180.3892
CHLD 1 83.355469 1616612180.3892
CHLD 2 83.183594 1616612180.3893
CHLD 3 83.273438 1616612180.3893
CHLD 4 83.433594 1616612180.3893
CHLD 5 82.843750 1616612180.3893
MEM 520.132812 1616612180.5006
CHLD 0 84.308594 1616612180.5065
