# y_px x_px signal noise
1.800000000000000000e+01 2.700000000000000000e+01 3.466978549957275391e+00 2.230142354965209961e+00
1.800000000000000000e+01 2.800000000000000000e+01 3.490458965301513672e+00 2.236018180847167969e+00
1.800000000000000000e+01 2.900000000000000000e+01 3.682887554168701172e+00 2.225260496139526367e+00
1.800000000000000000e+01 3.000000000000000000e+01 3.845335483551025391e+00 2.273352384567260742e+00
1.800000000000000000e+01 3.100000000000000000e+01 3.746632814407348633e+00 2.295748472213745117e+00
1.800000000000000000e+01 3.200000000000000000e+01 3.547087430953979492e+00 2.322650909423828125e+00
1.800000000000000000e+01 3.300000000000000000e+01 3.409834384918212891e+00 2.226782083511352539e+00
1.900000000000000000e+01 2.500000000000000000e+01 3.290290832519531250e+00 2.171748876571655273e+00
1.900000000000000000e+01 2.600000000000000000e+01 3.730795621871948242e+00 2.162736177444458008e+00
1.900000000000000000e+01 2.700000000000000000e+01 3.980754613876342773e+00 2.256267309188842773e+00
1.900000000000000000e+01 2.800000000000000000e+01 4.243178367614746094e+00 2.263277530670166016e+00
1.900000000000000000e+01 2.900000000000000000e+01 4.544451713562011719e+00 2.257279396057128906e+00
1.900000000000000000e+01 3.000000000000000000e+01 4.641533851623535156e+00 2.298804998397827148e+00
1.900000000000000000e+01 3.100000000000000000e+01 4.449561119079589844e+00 2.311725378036499023e+00
1.900000000000000000e+01 3.200000000000000000e+01 4.343856334686279297e+00 2.351707696914672852e+00
1.900000000000000000e+01 3.300000000000000000e+01 3.994264602661132812e+00 2.245359659194946289e+00
1.900000000000000000e+01 3.400000000000000000e+01 3.683976411819458008e+00 2.281106472015380859e+00
2.000000000000000000e+01 2.400000000000000000e+01 3.515121936798095703e+00 2.246400833129882812e+00
2.000000000000000000e+01 2.500000000000000000e+01 4.081620693206787109e+00 2.208938360214233398e+00
2.000000000000000000e+01 2.600000000000000000e+01 4.515622615814208984e+00 2.194872617721557617e+00
2.000000000000000000e+01 2.700000000000000000e+01 4.940086364746093750e+00 2.302858352661132812e+00
2.000000000000000000e+01 2.800000000000000000e+01 5.340870380401611328e+00 2.309028625488281250e+00
2.000000000000000000e+01 2.900000000000000000e+01 5.480521202087402344e+00 2.309362173080444336e+00
2.000000000000000000e+01 3.000000000000000000e+01 5.605258464813232422e+00 2.349971771240234375e+00
2.000000000000000000e+01 3.100000000000000000e+01 5.496407032012939453e+00 2.370074987411499023e+00
2.000000000000000000e+01 3.200000000000000000e+01 5.078594207763671875e+00 2.390257596969604492e+00
2.000000000000000000e+01 3.300000000000000000e+01 4.760759353637695312e+00 2.290606260299682617e+00
2.000000000000000000e+01 3.400000000000000000e+01 4.422171115875244141e+00 2.325345516204833984e+00
2.100000000000000000e+01 2.300000000000000000e+01 3.613069772720336914e+00 2.292386531829833984e+00
2.100000000000000000e+01 2.400000000000000000e+01 4.095275402069091797e+00 2.274424791336059570e+00
2.100000000000000000e+01 2.500000000000000000e+01 4.870071887969970703e+00 2.238542079925537109e+00
2.100000000000000000e+01 2.600000000000000000e+01 5.613438129425048828e+00 2.221684694290161133e+00
2.100000000000000000e+01 2.700000000000000000e+01 6.149667263031005859e+00 2.334428548812866211e+00
2.100000000000000000e+01 2.800000000000000000e+01 6.617753028869628906e+00 2.321673631668090820e+00
2.100000000000000000e+01 2.900000000000000000e+01 6.905117988586425781e+00 2.316273212432861328e+00
2.100000000000000000e+01 3.000000000000000000e+01 6.990880012512207031e+00 2.361546277999877930e+00
2.100000000000000000e+01 3.100000000000000000e+01 6.772372722625732422e+00 2.378788232803344727e+00
2.100000000000000000e+01 3.200000000000000000e+01 6.242514610290527344e+00 2.403569936752319336e+00
2.100000000000000000e+01 3.300000000000000000e+01 5.775856494903564453e+00 2.287663698196411133e+00
2.100000000000000000e+01 3.400000000000000000e+01 5.073630809783935547e+00 2.323792457580566406e+00
2.100000000000000000e+01 3.500000000000000000e+01 4.293107986450195312e+00 2.427730798721313477e+00
2.100000000000000000e+01 3.600000000000000000e+01 3.467672824859619141e+00 2.310185909271240234e+00
2.100000000000000000e+01 3.700000000000000000e+01 3.295240402221679688e+00 2.166555404663085938e+00
2.200000000000000000e+01 2.300000000000000000e+01 4.136646747589111328e+00 2.343566656112670898e+00
2.200000000000000000e+01 2.400000000000000000e+01 5.033683300018310547e+00 2.337916135787963867e+00
2.200000000000000000e+01 2.500000000000000000e+01 5.992871761322021484e+00 2.314347982406616211e+00
2.200000000000000000e+01 2.600000000000000000e+01 6.872976779937744141e+00 2.298256874084472656e+00
2.200000000000000000e+01 2.700000000000000000e+01 7.779789924621582031e+00 2.423998355865478516e+00
2.200000000000000000e+01 2.800000000000000000e+01 8.484455108642578125e+00 2.424163579940795898e+00
2.200000000000000000e+01 2.900000000000000000e+01 9.017514228820800781e+00 2.412058353424072266e+00
2.200000000000000000e+01 3.000000000000000000e+01 9.059506416320800781e+00 2.424175262451171875e+00
2.200000000000000000e+01 3.100000000000000000e+01 8.565222740173339844e+00 2.464732646942138672e+00
2.200000000000000000e+01 3.200000000000000000e+01 7.773030281066894531e+00 2.475219726562500000e+00
2.200000000000000000e+01 3.300000000000000000e+01 6.997998237609863281e+00 2.348632335662841797e+00
2.200000000000000000e+01 3.400000000000000000e+01 6.027758598327636719e+00 2.383120298385620117e+00
2.200000000000000000e+01 3.500000000000000000e+01 5.052582263946533203e+00 2.502741813659667969e+00
2.200000000000000000e+01 3.600000000000000000e+01 4.301948070526123047e+00 2.390437602996826172e+00
2.200000000000000000e+01 3.700000000000000000e+01 3.686132431030273438e+00 2.220422029495239258e+00
2.300000000000000000e+01 2.200000000000000000e+01 3.988822460174560547e+00 2.293622732162475586e+00
2.300000000000000000e+01 2.300000000000000000e+01 4.924212932586669922e+00 2.248167753219604492e+00
2.300000000000000000e+01 2.400000000000000000e+01 6.015902042388916016e+00 2.245012998580932617e+00
2.300000000000000000e+01 2.500000000000000000e+01 7.268378734588623047e+00 2.227631568908691406e+00
2.300000000000000000e+01 2.600000000000000000e+01 8.610798835754394531e+00 2.220862388610839844e+00
2.300000000000000000e+01 2.700000000000000000e+01 9.885289192199707031e+00 2.363118171691894531e+00
2.300000000000000000e+01 2.800000000000000000e+01 1.104004764556884766e+01 2.369374990463256836e+00
2.300000000000000000e+01 2.900000000000000000e+01 1.164560794830322266e+01 2.378113269805908203e+00
2.300000000000000000e+01 3.000000000000000000e+01 1.159733772277832031e+01 2.384121179580688477e+00
2.300000000000000000e+01 3.100000000000000000e+01 1.105127334594726562e+01 2.427030324935913086e+00
2.300000000000000000e+01 3.200000000000000000e+01 9.879054069519042969e+00 2.428531885147094727e+00
2.300000000000000000e+01 3.300000000000000000e+01 8.815258026123046875e+00 2.295581340789794922e+00
2.300000000000000000e+01 3.400000000000000000e+01 7.430111885070800781e+00 2.336935043334960938e+00
2.300000000000000000e+01 3.500000000000000000e+01 5.935507297515869141e+00 2.450296401977539062e+00
2.300000000000000000e+01 3.600000000000000000e+01 4.820557594299316406e+00 2.335424423217773438e+00
2.300000000000000000e+01 3.700000000000000000e+01 4.035095691680908203e+00 2.159370899200439453e+00
2.300000000000000000e+01 3.800000000000000000e+01 3.385195016860961914e+00 2.162331581115722656e+00
2.400000000000000000e+01 2.100000000000000000e+01 3.647510528564453125e+00 2.285742759704589844e+00
2.400000000000000000e+01 2.200000000000000000e+01 4.636469364166259766e+00 2.322542190551757812e+00
2.400000000000000000e+01 2.300000000000000000e+01 5.730548381805419922e+00 2.272166728973388672e+00
2.400000000000000000e+01 2.400000000000000000e+01 7.131430625915527344e+00 2.275516271591186523e+00
2.400000000000000000e+01 2.500000000000000000e+01 8.722548484802246094e+00 2.263409852981567383e+00
2.400000000000000000e+01 2.600000000000000000e+01 1.060196113586425781e+01 2.269495010375976562e+00
2.400000000000000000e+01 2.700000000000000000e+01 1.249340343475341797e+01 2.423282384872436523e+00
2.400000000000000000e+01 2.800000000000000000e+01 1.421869659423828125e+01 2.439361810684204102e+00
2.400000000000000000e+01 2.900000000000000000e+01 1.533397579193115234e+01 2.452068805694580078e+00
2.400000000000000000e+01 3.000000000000000000e+01 1.543930530548095703e+01 2.466704607009887695e+00
2.400000000000000000e+01 3.100000000000000000e+01 1.447490406036376953e+01 2.493741273880004883e+00
2.400000000000000000e+01 3.200000000000000000e+01 1.276408958435058594e+01 2.482128620147705078e+00
2.400000000000000000e+01 3.300000000000000000e+01 1.065392017364501953e+01 2.327877759933471680e+00
2.400000000000000000e+01 3.400000000000000000e+01 8.861785888671875000e+00 2.356114625930786133e+00
2.400000000000000000e+01 3.500000000000000000e+01 7.060707569122314453e+00 2.438930511474609375e+00
2.400000000000000000e+01 3.600000000000000000e+01 5.514944553375244141e+00 2.361119508743286133e+00
2.400000000000000000e+01 3.700000000000000000e+01 4.431127548217773438e+00 2.165746212005615234e+00
2.400000000000000000e+01 3.800000000000000000e+01 3.625562906265258789e+00 2.171147108078002930e+00
2.500000000000000000e+01 2.100000000000000000e+01 4.109508991241455078e+00 2.360632658004760742e+00
2.500000000000000000e+01 2.200000000000000000e+01 5.080364227294921875e+00 2.398790359497070312e+00
2.500000000000000000e+01 2.300000000000000000e+01 6.516083240509033203e+00 2.353204488754272461e+00
2.500000000000000000e+01 2.400000000000000000e+01 8.348092079162597656e+00 2.371423721313476562e+00
2.500000000000000000e+01 2.500000000000000000e+01 1.061820411682128906e+01 2.381081581115722656e+00
2.500000000000000000e+01 2.600000000000000000e+01 1.329471778869628906e+01 2.398897171020507812e+00
2.500000000000000000e+01 2.700000000000000000e+01 1.609651374816894531e+01 2.555977344512939453e+00
2.500000000000000000e+01 2.800000000000000000e+01 1.891823768615722656e+01 2.596184015274047852e+00
2.500000000000000000e+01 2.900000000000000000e+01 2.070198440551757812e+01 2.621475219726562500e+00
2.500000000000000000e+01 3.000000000000000000e+01 2.095360565185546875e+01 2.639919042587280273e+00
2.500000000000000000e+01 3.100000000000000000e+01 1.917533493041992188e+01 2.649192333221435547e+00
2.500000000000000000e+01 3.200000000000000000e+01 1.644325637817382812e+01 2.604346990585327148e+00
2.500000000000000000e+01 3.300000000000000000e+01 1.329752349853515625e+01 2.435079097747802734e+00
2.500000000000000000e+01 3.400000000000000000e+01 1.062316036224365234e+01 2.445802211761474609e+00
2.500000000000000000e+01 3.500000000000000000e+01 8.221335411071777344e+00 2.536470890045166016e+00
2.500000000000000000e+01 3.600000000000000000e+01 6.267711639404296875e+00 2.452681303024291992e+00
2.500000000000000000e+01 3.700000000000000000e+01 4.900664806365966797e+00 2.255700588226318359e+00
2.500000000000000000e+01 3.800000000000000000e+01 3.785650968551635742e+00 2.263954162597656250e+00
2.600000000000000000e+01 2.000000000000000000e+01 3.448228359222412109e+00 2.239064216613769531e+00
2.600000000000000000e+01 2.100000000000000000e+01 4.557394981384277344e+00 2.258033037185668945e+00
2.600000000000000000e+01 2.200000000000000000e+01 5.636217594146728516e+00 2.299105405807495117e+00
2.600000000000000000e+01 2.300000000000000000e+01 7.323476314544677734e+00 2.247686624526977539e+00
2.600000000000000000e+01 2.400000000000000000e+01 9.552571296691894531e+00 2.275457620620727539e+00
2.600000000000000000e+01 2.500000000000000000e+01 1.241801929473876953e+01 2.298218488693237305e+00
2.600000000000000000e+01 2.600000000000000000e+01 1.640797042846679688e+01 2.339102983474731445e+00
2.600000000000000000e+01 2.700000000000000000e+01 2.066310691833496094e+01 2.527153015136718750e+00
2.600000000000000000e+01 2.800000000000000000e+01 2.510342979431152344e+01 2.577323675155639648e+00
2.600000000000000000e+01 2.900000000000000000e+01 2.793889236450195312e+01 2.637187957763671875e+00
2.600000000000000000e+01 3.000000000000000000e+01 2.827727508544921875e+01 2.696873188018798828e+00
2.600000000000000000e+01 3.100000000000000000e+01 2.549042320251464844e+01 2.647842645645141602e+00
2.600000000000000000e+01 3.200000000000000000e+01 2.075616455078125000e+01 2.565764665603637695e+00
2.600000000000000000e+01 3.300000000000000000e+01 1.640613174438476562e+01 2.383626222610473633e+00
2.600000000000000000e+01 3.400000000000000000e+01 1.253581523895263672e+01 2.378195524215698242e+00
2.600000000000000000e+01 3.500000000000000000e+01 9.630580902099609375e+00 2.448897600173950195e+00
2.600000000000000000e+01 3.600000000000000000e+01 7.068809509277343750e+00 2.361506462097167969e+00
2.600000000000000000e+01 3.700000000000000000e+01 5.482879161834716797e+00 2.167153596878051758e+00
2.600000000000000000e+01 3.800000000000000000e+01 4.266378402709960938e+00 2.182533502578735352e+00
2.700000000000000000e+01 2.000000000000000000e+01 3.698831558227539062e+00 2.329952716827392578e+00
2.700000000000000000e+01 2.100000000000000000e+01 4.689508438110351562e+00 2.347731590270996094e+00
2.700000000000000000e+01 2.200000000000000000e+01 6.265760421752929688e+00 2.393571853637695312e+00
2.700000000000000000e+01 2.300000000000000000e+01 8.092081069946289062e+00 2.349151849746704102e+00
2.700000000000000000e+01 2.400000000000000000e+01 1.071559333801269531e+01 2.385179281234741211e+00
2.700000000000000000e+01 2.500000000000000000e+01 1.448009395599365234e+01 2.431280612945556641e+00
2.700000000000000000e+01 2.600000000000000000e+01 1.957220268249511719e+01 2.487891912460327148e+00
2.700000000000000000e+01 2.700000000000000000e+01 2.571286582946777344e+01 2.702391862869262695e+00
2.700000000000000000e+01 2.800000000000000000e+01 3.237245941162109375e+01 2.805757284164428711e+00
2.700000000000000000e+01 2.900000000000000000e+01 3.721567153930664062e+01 2.911647319793701172e+00
2.700000000000000000e+01 3.000000000000000000e+01 3.753314971923828125e+01 2.933366060256958008e+00
2.700000000000000000e+01 3.100000000000000000e+01 3.219844818115234375e+01 2.838715314865112305e+00
2.700000000000000000e+01 3.200000000000000000e+01 2.544279289245605469e+01 2.701013326644897461e+00
2.700000000000000000e+01 3.300000000000000000e+01 1.904944229125976562e+01 2.492642164230346680e+00
2.700000000000000000e+01 3.400000000000000000e+01 1.398724174499511719e+01 2.460922479629516602e+00
2.700000000000000000e+01 3.500000000000000000e+01 1.050576305389404297e+01 2.495594024658203125e+00
2.700000000000000000e+01 3.600000000000000000e+01 7.727825641632080078e+00 2.429938793182373047e+00
2.700000000000000000e+01 3.700000000000000000e+01 5.957173347473144531e+00 2.226302623748779297e+00
2.700000000000000000e+01 3.800000000000000000e+01 4.315156459808349609e+00 2.229540348052978516e+00
2.800000000000000000e+01 2.000000000000000000e+01 3.956402063369750977e+00 2.346354007720947266e+00
2.800000000000000000e+01 2.100000000000000000e+01 5.020181655883789062e+00 2.354172229766845703e+00
2.800000000000000000e+01 2.200000000000000000e+01 6.664136409759521484e+00 2.403141021728515625e+00
2.800000000000000000e+01 2.300000000000000000e+01 8.885113716125488281e+00 2.369524478912353516e+00
2.800000000000000000e+01 2.400000000000000000e+01 1.179590129852294922e+01 2.413584947586059570e+00
2.800000000000000000e+01 2.500000000000000000e+01 1.635087203979492188e+01 2.484273433685302734e+00
2.800000000000000000e+01 2.600000000000000000e+01 2.255729675292968750e+01 2.552165508270263672e+00
2.800000000000000000e+01 2.700000000000000000e+01 3.061694717407226562e+01 2.802460432052612305e+00
2.800000000000000000e+01 2.800000000000000000e+01 3.996513748168945312e+01 2.948938369750976562e+00
2.800000000000000000e+01 2.900000000000000000e+01 4.658158874511718750e+01 3.032837152481079102e+00
2.800000000000000000e+01 3.000000000000000000e+01 4.622600936889648438e+01 3.058737754821777344e+00
2.800000000000000000e+01 3.100000000000000000e+01 3.911146926879882812e+01 2.994521379470825195e+00
2.800000000000000000e+01 3.200000000000000000e+01 2.933384132385253906e+01 2.811367034912109375e+00
2.800000000000000000e+01 3.300000000000000000e+01 2.128474235534667969e+01 2.581588268280029297e+00
2.800000000000000000e+01 3.400000000000000000e+01 1.524467563629150391e+01 2.536443710327148438e+00
2.800000000000000000e+01 3.500000000000000000e+01 1.114342212677001953e+01 2.610948324203491211e+00
2.800000000000000000e+01 3.600000000000000000e+01 8.074352264404296875e+00 2.564110517501831055e+00
2.800000000000000000e+01 3.700000000000000000e+01 6.098129749298095703e+00 2.330635070800781250e+00
2.800000000000000000e+01 3.800000000000000000e+01 4.540852546691894531e+00 2.357028484344482422e+00
2.800000000000000000e+01 3.900000000000000000e+01 3.732083797454833984e+00 2.440878629684448242e+00
2.900000000000000000e+01 2.000000000000000000e+01 3.959872484207153320e+00 2.304098606109619141e+00
2.900000000000000000e+01 2.100000000000000000e+01 5.234333038330078125e+00 2.315610408782958984e+00
2.900000000000000000e+01 2.200000000000000000e+01 6.856424808502197266e+00 2.356672048568725586e+00
2.900000000000000000e+01 2.300000000000000000e+01 9.154015541076660156e+00 2.328205585479736328e+00
2.900000000000000000e+01 2.400000000000000000e+01 1.222204589843750000e+01 2.383816242218017578e+00
2.900000000000000000e+01 2.500000000000000000e+01 1.704236412048339844e+01 2.453316211700439453e+00
2.900000000000000000e+01 2.600000000000000000e+01 2.371621704101562500e+01 2.521413326263427734e+00
2.900000000000000000e+01 2.700000000000000000e+01 3.277160644531250000e+01 2.790038585662841797e+00
2.900000000000000000e+01 2.800000000000000000e+01 4.301005172729492188e+01 2.906177282333374023e+00
2.900000000000000000e+01 2.900000000000000000e+01 4.987015151977539062e+01 3.023145198822021484e+00
2.900000000000000000e+01 3.000000000000000000e+01 4.901152420043945312e+01 3.039011001586914062e+00
2.900000000000000000e+01 3.100000000000000000e+01 4.071728515625000000e+01 2.943208217620849609e+00
2.900000000000000000e+01 3.200000000000000000e+01 3.006479644775390625e+01 2.740596532821655273e+00
2.900000000000000000e+01 3.300000000000000000e+01 2.137463760375976562e+01 2.497822761535644531e+00
2.900000000000000000e+01 3.400000000000000000e+01 1.535535907745361328e+01 2.455413103103637695e+00
2.900000000000000000e+01 3.500000000000000000e+01 1.085235309600830078e+01 2.503700494766235352e+00
2.900000000000000000e+01 3.600000000000000000e+01 8.074412345886230469e+00 2.381160020828247070e+00
2.900000000000000000e+01 3.700000000000000000e+01 6.030561923980712891e+00 2.179369449615478516e+00
2.900000000000000000e+01 3.800000000000000000e+01 4.501614093780517578e+00 2.198007106781005859e+00
2.900000000000000000e+01 3.900000000000000000e+01 3.604655742645263672e+00 2.269222736358642578e+00
3.000000000000000000e+01 2.000000000000000000e+01 3.982043027877807617e+00 2.401059150695800781e+00
3.000000000000000000e+01 2.100000000000000000e+01 5.068447589874267578e+00 2.388165235519409180e+00
3.000000000000000000e+01 2.200000000000000000e+01 6.777383804321289062e+00 2.470938920974731445e+00
3.000000000000000000e+01 2.300000000000000000e+01 8.985782623291015625e+00 2.440582275390625000e+00
3.000000000000000000e+01 2.400000000000000000e+01 1.213508510589599609e+01 2.483831644058227539e+00
3.000000000000000000e+01 2.500000000000000000e+01 1.671630859375000000e+01 2.540146589279174805e+00
3.000000000000000000e+01 2.600000000000000000e+01 2.308704566955566406e+01 2.603965997695922852e+00
3.000000000000000000e+01 2.700000000000000000e+01 3.172775650024414062e+01 2.873278379440307617e+00
3.000000000000000000e+01 2.800000000000000000e+01 4.099036407470703125e+01 3.004219532012939453e+00
3.000000000000000000e+01 2.900000000000000000e+01 4.674366378784179688e+01 3.114647626876831055e+00
3.000000000000000000e+01 3.000000000000000000e+01 4.527031707763671875e+01 3.167324542999267578e+00
3.000000000000000000e+01 3.100000000000000000e+01 3.749745178222656250e+01 3.040601491928100586e+00
3.000000000000000000e+01 3.200000000000000000e+01 2.774962234497070312e+01 2.832330703735351562e+00
3.000000000000000000e+01 3.300000000000000000e+01 2.005940818786621094e+01 2.600234985351562500e+00
3.000000000000000000e+01 3.400000000000000000e+01 1.447923755645751953e+01 2.532059907913208008e+00
3.000000000000000000e+01 3.500000000000000000e+01 1.045752620697021484e+01 2.531350374221801758e+00
3.000000000000000000e+01 3.600000000000000000e+01 7.564292430877685547e+00 2.541918992996215820e+00
3.000000000000000000e+01 3.700000000000000000e+01 5.735328197479248047e+00 2.296554803848266602e+00
3.000000000000000000e+01 3.800000000000000000e+01 4.591985702514648438e+00 2.346489429473876953e+00
