# y_px x_px y_arcs x_arcs
0 0 2.341198489766421517e+03 4.888800494857999147e+05
0 1 2.341198489839297963e+03 4.888798494729162194e+05
0 2 2.341198489910012995e+03 4.888796494600325823e+05
0 3 2.341198489978493399e+03 4.888794494471487706e+05
0 4 2.341198490044830123e+03 4.888792494342650170e+05
0 5 2.341198490108887199e+03 4.888790494213813217e+05
0 6 2.341198490170775131e+03 4.888788494084975682e+05
0 7 2.341198490230498464e+03 4.888786493956138147e+05
0 8 2.341198490287945788e+03 4.888784493827300030e+05
0 9 2.341198490343249887e+03 4.888782493698462495e+05
0 10 2.341198490396308898e+03 4.888780493569624959e+05
0 11 2.341198490447256063e+03 4.888778493440786260e+05
0 12 2.341198490495913575e+03 4.888776493311948143e+05
0 13 2.341198490542405125e+03 4.888774493183110608e+05
0 14 2.341198490586658863e+03 4.888772493054271908e+05
0 15 2.341198490628794389e+03 4.888770492925433209e+05
0 16 2.341198490668641625e+03 4.888768492796595674e+05
0 17 2.341198490706309713e+03 4.888766492667756393e+05
0 18 2.341198490741815476e+03 4.888764492538917693e+05
0 19 2.341198490775067512e+03 4.888762492410080158e+05
0 20 2.341198490806129485e+03 4.888760492281241459e+05
0 21 2.341198490835031407e+03 4.888758492152402760e+05
0 22 2.341198490861682330e+03 4.888756492023564060e+05
0 23 2.341198490886124091e+03 4.888754491894725361e+05
0 24 2.341198490908437634e+03 4.888752491765886662e+05
0 25 2.341198490928512001e+03 4.888750491637046798e+05
0 26 2.341198490946359925e+03 4.888748491508208099e+05
0 27 2.341198490962043252e+03 4.888746491379369400e+05
0 28 2.341198490975541063e+03 4.888744491250530700e+05
0 29 2.341198490986777870e+03 4.888742491121692001e+05
0 30 2.341198490995787779e+03 4.888740490992852720e+05
0 31 2.341198491002716310e+03 4.888738490864013438e+05
0 32 2.341198491007374741e+03 4.888736490735174739e+05
0 33 2.341198491009808549e+03 4.888734490606335457e+05
0 34 2.341198491010070484e+03 4.888732490477496176e+05
0 35 2.341198491008082783e+03 4.888730490348657477e+05
0 36 2.341198491003938670e+03 4.888728490219818195e+05
0 37 2.341198490997634963e+03 4.888726490090979496e+05
0 38 2.341198490989093898e+03 4.888724489962140215e+05
0 39 2.341198490978355949e+03 4.888722489833300933e+05
0 40 2.341198490965393830e+03 4.888720489704462234e+05
0 41 2.341198490950236192e+03 4.888718489575623535e+05
0 42 2.341198490932905315e+03 4.888716489446784835e+05
0 43 2.341198490913385285e+03 4.888714489317946136e+05
0 44 2.341198490891597430e+03 4.888712489189106273e+05
0 45 2.341198490867634064e+03 4.888710489060267573e+05
0 46 2.341198490841429248e+03 4.888708488931428874e+05
0 47 2.341198490813118951e+03 4.888706488802590175e+05
0 48 2.341198490782544468e+03 4.888704488673751475e+05
0 49 2.341198490749828125e+03 4.888702488544913940e+05
0 50 2.341198490714822583e+03 4.888700488416075241e+05
0 51 2.341198490677667451e+03 4.888698488287236542e+05
0 52 2.341198490638294516e+03 4.888696488158397260e+05
0 53 2.341198490596730608e+03 4.888694488029559725e+05
0 54 2.341198490552965268e+03 4.888692487900721026e+05
0 55 2.341198490507052611e+03 4.888690487771883490e+05
0 56 2.341198490458890319e+03 4.888688487643045373e+05
0 57 2.341198490408423822e+03 4.888686487514206674e+05
0 58 2.341198490355929607e+03 4.888684487385369139e+05
0 59 2.341198490301130732e+03 4.888682487256531604e+05
1 0 2.341398489766181683e+03 4.888800494858740713e+05
1 1 2.341398489839099511e+03 4.888798494729881641e+05
1 2 2.341398489909784075e+03 4.888796494601023151e+05
1 3 2.341398489978291309e+03 4.888794494472162914e+05
1 4 2.341398490044593927e+03 4.888792494343303842e+05
1 5 2.341398490108682381e+03 4.888790494214444770e+05
1 6 2.341398490170548484e+03 4.888788494085585698e+05
1 7 2.341398490230297284e+03 4.888786493956725462e+05
1 8 2.341398490287785989e+03 4.888784493827865226e+05
1 9 2.341398490343085086e+03 4.888782493699005572e+05
1 10 2.341398490396167290e+03 4.888780493570145336e+05
1 11 2.341398490447049426e+03 4.888778493441285100e+05
1 12 2.341398490495759233e+03 4.888776493312424864e+05
1 13 2.341398490542218042e+03 4.888774493183564628e+05
1 14 2.341398490586524986e+03 4.888772493054704973e+05
1 15 2.341398490628558648e+03 4.888770492925844737e+05
1 16 2.341398490668474096e+03 4.888768492796984501e+05
1 17 2.341398490706229040e+03 4.888766492668123101e+05
1 18 2.341398490741666592e+03 4.888764492539262865e+05
1 19 2.341398490774913171e+03 4.888762492410402629e+05
1 20 2.341398490806016980e+03 4.888760492281541228e+05
1 21 2.341398490834843869e+03 4.888758492152680992e+05
1 22 2.341398490861598930e+03 4.888756492023819592e+05
1 23 2.341398490885980664e+03 4.888754491894959356e+05
1 24 2.341398490908265103e+03 4.888752491766098537e+05
1 25 2.341398490928367210e+03 4.888750491637237137e+05
1 26 2.341398490946276979e+03 4.888748491508375737e+05
1 27 2.341398490961943025e+03 4.888746491379515501e+05
1 28 2.341398490975362620e+03 4.888744491250654100e+05
1 29 2.341398490986669003e+03 4.888742491121793282e+05
1 30 2.341398490995778502e+03 4.888740490992931882e+05
1 31 2.341398491002616993e+03 4.888738490864071646e+05
1 32 2.341398491007252687e+03 4.888736490735210245e+05
1 33 2.341398491009651025e+03 4.888734490606348845e+05
1 34 2.341398491009972076e+03 4.888732490477488027e+05
1 35 2.341398491008013934e+03 4.888730490348626627e+05
1 36 2.341398491003864365e+03 4.888728490219765226e+05
1 37 2.341398490997535191e+03 4.888726490090904990e+05
1 38 2.341398490988965023e+03 4.888724489962043590e+05
1 39 2.341398490978163409e+03 4.888722489833182772e+05
1 40 2.341398490965260862e+03 4.888720489704321371e+05
1 41 2.341398490950123232e+03 4.888718489575461135e+05
1 42 2.341398490932785990e+03 4.888716489446599735e+05
1 43 2.341398490913210026e+03 4.888714489317738335e+05
1 44 2.341398490891509027e+03 4.888712489188878099e+05
1 45 2.341398490867552027e+03 4.888710489060017280e+05
1 46 2.341398490841335843e+03 4.888708488931155880e+05
1 47 2.341398490812966884e+03 4.888706488802295644e+05
1 48 2.341398490782421959e+03 4.888704488673434244e+05
1 49 2.341398490749639677e+03 4.888702488544574007e+05
1 50 2.341398490714692343e+03 4.888700488415712607e+05
1 51 2.341398490677532209e+03 4.888698488286852371e+05
1 52 2.341398490638110616e+03 4.888696488157992135e+05
1 53 2.341398490596639931e+03 4.888694488029131899e+05
1 54 2.341398490552844578e+03 4.888692487900271663e+05
1 55 2.341398490506845064e+03 4.888690487771411426e+05
1 56 2.341398490458639571e+03 4.888688487642550608e+05
1 57 2.341398490408298585e+03 4.888686487513690954e+05
1 58 2.341398490355747072e+03 4.888684487384830718e+05
1 59 2.341398490300930916e+03 4.888682487255970482e+05
2 0 2.341598489765950944e+03 4.888800494859482860e+05
2 1 2.341598489838861951e+03 4.888798494730601669e+05
2 2 2.341598489909572891e+03 4.888796494601719896e+05
2 3 2.341598489978102862e+03 4.888794494472838705e+05
2 4 2.341598490044424580e+03 4.888792494343957515e+05
2 5 2.341598490108493024e+03 4.888790494215075742e+05
2 6 2.341598490170410969e+03 4.888788494086194551e+05
2 7 2.341598490230097468e+03 4.888786493957312778e+05
2 8 2.341598490287632103e+03 4.888784493828431005e+05
2 9 2.341598490342913919e+03 4.888782493699549232e+05
2 10 2.341598490396049783e+03 4.888780493570666295e+05
2 11 2.341598490446850974e+03 4.888778493441784522e+05
2 12 2.341598490495582610e+03 4.888776493312902749e+05
2 13 2.341598490542091895e+03 4.888774493184020394e+05
2 14 2.341598490586363368e+03 4.888772493055137456e+05
2 15 2.341598490628476611e+03 4.888770492926254519e+05
2 16 2.341598490668346130e+03 4.888768492797372746e+05
2 17 2.341598490706030134e+03 4.888766492668490391e+05
2 18 2.341598490741524529e+03 4.888764492539607454e+05
2 19 2.341598490774810671e+03 4.888762492410724517e+05
2 20 2.341598490805876281e+03 4.888760492281842162e+05
2 21 2.341598490834743188e+03 4.888758492152959225e+05
2 22 2.341598490861443224e+03 4.888756492024076870e+05
2 23 2.341598490885876345e+03 4.888754491895193933e+05
2 24 2.341598490908200802e+03 4.888752491766309831e+05
2 25 2.341598490928280171e+03 4.888750491637427476e+05
2 26 2.341598490946101720e+03 4.888748491508544539e+05
2 27 2.341598490961832340e+03 4.888746491379661020e+05
2 28 2.341598490975254208e+03 4.888744491250778083e+05
2 29 2.341598490986559682e+03 4.888742491121895146e+05
2 30 2.341598490995589145e+03 4.888740490993011626e+05
2 31 2.341598491002446735e+03 4.888738490864128689e+05
2 32 2.341598491007124721e+03 4.888736490735246334e+05
2 33 2.341598491009608551e+03 4.888734490606362233e+05
2 34 2.341598491009890495e+03 4.888732490477479296e+05
2 35 2.341598491007950088e+03 4.888730490348596941e+05
2 36 2.341598491003763229e+03 4.888728490219712839e+05
2 37 2.341598490997466797e+03 4.888726490090830484e+05
2 38 2.341598490988870708e+03 4.888724489961946383e+05
2 39 2.341598490978122754e+03 4.888722489833064028e+05
2 40 2.341598490965106976e+03 4.888720489704181091e+05
2 41 2.341598490950023006e+03 4.888718489575297572e+05
2 42 2.341598490932659843e+03 4.888716489446414635e+05
2 43 2.341598490913081605e+03 4.888714489317531697e+05
2 44 2.341598490891332403e+03 4.888712489188649342e+05
2 45 2.341598490867351302e+03 4.888710489059765241e+05
2 46 2.341598490841216517e+03 4.888708488930882886e+05
2 47 2.341598490812868022e+03 4.888706488801999949e+05
2 48 2.341598490782305362e+03 4.888704488673117012e+05
2 49 2.341598490749521716e+03 4.888702488544234657e+05
2 50 2.341598490714543459e+03 4.888700488415351720e+05
2 51 2.341598490677361951e+03 4.888698488286468782e+05
2 52 2.341598490637989926e+03 4.888696488157586427e+05
2 53 2.341598490596446936e+03 4.888694488028704654e+05
2 54 2.341598490552653857e+03 4.888692487899821717e+05
2 55 2.341598490506675262e+03 4.888690487770938780e+05
2 56 2.341598490458536162e+03 4.888688487642057007e+05
2 57 2.341598490408149246e+03 4.888686487513175234e+05
2 58 2.341598490355550894e+03 4.888684487384292879e+05
2 59 2.341598490300788399e+03 4.888682487255411106e+05
3 0 2.341798489765747036e+03 4.888800494860224426e+05
3 1 2.341798489838677597e+03 4.888798494731321116e+05
3 2 2.341798489909357158e+03 4.888796494602417806e+05
3 3 2.341798489977940335e+03 4.888794494473513914e+05
3 4 2.341798490044250684e+03 4.888792494344610604e+05
3 5 2.341798490108322312e+03 4.888790494215707295e+05
3 6 2.341798490170219793e+03 4.888788494086803985e+05
3 7 2.341798490229902200e+03 4.888786493957900093e+05
3 8 2.341798490287406366e+03 4.888784493828996783e+05
3 9 2.341798490342744572e+03 4.888782493700092309e+05
3 10 2.341798490395833596e+03 4.888780493571188417e+05
3 11 2.341798490446728920e+03 4.888778493442283943e+05
3 12 2.341798490495425540e+03 4.888776493313380051e+05
3 13 2.341798490541948013e+03 4.888774493184474413e+05
3 14 2.341798490586205389e+03 4.888772493055570521e+05
3 15 2.341798490628284526e+03 4.888770492926666047e+05
3 16 2.341798490668236809e+03 4.888768492797760991e+05
3 17 2.341798490705853965e+03 4.888766492668857682e+05
3 18 2.341798490741404294e+03 4.888764492539952626e+05
3 19 2.341798490774649053e+03 4.888762492411046987e+05
3 20 2.341798490805819256e+03 4.888760492282141931e+05
3 21 2.341798490834662971e+03 4.888758492153237457e+05
3 22 2.341798490861335722e+03 4.888756492024332401e+05
3 23 2.341798490885823867e+03 4.888754491895427345e+05
3 24 2.341798490908038730e+03 4.888752491766522871e+05
3 25 2.341798490928171304e+03 4.888750491637617815e+05
3 26 2.341798490946011952e+03 4.888748491508712177e+05
3 27 2.341798490961713469e+03 4.888746491379807121e+05
3 28 2.341798490975151708e+03 4.888744491250902065e+05
3 29 2.341798490986372599e+03 4.888742491121996427e+05
3 30 2.341798490995559860e+03 4.888740490993091371e+05
3 31 2.341798491002347419e+03 4.888738490864186897e+05
3 32 2.341798491007078155e+03 4.888736490735281841e+05
3 33 2.341798491009455574e+03 4.888734490606376785e+05
3 34 2.341798491009752070e+03 4.888732490477471147e+05
3 35 2.341798491007799839e+03 4.888730490348566091e+05
3 36 2.341798491003667095e+03 4.888728490219661035e+05
3 37 2.341798490997284262e+03 4.888726490090755397e+05
3 38 2.341798490988740923e+03 4.888724489961850340e+05
3 39 2.341798490978017526e+03 4.888722489832945284e+05
3 40 2.341798490965036308e+03 4.888720489704039646e+05
3 41 2.341798490949921415e+03 4.888718489575134590e+05
3 42 2.341798490932540517e+03 4.888716489446229534e+05
3 43 2.341798490912966827e+03 4.888714489317323896e+05
3 44 2.341798490891268102e+03 4.888712489188420004e+05
3 45 2.341798490867204691e+03 4.888710489059514366e+05
3 46 2.341798490841086732e+03 4.888708488930609310e+05
3 47 2.341798490812746422e+03 4.888706488801705418e+05
3 48 2.341798490782176032e+03 4.888704488672799780e+05
3 49 2.341798490749388293e+03 4.888702488543894724e+05
3 50 2.341798490714433228e+03 4.888700488414990250e+05
3 51 2.341798490677261725e+03 4.888698488286086358e+05
3 52 2.341798490637832401e+03 4.888696488157180720e+05
3 53 2.341798490596309875e+03 4.888694488028276828e+05
3 54 2.341798490552521798e+03 4.888692487899372354e+05
3 55 2.341798490506533199e+03 4.888690487770467298e+05
3 56 2.341798490458332708e+03 4.888688487641562824e+05
3 57 2.341798490407974441e+03 4.888686487512658932e+05
3 58 2.341798490355409285e+03 4.888684487383755622e+05
3 59 2.341798490300586764e+03 4.888682487254850566e+05
4 0 2.341998489765527211e+03 4.888800494860965991e+05
4 1 2.341998489838488695e+03 4.888798494732040563e+05
4 2 2.341998489909223736e+03 4.888796494603114552e+05
4 3 2.341998489977728241e+03 4.888794494474190287e+05
4 4 2.341998490044034497e+03 4.888792494345264276e+05
4 5 2.341998490108168880e+03 4.888790494216338848e+05
4 6 2.341998490170102286e+03 4.888788494087412837e+05
4 7 2.341998490229793333e+03 4.888786493958487408e+05
4 8 2.341998490287262939e+03 4.888784493829561397e+05
4 9 2.341998490342612058e+03 4.888782493700634805e+05
4 10 2.341998490395710633e+03 4.888780493571708794e+05
4 11 2.341998490446576852e+03 4.888778493442783365e+05
4 12 2.341998490495281203e+03 4.888776493313856772e+05
4 13 2.341998490541840511e+03 4.888774493184929597e+05
4 14 2.341998490586101525e+03 4.888772493056003004e+05
4 15 2.341998490628202035e+03 4.888770492927076411e+05
4 16 2.341998490668095201e+03 4.888768492798149819e+05
4 17 2.341998490705776021e+03 4.888766492669223808e+05
4 18 2.341998490741297246e+03 4.888764492540296051e+05
4 19 2.341998490774584752e+03 4.888762492411369458e+05
4 20 2.341998490805650817e+03 4.888760492282442865e+05
4 21 2.341998490834529548e+03 4.888758492153515690e+05
4 22 2.341998490861249593e+03 4.888756492024589097e+05
4 23 2.341998490885639512e+03 4.888754491895662504e+05
4 24 2.341998490907988526e+03 4.888752491766734747e+05
4 25 2.341998490928056981e+03 4.888750491637808154e+05
4 26 2.341998490945916728e+03 4.888748491508880397e+05
4 27 2.341998490961605967e+03 4.888746491379953222e+05
4 28 2.341998490975086042e+03 4.888744491251025465e+05
