# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
1.000000e-01 	 2.475792e+02 	 6.909777e+00
5.000000e-01 	 2.387508e+02 	 6.929981e+00
6.020797e-01 	 2.452871e+02 	 7.185205e+00
5.962848e-01 	 2.412615e+02 	 6.563945e+00
3.605551e-01 	 2.524195e+02 	 7.828981e+00
8.000000e-01 	 2.403417e+02 	 9.035985e+00
1.451758e+00 	 2.504695e+02 	 1.043752e+01
1.362514e+00 	 1.831345e+02 	 8.772511e+00
1.214559e+00 	 2.409612e+02 	 1.084208e+01
4.714045e-01 	 2.236402e+02 	 7.929547e+00
2.236068e-01 	 2.676697e+02 	 7.738534e+00
3.000000e-01 	 2.404958e+02 	 7.600028e+00
8.171012e-01 	 2.211891e+02 	 8.543364e+00
2.236068e-01 	 2.570472e+02 	 7.416510e+00
7.694154e-01 	 2.372273e+02 	 8.092095e+00
1.414006e+00 	 2.351848e+02 	 1.034321e+01
5.830952e-01 	 2.413536e+02 	 7.306599e+00
4.853407e-01 	 2.367811e+02 	 6.770465e+00
5.497474e-01 	 2.313083e+02 	 5.649094e+00
1.325765e+00 	 2.185986e+02 	 1.030582e+01
1.282657e+00 	 2.556579e+02 	 1.082241e+01
1.328591e+00 	 2.443689e+02 	 1.262296e+01
1.502891e+00 	 2.357024e+02 	 1.164818e+01
