# y_px 	 x_px 	 Vorbin_Id
 19.000000  29.000000        6
 19.000000  30.000000        6
 20.000000  26.000000        7
 20.000000  27.000000        7
 20.000000  28.000000        6
 20.000000  29.000000        6
 20.000000  30.000000        6
 20.000000  31.000000        6
 20.000000  32.000000        6
 20.000000  33.000000        6
 21.000000  25.000000        7
 21.000000  26.000000        7
 21.000000  27.000000        7
 21.000000  28.000000        7
 21.000000  29.000000        6
 21.000000  30.000000        6
 21.000000  31.000000        6
 21.000000  32.000000        6
 21.000000  33.000000        6
 21.000000  34.000000        6
 22.000000  24.000000        7
 22.000000  25.000000        7
 22.000000  26.000000        7
 22.000000  27.000000        7
 22.000000  28.000000        7
 22.000000  29.000000        6
 22.000000  30.000000        6
 22.000000  31.000000        6
 22.000000  32.000000        6
 22.000000  33.000000        6
 22.000000  34.000000        6
 22.000000  35.000000       15
 23.000000  23.000000        7
 23.000000  24.000000        7
 23.000000  25.000000        7
 23.000000  26.000000        7
 23.000000  27.000000        7
 23.000000  28.000000        7
 23.000000  29.000000        6
 23.000000  30.000000        6
 23.000000  31.000000        6
 23.000000  32.000000        6
 23.000000  33.000000        6
 23.000000  34.000000       15
 23.000000  35.000000       15
 23.000000  36.000000       15
 24.000000  23.000000        7
 24.000000  24.000000        7
 24.000000  25.000000        7
 24.000000  26.000000        7
 24.000000  27.000000        7
 24.000000  28.000000        2
 24.000000  29.000000        2
 24.000000  30.000000        6
 24.000000  31.000000        6
 24.000000  32.000000        6
 24.000000  33.000000       15
 24.000000  34.000000       15
 24.000000  35.000000       15
 24.000000  36.000000       15
 24.000000  37.000000       15
 25.000000  22.000000        8
 25.000000  23.000000        8
 25.000000  24.000000        7
 25.000000  25.000000        7
 25.000000  26.000000        7
 25.000000  27.000000        2
 25.000000  28.000000        2
 25.000000  29.000000        2
 25.000000  30.000000        3
 25.000000  31.000000        3
 25.000000  32.000000        5
 25.000000  33.000000        5
 25.000000  34.000000       15
 25.000000  35.000000       15
 25.000000  36.000000       15
 25.000000  37.000000       15
 26.000000  21.000000        8
 26.000000  22.000000        8
 26.000000  23.000000        8
 26.000000  24.000000        8
 26.000000  25.000000        1
 26.000000  26.000000        1
 26.000000  27.000000        1
 26.000000  28.000000        2
 26.000000  29.000000        2
 26.000000  30.000000        3
 26.000000  31.000000        3
 26.000000  32.000000        5
 26.000000  33.000000        5
 26.000000  34.000000       15
 26.000000  35.000000       15
 26.000000  36.000000       15
 26.000000  37.000000       15
 27.000000  22.000000        8
 27.000000  23.000000        8
 27.000000  24.000000        8
 27.000000  25.000000        8
 27.000000  26.000000        1
 27.000000  27.000000        1
 27.000000  28.000000        1
 27.000000  29.000000        2
 27.000000  30.000000        3
 27.000000  31.000000        3
 27.000000  32.000000        5
 27.000000  33.000000        5
 27.000000  34.000000        5
 27.000000  35.000000       15
 27.000000  36.000000       15
 27.000000  37.000000       15
 28.000000  21.000000        8
 28.000000  22.000000        8
 28.000000  23.000000        8
 28.000000  24.000000        8
 28.000000  25.000000        9
 28.000000  26.000000        9
 28.000000  27.000000        9
 28.000000  28.000000        1
 28.000000  29.000000        0
 28.000000  30.000000        4
 28.000000  31.000000        4
 28.000000  32.000000       14
 28.000000  33.000000       14
 28.000000  34.000000       14
 28.000000  35.000000       14
 28.000000  36.000000       15
 28.000000  37.000000       15
 29.000000  21.000000        8
 29.000000  22.000000        8
 29.000000  23.000000        8
 29.000000  24.000000        8
 29.000000  25.000000       12
 29.000000  26.000000        9
 29.000000  27.000000        9
 29.000000  28.000000       10
 29.000000  29.000000        0
 29.000000  30.000000       11
 29.000000  31.000000       11
 29.000000  32.000000       14
 29.000000  33.000000       14
 29.000000  34.000000       14
 29.000000  35.000000       14
 29.000000  36.000000       19
 29.000000  37.000000       19
 29.000000  38.000000       19
 30.000000  21.000000        8
 30.000000  22.000000        8
 30.000000  23.000000        8
 30.000000  24.000000       12
 30.000000  25.000000       12
 30.000000  26.000000       12
 30.000000  27.000000       10
 30.000000  28.000000       10
 30.000000  29.000000       13
 30.000000  30.000000       13
 30.000000  31.000000       16
 30.000000  32.000000       16
 30.000000  33.000000       16
 30.000000  34.000000       14
 30.000000  35.000000       19
 30.000000  36.000000       19
 30.000000  37.000000       19
 31.000000  21.000000        8
 31.000000  22.000000       12
 31.000000  23.000000       12
 31.000000  24.000000       12
 31.000000  25.000000       12
 31.000000  26.000000       12
 31.000000  27.000000       17
 31.000000  28.000000       17
 31.000000  29.000000       17
 31.000000  30.000000       18
 31.000000  31.000000       16
 31.000000  32.000000       16
 31.000000  33.000000       16
 31.000000  34.000000       19
 31.000000  35.000000       19
 31.000000  36.000000       19
 31.000000  37.000000       19
 32.000000  21.000000       21
 32.000000  22.000000       21
 32.000000  23.000000       21
 32.000000  24.000000       21
 32.000000  25.000000       12
 32.000000  26.000000       12
 32.000000  27.000000       17
 32.000000  28.000000       17
 32.000000  29.000000       18
 32.000000  30.000000       18
 32.000000  31.000000       18
 32.000000  32.000000       16
 32.000000  33.000000       19
 32.000000  34.000000       19
 32.000000  35.000000       19
 32.000000  36.000000       19
 32.000000  37.000000       19
 33.000000  22.000000       21
 33.000000  23.000000       21
 33.000000  24.000000       21
 33.000000  25.000000       21
 33.000000  26.000000       21
 33.000000  27.000000       17
 33.000000  28.000000       17
 33.000000  29.000000       18
 33.000000  30.000000       18
 33.000000  31.000000       18
 33.000000  32.000000       20
 33.000000  33.000000       19
 33.000000  34.000000       19
 33.000000  35.000000       19
 33.000000  36.000000       19
 33.000000  37.000000       19
 34.000000  22.000000       21
 34.000000  23.000000       21
 34.000000  24.000000       21
 34.000000  25.000000       21
 34.000000  26.000000       21
 34.000000  27.000000       21
 34.000000  28.000000       22
 34.000000  29.000000       18
 34.000000  30.000000       20
 34.000000  31.000000       20
 34.000000  32.000000       20
 34.000000  33.000000       20
 34.000000  34.000000       19
 34.000000  35.000000       19
 34.000000  36.000000       19
 35.000000  23.000000       21
 35.000000  24.000000       21
 35.000000  25.000000       21
 35.000000  26.000000       21
 35.000000  27.000000       22
 35.000000  28.000000       22
 35.000000  29.000000       22
 35.000000  30.000000       20
 35.000000  31.000000       20
 35.000000  32.000000       20
 35.000000  33.000000       20
 35.000000  34.000000       20
 35.000000  35.000000       19
 36.000000  23.000000       21
 36.000000  24.000000       21
 36.000000  25.000000       21
 36.000000  26.000000       22
 36.000000  27.000000       22
 36.000000  28.000000       22
 36.000000  29.000000       22
 36.000000  30.000000       20
 36.000000  31.000000       20
 36.000000  32.000000       20
 36.000000  33.000000       20
 36.000000  34.000000       20
 37.000000  24.000000       21
 37.000000  25.000000       22
 37.000000  26.000000       22
 37.000000  27.000000       22
 37.000000  28.000000       22
 37.000000  29.000000       22
 37.000000  30.000000       22
 37.000000  31.000000       20
 37.000000  32.000000       20
 37.000000  33.000000       20
 38.000000  25.000000       22
 38.000000  26.000000       22
 38.000000  27.000000       22
 38.000000  28.000000       22
 38.000000  29.000000       22
 38.000000  30.000000       22
 38.000000  31.000000       20
 38.000000  32.000000       20
