# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 1.400493995495514810e+02 2.474619983721264305e+02 1.152257383374305055e+00 6.891897256791842175e+00 7.078611336871602155e+00
1 1.551215583654108912e+02 2.391166783219363765e+02 1.318116432337320676e+00 6.627174184894090381e+00 6.658471879769218837e+00
2 1.495722880074419834e+02 2.444121131218586243e+02 1.277790647256873191e+00 8.901350689473060740e+00 7.298953021024399135e+00
3 1.573667666714187021e+02 2.402638059946555416e+02 1.244298512664952616e+00 6.441643748447964946e+00 6.489949987948947729e+00
4 1.344713545001126533e+02 2.510970219943958455e+02 1.025158909684096287e+00 7.510418452222171304e+00 7.935667650361731162e+00
5 1.506999426856471587e+02 2.399417756560588941e+02 1.313324163099423236e+00 8.925987120027667032e+00 9.572707313327638801e+00
6 1.798118807409305759e+02 2.482625617167997234e+02 1.416875575524254138e+00 1.021619772513011171e+01 1.071822764922664639e+01
7 1.426560094622478516e+02 1.819009201473640474e+02 1.438934467582176469e+00 8.488284472749789700e+00 9.019311167456796952e+00
8 1.697034150967101596e+02 2.375001942239749440e+02 1.358119360829457278e+00 1.130848823562739724e+01 1.171477838580475961e+01
9 1.419747072759861055e+02 2.244094543146207172e+02 1.217578335538509249e+00 6.831594929262379878e+00 7.003681303626183130e+00
10 1.548637135617458114e+02 2.655481450466842830e+02 1.222601157495507129e+00 7.659395456663690815e+00 7.855220220545009902e+00
11 1.609213740828388381e+02 2.388691449645768614e+02 1.073715704466289944e+00 6.757887982859736908e+00 7.084906896924292319e+00
12 1.457604311666441106e+02 2.183586294148527998e+02 1.406795128695149222e+00 8.189295846053910921e+00 8.345805575105528007e+00
13 1.457770622582823989e+02 2.571974741109730189e+02 1.082184494012178533e+00 7.472758070916061257e+00 7.745990458872489270e+00
14 1.533940531922001469e+02 2.365029489500194870e+02 1.494694114637085791e+00 9.699876148445799373e+00 7.911144656164412758e+00
15 1.637093413178195931e+02 2.343610129149222132e+02 1.415836386190113538e+00 1.201487097732260523e+01 1.191909180051047734e+01
16 1.619126935059864820e+02 2.394806961852755762e+02 1.400606695375815169e+00 6.672618388970232850e+00 6.832014846709647315e+00
17 1.431133968616720438e+02 2.374604468573137694e+02 1.374939963110969998e+00 6.109662755913695342e+00 6.337022445242921798e+00
18 1.504490174092337611e+02 2.310745077233246434e+02 1.373130828185779473e+00 6.511997476523814221e+00 6.263761227110983931e+00
19 1.423005814382722178e+02 2.205653724879741731e+02 1.429627500820943364e+00 9.647556352147351078e+00 9.977401488688398601e+00
20 1.533996916228271061e+02 2.537683399478618753e+02 1.474501455595755850e+00 1.080258096558923775e+01 1.109004549374169279e+01
21 1.430878811010816491e+02 2.431927146569108231e+02 1.558472199513024847e+00 1.128937590037159744e+01 1.183200420972674038e+01
22 1.471811296244513301e+02 2.349312132277343323e+02 1.469479952770959219e+00 1.150250871876995795e+01 1.195048261168495074e+01
