# x[px] 	 y[px] 	 vrms[kms] 	 erms[km/s]
2.900000000000000000e+01 1.900000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.000000000000000000e+01 1.900000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
2.600000000000000000e+01 2.000000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.700000000000000000e+01 2.000000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.800000000000000000e+01 2.000000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
2.900000000000000000e+01 2.000000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.000000000000000000e+01 2.000000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.100000000000000000e+01 2.000000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.200000000000000000e+01 2.000000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.300000000000000000e+01 2.000000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
2.500000000000000000e+01 2.100000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.600000000000000000e+01 2.100000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.700000000000000000e+01 2.100000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.800000000000000000e+01 2.100000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.900000000000000000e+01 2.100000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.000000000000000000e+01 2.100000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.100000000000000000e+01 2.100000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.200000000000000000e+01 2.100000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.300000000000000000e+01 2.100000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.400000000000000000e+01 2.100000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
2.400000000000000000e+01 2.200000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.500000000000000000e+01 2.200000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.600000000000000000e+01 2.200000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.700000000000000000e+01 2.200000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.800000000000000000e+01 2.200000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.900000000000000000e+01 2.200000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.000000000000000000e+01 2.200000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.100000000000000000e+01 2.200000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.200000000000000000e+01 2.200000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.300000000000000000e+01 2.200000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.400000000000000000e+01 2.200000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.500000000000000000e+01 2.200000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.300000000000000000e+01 2.300000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.400000000000000000e+01 2.300000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.500000000000000000e+01 2.300000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.600000000000000000e+01 2.300000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.700000000000000000e+01 2.300000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.800000000000000000e+01 2.300000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.900000000000000000e+01 2.300000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.000000000000000000e+01 2.300000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.100000000000000000e+01 2.300000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.200000000000000000e+01 2.300000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.300000000000000000e+01 2.300000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.400000000000000000e+01 2.300000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.500000000000000000e+01 2.300000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.600000000000000000e+01 2.300000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.300000000000000000e+01 2.400000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.400000000000000000e+01 2.400000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.500000000000000000e+01 2.400000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.600000000000000000e+01 2.400000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.700000000000000000e+01 2.400000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.800000000000000000e+01 2.400000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
2.900000000000000000e+01 2.400000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
3.000000000000000000e+01 2.400000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.100000000000000000e+01 2.400000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.200000000000000000e+01 2.400000000000000000e+01 2.482625617167997234e+02 2.482625617167997234e+02
3.300000000000000000e+01 2.400000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.400000000000000000e+01 2.400000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.500000000000000000e+01 2.400000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.600000000000000000e+01 2.400000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.700000000000000000e+01 2.400000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.200000000000000000e+01 2.500000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.300000000000000000e+01 2.500000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.400000000000000000e+01 2.500000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.500000000000000000e+01 2.500000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.600000000000000000e+01 2.500000000000000000e+01 1.819009201473640474e+02 1.819009201473640474e+02
2.700000000000000000e+01 2.500000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
2.800000000000000000e+01 2.500000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
2.900000000000000000e+01 2.500000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
3.000000000000000000e+01 2.500000000000000000e+01 2.402638059946555416e+02 2.402638059946555416e+02
3.100000000000000000e+01 2.500000000000000000e+01 2.402638059946555416e+02 2.402638059946555416e+02
3.200000000000000000e+01 2.500000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.300000000000000000e+01 2.500000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.400000000000000000e+01 2.500000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.500000000000000000e+01 2.500000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.600000000000000000e+01 2.500000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.700000000000000000e+01 2.500000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.100000000000000000e+01 2.600000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.200000000000000000e+01 2.600000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.300000000000000000e+01 2.600000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.400000000000000000e+01 2.600000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.500000000000000000e+01 2.600000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.600000000000000000e+01 2.600000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.700000000000000000e+01 2.600000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.800000000000000000e+01 2.600000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
2.900000000000000000e+01 2.600000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
3.000000000000000000e+01 2.600000000000000000e+01 2.402638059946555416e+02 2.402638059946555416e+02
3.100000000000000000e+01 2.600000000000000000e+01 2.402638059946555416e+02 2.402638059946555416e+02
3.200000000000000000e+01 2.600000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.300000000000000000e+01 2.600000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.400000000000000000e+01 2.600000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.500000000000000000e+01 2.600000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.600000000000000000e+01 2.600000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.700000000000000000e+01 2.600000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.200000000000000000e+01 2.700000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.300000000000000000e+01 2.700000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.400000000000000000e+01 2.700000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.500000000000000000e+01 2.700000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.600000000000000000e+01 2.700000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.700000000000000000e+01 2.700000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.800000000000000000e+01 2.700000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.900000000000000000e+01 2.700000000000000000e+01 2.444121131218586243e+02 2.444121131218586243e+02
3.000000000000000000e+01 2.700000000000000000e+01 2.402638059946555416e+02 2.402638059946555416e+02
3.100000000000000000e+01 2.700000000000000000e+01 2.402638059946555416e+02 2.402638059946555416e+02
3.200000000000000000e+01 2.700000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.300000000000000000e+01 2.700000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.400000000000000000e+01 2.700000000000000000e+01 2.399417756560588941e+02 2.399417756560588941e+02
3.500000000000000000e+01 2.700000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.600000000000000000e+01 2.700000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.700000000000000000e+01 2.700000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.100000000000000000e+01 2.800000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.200000000000000000e+01 2.800000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.300000000000000000e+01 2.800000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.400000000000000000e+01 2.800000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.500000000000000000e+01 2.800000000000000000e+01 2.244094543146207172e+02 2.244094543146207172e+02
2.600000000000000000e+01 2.800000000000000000e+01 2.244094543146207172e+02 2.244094543146207172e+02
2.700000000000000000e+01 2.800000000000000000e+01 2.244094543146207172e+02 2.244094543146207172e+02
2.800000000000000000e+01 2.800000000000000000e+01 2.391166783219363765e+02 2.391166783219363765e+02
2.900000000000000000e+01 2.800000000000000000e+01 2.474619983721264305e+02 2.474619983721264305e+02
