# Vel [km/s] 	 Disp [km/s]
1.47515e+02 	 2.50757e+02
1.51332e+02 	 2.39073e+02
1.45523e+02 	 2.16445e+02
1.29415e+02 	 2.50929e+02
1.47576e+02 	 2.43098e+02
1.52908e+02 	 2.32529e+02
1.16328e+02 	 2.49143e+02
1.39488e+02 	 2.29868e+02
1.67456e+02 	 2.39487e+02
1.66502e+02 	 2.37451e+02
1.46291e+02 	 2.40587e+02
1.50918e+02 	 2.25459e+02
1.39383e+02 	 2.26714e+02
1.61036e+02 	 2.41538e+02
1.63001e+02 	 2.47601e+02
1.44699e+02 	 2.12572e+02
1.42594e+02 	 2.49011e+02
1.66457e+02 	 2.26907e+02
1.33347e+02 	 2.49303e+02
1.65842e+02 	 2.30343e+02
1.26793e+02 	 2.54707e+02
1.30916e+02 	 2.27336e+02
1.21302e+02 	 2.44403e+02
1.70767e+02 	 2.05593e+02
1.64098e+02 	 2.36513e+02
1.24234e+02 	 2.25817e+02
1.51922e+02 	 2.32127e+02
1.42723e+02 	 2.25703e+02
1.60400e+02 	 2.46702e+02
1.44265e+02 	 2.31481e+02
1.51368e+02 	 2.08018e+02
1.56763e+02 	 2.36940e+02
1.52907e+02 	 2.18369e+02
1.42525e+02 	 2.52432e+02
1.62309e+02 	 2.51244e+02
1.53378e+02 	 2.25386e+02
1.52528e+02 	 2.22069e+02
1.38459e+02 	 2.28365e+02
1.50462e+02 	 2.32208e+02
1.24101e+02 	 2.41487e+02
1.39051e+02 	 2.37177e+02
1.37611e+02 	 2.40047e+02
1.10611e+02 	 2.40589e+02
1.50039e+02 	 2.40928e+02
1.34137e+02 	 2.48751e+02
1.69048e+02 	 2.33550e+02
1.35751e+02 	 2.30033e+02
1.55402e+02 	 2.48115e+02
1.43424e+02 	 2.35270e+02
1.41739e+02 	 2.30665e+02
1.33059e+02 	 2.51319e+02
1.27329e+02 	 2.41345e+02
1.54022e+02 	 2.24886e+02
1.38462e+02 	 2.40190e+02
1.46797e+02 	 2.48013e+02
1.36320e+02 	 2.46940e+02
1.33591e+02 	 2.37749e+02
1.36567e+02 	 2.26340e+02
1.31742e+02 	 2.25110e+02
1.69669e+02 	 2.27366e+02
1.56775e+02 	 2.58806e+02
1.52423e+02 	 2.30674e+02
1.44989e+02 	 2.38157e+02
1.61724e+02 	 2.48389e+02
1.34619e+02 	 2.36452e+02
1.63865e+02 	 2.51189e+02
1.39337e+02 	 2.20163e+02
1.52009e+02 	 2.44266e+02
1.62578e+02 	 2.39210e+02
1.42897e+02 	 2.32512e+02
1.40088e+02 	 2.30034e+02
1.24514e+02 	 2.40385e+02
