# y_px x_px signal noise
1.400000000000000000e+01 3.000000000000000000e+01 2.359929800033569336e+00 2.283028125762939453e+00
1.400000000000000000e+01 3.100000000000000000e+01 2.314970254898071289e+00 2.314648628234863281e+00
1.500000000000000000e+01 2.600000000000000000e+01 2.258317232131958008e+00 2.254122972488403320e+00
1.500000000000000000e+01 2.700000000000000000e+01 2.324600934982299805e+00 2.277419328689575195e+00
1.500000000000000000e+01 2.800000000000000000e+01 2.478608131408691406e+00 2.345961332321166992e+00
1.500000000000000000e+01 2.900000000000000000e+01 2.593439340591430664e+00 2.273108482360839844e+00
1.500000000000000000e+01 3.000000000000000000e+01 2.669595479965209961e+00 2.296896457672119141e+00
1.500000000000000000e+01 3.100000000000000000e+01 2.719830751419067383e+00 2.358163595199584961e+00
1.500000000000000000e+01 3.200000000000000000e+01 2.606221914291381836e+00 2.374158859252929688e+00
1.500000000000000000e+01 3.300000000000000000e+01 2.528603553771972656e+00 2.312217473983764648e+00
1.500000000000000000e+01 3.400000000000000000e+01 2.380846500396728516e+00 2.310102939605712891e+00
1.600000000000000000e+01 2.600000000000000000e+01 2.580096483230590820e+00 2.279973745346069336e+00
1.600000000000000000e+01 2.700000000000000000e+01 2.596934080123901367e+00 2.294652700424194336e+00
1.600000000000000000e+01 2.800000000000000000e+01 2.818396806716918945e+00 2.362936258316040039e+00
1.600000000000000000e+01 2.900000000000000000e+01 2.888773202896118164e+00 2.288669824600219727e+00
1.600000000000000000e+01 3.000000000000000000e+01 2.952650308609008789e+00 2.307466268539428711e+00
1.600000000000000000e+01 3.100000000000000000e+01 3.071110486984252930e+00 2.358882427215576172e+00
1.600000000000000000e+01 3.200000000000000000e+01 2.879867076873779297e+00 2.338263273239135742e+00
1.600000000000000000e+01 3.300000000000000000e+01 2.725410938262939453e+00 2.280305862426757812e+00
1.600000000000000000e+01 3.400000000000000000e+01 2.667866945266723633e+00 2.287748813629150391e+00
1.600000000000000000e+01 3.500000000000000000e+01 2.590702056884765625e+00 2.446504116058349609e+00
1.700000000000000000e+01 2.400000000000000000e+01 2.476029872894287109e+00 2.266936779022216797e+00
1.700000000000000000e+01 2.500000000000000000e+01 2.714400768280029297e+00 2.242081403732299805e+00
1.700000000000000000e+01 2.600000000000000000e+01 2.749561548233032227e+00 2.247407197952270508e+00
1.700000000000000000e+01 2.700000000000000000e+01 3.189048051834106445e+00 2.281035661697387695e+00
