# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 156 2.514323088747125325e+02 1.378156346912897456e+00 4.321523739530736208e+00 4.540667866494140448e+00
1 153 2.487195039229360418e+02 1.703330993372169644e+00 3.255545356225614029e+00 3.411980542437027086e+00
2 154 2.361477591761806138e+02 1.606276029674475581e+00 3.192518447338595688e+00 3.242420702742056626e+00
3 150 2.244102532480756338e+02 1.602152510844551347e+00 3.875103050395277027e+00 4.070513981687686744e+00
4 164 2.287587296872213471e+02 1.528651282144911194e+00 4.621172479590248905e+00 4.870403845078958405e+00
5 161 2.285822303906469415e+02 1.294914867109488998e+00 6.120124532966062070e+00 6.467064028755367566e+00
6 142 2.030674652711610690e+02 1.382691870503534481e+00 6.995858152973087662e+00 7.524854432219459710e+00
7 132 2.514805238130716134e+02 1.430264114834178368e+00 1.165303997158786764e+01 1.207478371606358181e+01
8 144 2.363262919701208489e+02 1.441229081427524594e+00 1.292042864400180413e+01 1.372438324410187960e+01
9 183 2.348119524116735590e+02 1.269820504908468761e+00 2.057788227169151085e+01 2.144631773059631286e+01
10 340 2.799646484243986606e+02 1.093507582177699389e+00 1.099229076702504813e+02 9.214089598177008611e+01
