# y_px 	 x_px 	 Bin_Id
 14.000000  30.000000        7
 14.000000  31.000000        7
 15.000000  26.000000        7
 15.000000  27.000000        7
 15.000000  28.000000        7
 15.000000  29.000000        7
 15.000000  30.000000        7
 15.000000  31.000000        7
 15.000000  32.000000        7
 15.000000  33.000000        7
 15.000000  34.000000        7
 16.000000  26.000000        6
 16.000000  27.000000        6
 16.000000  28.000000        6
 16.000000  29.000000        6
 16.000000  30.000000        6
 16.000000  31.000000        6
 16.000000  32.000000        6
 16.000000  33.000000        6
 16.000000  34.000000        7
 16.000000  35.000000        7
 17.000000  24.000000        6
 17.000000  25.000000        6
 17.000000  26.000000        6
 17.000000  27.000000        6
 17.000000  28.000000        6
 17.000000  29.000000        6
 17.000000  30.000000        6
 17.000000  31.000000        6
 17.000000  32.000000        6
 17.000000  33.000000        6
 17.000000  34.000000        6
 17.000000  35.000000        6
 17.000000  36.000000        7
 17.000000  37.000000        7
 18.000000  23.000000        6
 18.000000  24.000000        6
 18.000000  25.000000        6
 18.000000  26.000000        5
 18.000000  27.000000        5
 18.000000  28.000000        5
 18.000000  29.000000        5
 18.000000  30.000000        5
 18.000000  31.000000        5
 18.000000  32.000000        5
 18.000000  33.000000        5
 18.000000  34.000000        6
 18.000000  35.000000        6
 18.000000  36.000000        6
 18.000000  37.000000        7
 18.000000  38.000000        7
 19.000000  22.000000        6
 19.000000  23.000000        6
 19.000000  24.000000        6
 19.000000  25.000000        5
 19.000000  26.000000        5
 19.000000  27.000000        5
 19.000000  28.000000        5
 19.000000  29.000000        5
 19.000000  30.000000        5
 19.000000  31.000000        5
 19.000000  32.000000        5
 19.000000  33.000000        5
 19.000000  34.000000        5
 19.000000  35.000000        5
 19.000000  36.000000        6
 19.000000  37.000000        6
 19.000000  38.000000        7
 20.000000  21.000000        6
 20.000000  22.000000        6
 20.000000  23.000000        6
 20.000000  24.000000        5
 20.000000  25.000000        5
 20.000000  26.000000        5
 20.000000  27.000000        4
 20.000000  28.000000        4
 20.000000  29.000000        4
 20.000000  30.000000        4
 20.000000  31.000000        4
 20.000000  32.000000        4
 20.000000  33.000000        4
 20.000000  34.000000        5
 20.000000  35.000000        5
 20.000000  36.000000        5
 20.000000  37.000000        6
 20.000000  38.000000        6
 21.000000  21.000000        6
 21.000000  22.000000        6
 21.000000  23.000000        5
 21.000000  24.000000        5
 21.000000  25.000000        4
 21.000000  26.000000        4
 21.000000  27.000000        4
 21.000000  28.000000        4
 21.000000  29.000000        4
 21.000000  30.000000        4
 21.000000  31.000000        4
 21.000000  32.000000        4
 21.000000  33.000000        4
 21.000000  34.000000        4
 21.000000  35.000000        5
 21.000000  36.000000        5
 21.000000  37.000000        6
 21.000000  38.000000        6
 21.000000  39.000000        7
 22.000000  20.000000        6
 22.000000  21.000000        6
 22.000000  22.000000        5
 22.000000  23.000000        5
 22.000000  24.000000        4
 22.000000  25.000000        4
 22.000000  26.000000        4
 22.000000  27.000000        3
 22.000000  28.000000        3
 22.000000  29.000000        3
 22.000000  30.000000        3
 22.000000  31.000000        3
 22.000000  32.000000        3
 22.000000  33.000000        4
 22.000000  34.000000        4
 22.000000  35.000000        4
 22.000000  36.000000        5
 22.000000  37.000000        5
 22.000000  38.000000        6
 22.000000  39.000000        6
 23.000000  19.000000        6
 23.000000  20.000000        6
 23.000000  21.000000        5
 23.000000  22.000000        5
 23.000000  23.000000        4
 23.000000  24.000000        4
 23.000000  25.000000        4
 23.000000  26.000000        3
 23.000000  27.000000        3
 23.000000  28.000000        3
 23.000000  29.000000        3
 23.000000  30.000000        3
 23.000000  31.000000        3
 23.000000  32.000000        3
 23.000000  33.000000        3
 23.000000  34.000000        4
 23.000000  35.000000        4
 23.000000  36.000000        5
 23.000000  37.000000        5
 23.000000  38.000000        6
 23.000000  39.000000        6
 23.000000  40.000000        7
 24.000000  19.000000        6
 24.000000  20.000000        6
 24.000000  21.000000        5
 24.000000  22.000000        5
 24.000000  23.000000        4
 24.000000  24.000000        4
 24.000000  25.000000        3
 24.000000  26.000000        3
 24.000000  27.000000        2
 24.000000  28.000000        2
 24.000000  29.000000        2
 24.000000  30.000000        2
 24.000000  31.000000        2
 24.000000  32.000000        2
 24.000000  33.000000        3
 24.000000  34.000000        3
 24.000000  35.000000        4
 24.000000  36.000000        4
 24.000000  37.000000        5
 24.000000  38.000000        5
 24.000000  39.000000        6
 24.000000  40.000000        6
 25.000000  19.000000        6
 25.000000  20.000000        5
 25.000000  21.000000        5
 25.000000  22.000000        4
 25.000000  23.000000        4
 25.000000  24.000000        3
 25.000000  25.000000        3
 25.000000  26.000000        2
 25.000000  27.000000        2
 25.000000  28.000000        2
 25.000000  29.000000        2
 25.000000  30.000000        2
 25.000000  31.000000        2
 25.000000  32.000000        2
 25.000000  33.000000        3
 25.000000  34.000000        3
 25.000000  35.000000        4
 25.000000  36.000000        4
 25.000000  37.000000        5
 25.000000  38.000000        5
 25.000000  39.000000        6
 25.000000  40.000000        6
 26.000000  18.000000        6
 26.000000  19.000000        6
 26.000000  20.000000        5
 26.000000  21.000000        5
 26.000000  22.000000        4
 26.000000  23.000000        4
 26.000000  24.000000        3
 26.000000  25.000000        2
 26.000000  26.000000        2
 26.000000  27.000000        2
 26.000000  28.000000        1
 26.000000  29.000000        1
 26.000000  30.000000        1
 26.000000  31.000000        1
 26.000000  32.000000        2
 26.000000  33.000000        2
 26.000000  34.000000        3
 26.000000  35.000000        3
 26.000000  36.000000        4
 26.000000  37.000000        4
 26.000000  38.000000        5
 26.000000  39.000000        6
 26.000000  40.000000        6
 26.000000  41.000000        7
 27.000000  18.000000        6
