# y_px 	 x_px 	 Vorbin_Id
 14.000000  30.000000       11
 14.000000  31.000000       11
 15.000000  26.000000       11
 15.000000  27.000000       11
 15.000000  28.000000       11
 15.000000  29.000000       11
 15.000000  30.000000       11
 15.000000  31.000000       11
 15.000000  32.000000       11
 15.000000  33.000000       13
 15.000000  34.000000       13
 16.000000  26.000000       11
 16.000000  27.000000       11
 16.000000  28.000000       11
 16.000000  29.000000       11
 16.000000  30.000000       11
 16.000000  31.000000       11
 16.000000  32.000000       13
 16.000000  33.000000       13
 16.000000  34.000000       13
 16.000000  35.000000       13
 17.000000  24.000000       11
 17.000000  25.000000       11
 17.000000  26.000000       11
 17.000000  27.000000       11
 17.000000  28.000000       11
 17.000000  29.000000       11
 17.000000  30.000000       11
 17.000000  31.000000       11
 17.000000  32.000000       13
 17.000000  33.000000       13
 17.000000  34.000000       13
 17.000000  35.000000       13
 17.000000  36.000000       13
 17.000000  37.000000       13
 18.000000  23.000000       11
 18.000000  24.000000       11
 18.000000  25.000000       11
 18.000000  26.000000       11
 18.000000  27.000000       11
 18.000000  28.000000       11
 18.000000  29.000000       11
 18.000000  30.000000       11
 18.000000  31.000000       11
 18.000000  32.000000       13
 18.000000  33.000000       13
 18.000000  34.000000       13
 18.000000  35.000000       13
 18.000000  36.000000       13
 18.000000  37.000000       13
 18.000000  38.000000       13
 19.000000  22.000000       11
 19.000000  23.000000       11
 19.000000  24.000000       11
 19.000000  25.000000       11
 19.000000  26.000000       11
 19.000000  27.000000       11
 19.000000  28.000000       11
 19.000000  29.000000       11
 19.000000  30.000000       11
 19.000000  31.000000       13
 19.000000  32.000000       13
 19.000000  33.000000       13
 19.000000  34.000000       13
 19.000000  35.000000       13
 19.000000  36.000000       13
 19.000000  37.000000       13
 19.000000  38.000000       13
 20.000000  21.000000        6
 20.000000  22.000000        6
 20.000000  23.000000       11
 20.000000  24.000000       11
 20.000000  25.000000       11
 20.000000  26.000000       11
 20.000000  27.000000       11
 20.000000  28.000000       11
 20.000000  29.000000       11
 20.000000  30.000000       11
 20.000000  31.000000       13
 20.000000  32.000000       13
 20.000000  33.000000       13
 20.000000  34.000000       13
 20.000000  35.000000       13
 20.000000  36.000000       13
 20.000000  37.000000       13
 20.000000  38.000000       13
 21.000000  21.000000        6
 21.000000  22.000000        6
 21.000000  23.000000        6
 21.000000  24.000000       11
 21.000000  25.000000       11
 21.000000  26.000000       11
 21.000000  27.000000       11
 21.000000  28.000000       11
 21.000000  29.000000       11
 21.000000  30.000000       11
 21.000000  31.000000       13
 21.000000  32.000000       13
 21.000000  33.000000       13
 21.000000  34.000000       13
 21.000000  35.000000       13
 21.000000  36.000000       13
 21.000000  37.000000       13
 21.000000  38.000000       22
 21.000000  39.000000       22
 22.000000  20.000000        6
 22.000000  21.000000        6
 22.000000  22.000000        6
 22.000000  23.000000        6
 22.000000  24.000000        6
 22.000000  25.000000        5
 22.000000  26.000000        5
 22.000000  27.000000        5
 22.000000  28.000000        5
 22.000000  29.000000        5
 22.000000  30.000000       12
 22.000000  31.000000       13
 22.000000  32.000000       13
 22.000000  33.000000       13
 22.000000  34.000000       13
 22.000000  35.000000       13
 22.000000  36.000000       13
 22.000000  37.000000       22
 22.000000  38.000000       22
 22.000000  39.000000       22
 23.000000  19.000000        6
 23.000000  20.000000        6
 23.000000  21.000000        6
 23.000000  22.000000        6
 23.000000  23.000000        6
 23.000000  24.000000        6
 23.000000  25.000000        5
 23.000000  26.000000        5
 23.000000  27.000000        5
 23.000000  28.000000        5
 23.000000  29.000000       12
 23.000000  30.000000       12
 23.000000  31.000000       12
 23.000000  32.000000       13
 23.000000  33.000000       13
 23.000000  34.000000       13
 23.000000  35.000000       22
 23.000000  36.000000       22
 23.000000  37.000000       22
 23.000000  38.000000       22
 23.000000  39.000000       22
 23.000000  40.000000       22
 24.000000  19.000000        6
 24.000000  20.000000        6
 24.000000  21.000000        6
 24.000000  22.000000        6
 24.000000  23.000000        6
 24.000000  24.000000        6
 24.000000  25.000000        5
 24.000000  26.000000        5
 24.000000  27.000000        5
 24.000000  28.000000        5
 24.000000  29.000000       12
 24.000000  30.000000       12
 24.000000  31.000000       12
 24.000000  32.000000       12
 24.000000  33.000000       14
 24.000000  34.000000       22
 24.000000  35.000000       22
 24.000000  36.000000       22
 24.000000  37.000000       22
 24.000000  38.000000       22
 24.000000  39.000000       22
 24.000000  40.000000       22
 25.000000  19.000000        6
 25.000000  20.000000        6
 25.000000  21.000000        6
 25.000000  22.000000        6
 25.000000  23.000000        6
 25.000000  24.000000        6
 25.000000  25.000000        5
 25.000000  26.000000        5
 25.000000  27.000000        5
 25.000000  28.000000        5
 25.000000  29.000000       12
 25.000000  30.000000       12
 25.000000  31.000000       12
 25.000000  32.000000       14
 25.000000  33.000000       14
 25.000000  34.000000       22
 25.000000  35.000000       22
 25.000000  36.000000       22
 25.000000  37.000000       22
 25.000000  38.000000       22
 25.000000  39.000000       22
 25.000000  40.000000       22
 26.000000  18.000000        6
 26.000000  19.000000        6
 26.000000  20.000000        6
 26.000000  21.000000        6
 26.000000  22.000000        6
 26.000000  23.000000        6
 26.000000  24.000000        6
 26.000000  25.000000        4
 26.000000  26.000000        4
 26.000000  27.000000        5
 26.000000  28.000000        5
 26.000000  29.000000       12
 26.000000  30.000000       12
 26.000000  31.000000       14
 26.000000  32.000000       14
 26.000000  33.000000       14
 26.000000  34.000000       23
 26.000000  35.000000       22
 26.000000  36.000000       22
 26.000000  37.000000       22
 26.000000  38.000000       22
 26.000000  39.000000       22
 26.000000  40.000000       22
 26.000000  41.000000       22
 27.000000  18.000000        6
 27.000000  19.000000        6
 27.000000  20.000000        6
 27.000000  21.000000        6
 27.000000  22.000000        6
 27.000000  23.000000        6
 27.000000  24.000000        4
 27.000000  25.000000        4
 27.000000  26.000000        4
 27.000000  27.000000        4
 27.000000  28.000000        2
 27.000000  29.000000        1
 27.000000  30.000000       14
 27.000000  31.000000       14
 27.000000  32.000000       14
 27.000000  33.000000       14
 27.000000  34.000000       23
 27.000000  35.000000       23
 27.000000  36.000000       23
 27.000000  37.000000       23
 27.000000  38.000000       22
 27.000000  39.000000       22
 27.000000  40.000000       22
 27.000000  41.000000       22
 28.000000  18.000000        7
 28.000000  19.000000        7
 28.000000  20.000000        6
 28.000000  21.000000        6
 28.000000  22.000000        6
 28.000000  23.000000        6
 28.000000  24.000000        4
 28.000000  25.000000        4
 28.000000  26.000000        4
 28.000000  27.000000        4
 28.000000  28.000000        2
 28.000000  29.000000        1
 28.000000  30.000000       15
 28.000000  31.000000       15
 28.000000  32.000000       21
 28.000000  33.000000       21
 28.000000  34.000000       23
 28.000000  35.000000       23
 28.000000  36.000000       23
 28.000000  37.000000       23
 28.000000  38.000000       23
 28.000000  39.000000       23
 28.000000  40.000000       23
 28.000000  41.000000       22
 29.000000  17.000000        7
 29.000000  18.000000        7
 29.000000  19.000000        7
 29.000000  20.000000        7
 29.000000  21.000000        7
 29.000000  22.000000        7
 29.000000  23.000000        7
 29.000000  24.000000        8
 29.000000  25.000000        8
 29.000000  26.000000        8
 29.000000  27.000000        3
 29.000000  28.000000        3
 29.000000  29.000000        0
 29.000000  30.000000       16
 29.000000  31.000000       21
 29.000000  32.000000       21
 29.000000  33.000000       21
 29.000000  34.000000       25
 29.000000  35.000000       23
 29.000000  36.000000       23
 29.000000  37.000000       23
 29.000000  38.000000       23
 29.000000  39.000000       23
 29.000000  40.000000       23
 29.000000  41.000000       23
 30.000000  18.000000        7
 30.000000  19.000000        7
 30.000000  20.000000        7
 30.000000  21.000000        7
 30.000000  22.000000        7
 30.000000  23.000000        7
 30.000000  24.000000        8
 30.000000  25.000000        8
 30.000000  26.000000        8
 30.000000  27.000000        8
 30.000000  28.000000        9
 30.000000  29.000000        9
 30.000000  30.000000       19
 30.000000  31.000000       19
 30.000000  32.000000       21
 30.000000  33.000000       25
 30.000000  34.000000       25
 30.000000  35.000000       25
 30.000000  36.000000       23
 30.000000  37.000000       23
 30.000000  38.000000       23
 30.000000  39.000000       23
 30.000000  40.000000       23
 30.000000  41.000000       23
 31.000000  18.000000        7
 31.000000  19.000000        7
 31.000000  20.000000        7
 31.000000  21.000000        7
 31.000000  22.000000        7
 31.000000  23.000000        7
 31.000000  24.000000        8
 31.000000  25.000000        8
 31.000000  26.000000        8
 31.000000  27.000000       10
 31.000000  28.000000       10
 31.000000  29.000000       18
 31.000000  30.000000       18
 31.000000  31.000000       24
 31.000000  32.000000       24
 31.000000  33.000000       25
 31.000000  34.000000       25
 31.000000  35.000000       25
 31.000000  36.000000       25
 31.000000  37.000000       23
 31.000000  38.000000       27
 31.000000  39.000000       27
 31.000000  40.000000       27
 32.000000  18.000000        7
 32.000000  19.000000        7
 32.000000  20.000000        7
 32.000000  21.000000        7
 32.000000  22.000000        7
 32.000000  23.000000        7
 32.000000  24.000000        8
 32.000000  25.000000        8
 32.000000  26.000000       10
 32.000000  27.000000       10
 32.000000  28.000000       20
 32.000000  29.000000       20
 32.000000  30.000000       24
 32.000000  31.000000       24
 32.000000  32.000000       24
 32.000000  33.000000       25
 32.000000  34.000000       25
 32.000000  35.000000       25
 32.000000  36.000000       27
 32.000000  37.000000       27
 32.000000  38.000000       27
 32.000000  39.000000       27
 32.000000  40.000000       27
 33.000000  18.000000        7
 33.000000  19.000000        7
 33.000000  20.000000        7
 33.000000  21.000000        7
 33.000000  22.000000        7
 33.000000  23.000000        7
 33.000000  24.000000        7
 33.000000  25.000000       10
 33.000000  26.000000       10
 33.000000  27.000000       20
 33.000000  28.000000       20
 33.000000  29.000000       20
 33.000000  30.000000       20
 33.000000  31.000000       24
 33.000000  32.000000       24
 33.000000  33.000000       24
 33.000000  34.000000       25
 33.000000  35.000000       27
 33.000000  36.000000       27
 33.000000  37.000000       27
 33.000000  38.000000       27
 33.000000  39.000000       27
 33.000000  40.000000       27
 34.000000  18.000000        7
 34.000000  19.000000        7
 34.000000  20.000000        7
 34.000000  21.000000        7
 34.000000  22.000000        7
 34.000000  23.000000        7
 34.000000  24.000000       17
 34.000000  25.000000       10
 34.000000  26.000000       20
 34.000000  27.000000       20
 34.000000  28.000000       20
