# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 151 2.418983881988346809e+02 9.361528226016502252e-01 7.346506430034252411e+00 7.334768936484282520e+00
1 142 2.699294998724092807e+02 1.107795244626840647e+00 7.392833338084937367e+00 7.498259829987982350e+00
2 145 2.432518865004707607e+02 1.038669841970780938e+00 7.122064598710504235e+00 7.046422054907952592e+00
3 157 2.598012312982116896e+02 1.065820880583868480e+00 7.149742279428400238e+00 7.407676619427425280e+00
4 163 2.399606963187954705e+02 1.396498287365385282e+00 6.732967688204713141e+00 6.805263777989702056e+00
5 156 2.054753814296546466e+02 1.333737553090219574e+00 6.179723244039916352e+00 6.517525885287426490e+00
6 132 2.171035694986794908e+02 1.544062455455080585e+00 1.189196433621041749e+01 1.258161924026934031e+01
7 130 2.140918518136194280e+02 1.515143348985526606e+00 1.234584891462485778e+01 1.253546359060540638e+01
8 156 2.332522567049704776e+02 1.469441510411058083e+00 6.795163765928152522e+00 6.597097109378062818e+00
9 149 2.586531975911660197e+02 1.171399754631373025e+00 7.077232292932619906e+00 7.211178210161443225e+00
10 141 2.376333885569379731e+02 1.233186810483887008e+00 6.660778477621484228e+00 6.994949090757290655e+00
11 170 2.204874275095474161e+02 1.454764534433244494e+00 1.316661975050107181e+01 1.385675198664288743e+01
