# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 147 2.622281092025189650e+02 9.694615791176985908e-01 1.639026550769506230e+01 2.136323950459520304e+01
1 132 2.433065324970768870e+02 1.174627569566857321e+00 8.633054357730435058e+00 9.028954375310458857e+00
2 141 2.136150098684555019e+02 1.136504126276804971e+00 6.892562015729415847e+00 7.982662229223587147e+00
3 125 2.219661489893292128e+02 1.241641074875726058e+00 9.289858323170063770e+00 8.616043047028863811e+00
4 154 2.259891867317225262e+02 1.163365545038709037e+00 8.973060157128971426e+00 9.336019734021430594e+00
5 143 2.028763001526506002e+02 1.344625200531591958e+00 8.927078854775990280e+00 1.107759755400804558e+01
6 163 1.964662839992585361e+02 1.174735862605674752e+00 1.000295061360666260e+01 1.231065257586075745e+01
7 154 2.392791425859753929e+02 1.202208765068964791e+00 1.496189522529855687e+01 1.642981797399698962e+01
8 177 2.439669019695733141e+02 1.123915184557685576e+00 1.625723133179307212e+01 1.827511155925595432e+01
9 126 2.064916954094024106e+02 1.114883125060473379e+00 1.941262399831488850e+01 1.816057103441712073e+01
10 147 2.301712057917624179e+02 1.111482029928470228e+00 2.116299085170918559e+01 2.656516324467055412e+01
11 61 4.472163228330146580e+02 1.203902315318642557e+00 5.263994486620453728e+01 5.751804286768040697e+01
12 137 2.055529026253149141e+02 1.271625627544159975e+00 2.577421425286865286e+01 3.369528701211184796e+01
13 176 2.224172274030895267e+02 1.239799610386760786e+00 3.085869065896486774e+01 4.128654625962440150e+01
14 295 1.905878718963164147e+02 1.260712536796425365e+00 3.976938494538885038e+01 4.457228215014822581e+01
15 230 7.409101113011612938e+01 1.240308247363715921e+00 4.087484327478364321e+01 7.295588589567111626e+01
