# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
1.488383896192331e+01 -2.114553795847666e+00 1.196890869140625e+02 5.540861129760742e+01
1.509004314731994e+01 -1.136044810745888e+00 1.196890869140625e+02 5.540861129760742e+01
1.308051323523501e+01 -5.822385550858151e+00 2.251307525634766e+02 4.053106689453125e+01
1.328671742063164e+01 -4.843876565756372e+00 2.251307525634766e+02 4.053106689453125e+01
1.349292160602827e+01 -3.865367580654594e+00 2.251307525634766e+02 4.053106689453125e+01
1.369912579142490e+01 -2.886858595552815e+00 2.251307525634766e+02 4.053106689453125e+01
1.390532997682153e+01 -1.908349610451037e+00 2.251307525634766e+02 4.053106689453125e+01
1.411153416221816e+01 -9.298406253492584e-01 2.251307525634766e+02 4.053106689453125e+01
1.431773834761479e+01 4.866835975251993e-02 2.251307525634766e+02 4.053106689453125e+01
1.452394253301142e+01 1.027177344854298e+00 2.251307525634766e+02 4.053106689453125e+01
1.473014671840805e+01 2.005686329956077e+00 2.251307525634766e+02 4.053106689453125e+01
1.210200425013323e+01 -5.616181365461521e+00 2.251307525634766e+02 4.053106689453125e+01
1.230820843552986e+01 -4.637672380359742e+00 2.251307525634766e+02 4.053106689453125e+01
1.251441262092649e+01 -3.659163395257964e+00 2.248726196289062e+02 2.932072830200195e+01
1.272061680632312e+01 -2.680654410156186e+00 2.248726196289062e+02 2.932072830200195e+01
1.292682099171975e+01 -1.702145425054407e+00 2.248726196289062e+02 2.932072830200195e+01
1.313302517711638e+01 -7.236364399526287e-01 2.248726196289062e+02 2.932072830200195e+01
1.333922936251301e+01 2.548725451491496e-01 2.248726196289062e+02 2.932072830200195e+01
1.354543354790964e+01 1.233381530250928e+00 2.251307525634766e+02 4.053106689453125e+01
1.375163773330627e+01 2.211890515352706e+00 2.251307525634766e+02 4.053106689453125e+01
1.395784191870290e+01 3.190399500454485e+00 2.251307525634766e+02 4.053106689453125e+01
1.071108689423819e+01 -7.366995150268448e+00 2.251307525634766e+02 4.053106689453125e+01
1.091729107963482e+01 -6.388486165166670e+00 2.248726196289062e+02 2.932072830200195e+01
1.112349526503145e+01 -5.409977180064891e+00 2.248726196289062e+02 2.932072830200195e+01
1.132969945042808e+01 -4.431468194963113e+00 2.248726196289062e+02 2.932072830200195e+01
1.153590363582471e+01 -3.452959209861334e+00 2.248726196289062e+02 2.932072830200195e+01
1.174210782122134e+01 -2.474450224759556e+00 2.248726196289062e+02 2.932072830200195e+01
1.194831200661797e+01 -1.495941239657777e+00 2.248726196289062e+02 2.932072830200195e+01
1.215451619201460e+01 -5.174322545559991e-01 2.248726196289062e+02 2.932072830200195e+01
1.236072037741123e+01 4.610767305457792e-01 2.248726196289062e+02 2.932072830200195e+01
1.256692456280786e+01 1.439585715647558e+00 2.248726196289062e+02 2.932072830200195e+01
1.277312874820449e+01 2.418094700749336e+00 2.248726196289062e+02 2.932072830200195e+01
1.297933293360112e+01 3.396603685851114e+00 2.251307525634766e+02 4.053106689453125e+01
1.318553711899775e+01 4.375112670952893e+00 2.251307525634766e+02 4.053106689453125e+01
1.339174130439438e+01 5.353621656054671e+00 2.251307525634766e+02 4.053106689453125e+01
9.526373723739784e+00 -8.139299949973596e+00 2.251307525634766e+02 4.053106689453125e+01
9.732577909136415e+00 -7.160790964871818e+00 2.248726196289062e+02 2.932072830200195e+01
9.938782094533044e+00 -6.182281979770040e+00 2.248726196289062e+02 2.932072830200195e+01
1.014498627992967e+01 -5.203772994668261e+00 4.127154541015625e+02 4.413436508178711e+01
1.035119046532630e+01 -4.225264009566483e+00 4.127154541015625e+02 4.413436508178711e+01
1.055739465072293e+01 -3.246755024464705e+00 4.127154541015625e+02 4.413436508178711e+01
1.076359883611956e+01 -2.268246039362926e+00 4.127154541015625e+02 4.413436508178711e+01
1.096980302151619e+01 -1.289737054261148e+00 4.127154541015625e+02 4.413436508178711e+01
1.117600720691282e+01 -3.112280691593694e-01 4.127154541015625e+02 4.413436508178711e+01
1.138221139230945e+01 6.672809159424089e-01 4.127154541015625e+02 4.413436508178711e+01
1.158841557770608e+01 1.645789901044187e+00 4.127154541015625e+02 4.413436508178711e+01
1.179461976310271e+01 2.624298886145966e+00 2.248726196289062e+02 2.932072830200195e+01
1.200082394849934e+01 3.602807871247744e+00 2.248726196289062e+02 2.932072830200195e+01
1.220702813389597e+01 4.581316856349522e+00 2.248726196289062e+02 2.932072830200195e+01
1.241323231929260e+01 5.559825841451302e+00 2.251307525634766e+02 4.053106689453125e+01
1.261943650468923e+01 6.538334826553079e+00 2.251307525634766e+02 4.053106689453125e+01
8.341660553241375e+00 -8.911604749678744e+00 2.251307525634766e+02 4.053106689453125e+01
8.547864738638005e+00 -7.933095764576967e+00 2.248726196289062e+02 2.932072830200195e+01
8.754068924034636e+00 -6.954586779475188e+00 2.248726196289062e+02 2.932072830200195e+01
8.960273109431265e+00 -5.976077794373410e+00 4.127154541015625e+02 4.413436508178711e+01
9.166477294827894e+00 -4.997568809271632e+00 4.127154541015625e+02 4.413436508178711e+01
9.372681480224525e+00 -4.019059824169854e+00 4.127154541015625e+02 4.413436508178711e+01
9.578885665621154e+00 -3.040550839068075e+00 1.829666290283203e+02 1.500946331024170e+01
9.785089851017784e+00 -2.062041853966297e+00 1.829666290283203e+02 1.500946331024170e+01
9.991294036414413e+00 -1.083532868864518e+00 1.829666290283203e+02 1.500946331024170e+01
1.019749822181104e+01 -1.050238837627397e-01 1.829666290283203e+02 1.500946331024170e+01
1.040370240720767e+01 8.734851013390386e-01 1.829666290283203e+02 1.500946331024170e+01
1.060990659260430e+01 1.851994086440817e+00 4.127154541015625e+02 4.413436508178711e+01
1.081611077800093e+01 2.830503071542595e+00 4.127154541015625e+02 4.413436508178711e+01
1.102231496339756e+01 3.809012056644374e+00 4.127154541015625e+02 4.413436508178711e+01
1.122851914879419e+01 4.787521041746152e+00 2.248726196289062e+02 2.932072830200195e+01
1.143472333419082e+01 5.766030026847931e+00 2.248726196289062e+02 2.932072830200195e+01
1.164092751958745e+01 6.744539011949709e+00 2.251307525634766e+02 4.053106689453125e+01
7.156947382742969e+00 -9.683909549383895e+00 2.251307525634766e+02 4.053106689453125e+01
7.363151568139598e+00 -8.705400564282115e+00 2.248726196289062e+02 2.932072830200195e+01
7.569355753536228e+00 -7.726891579180338e+00 2.248726196289062e+02 2.932072830200195e+01
7.775559938932858e+00 -6.748382594078558e+00 4.127154541015625e+02 4.413436508178711e+01
7.981764124329487e+00 -5.769873608976781e+00 4.127154541015625e+02 4.413436508178711e+01
8.187968309726116e+00 -4.791364623875002e+00 1.829666290283203e+02 1.500946331024170e+01
8.394172495122746e+00 -3.812855638773224e+00 1.829666290283203e+02 1.500946331024170e+01
8.600376680519377e+00 -2.834346653671445e+00 1.829666290283203e+02 1.500946331024170e+01
8.806580865916006e+00 -1.855837668569667e+00 1.829666290283203e+02 1.500946331024170e+01
9.012785051312635e+00 -8.773286834678885e-01 1.829666290283203e+02 1.500946331024170e+01
9.218989236709266e+00 1.011803016338899e-01 1.829666290283203e+02 1.500946331024170e+01
9.425193422105895e+00 1.079689286735668e+00 1.829666290283203e+02 1.500946331024170e+01
9.631397607502524e+00 2.058198271837447e+00 1.829666290283203e+02 1.500946331024170e+01
9.837601792899154e+00 3.036707256939225e+00 4.127154541015625e+02 4.413436508178711e+01
1.004380597829578e+01 4.015216242041003e+00 4.127154541015625e+02 4.413436508178711e+01
1.025001016369241e+01 4.993725227142782e+00 4.127154541015625e+02 4.413436508178711e+01
1.045621434908904e+01 5.972234212244560e+00 2.248726196289062e+02 2.932072830200195e+01
1.066241853448567e+01 6.950743197346339e+00 2.251307525634766e+02 4.053106689453125e+01
6.178438397641190e+00 -9.477705363987265e+00 2.248726196289062e+02 2.932072830200195e+01
6.384642583037820e+00 -8.499196378885486e+00 2.248726196289062e+02 2.932072830200195e+01
6.590846768434449e+00 -7.520687393783708e+00 4.127154541015625e+02 4.413436508178711e+01
6.797050953831079e+00 -6.542178408681929e+00 1.829666290283203e+02 1.500946331024170e+01
7.003255139227709e+00 -5.563669423580151e+00 1.829666290283203e+02 1.500946331024170e+01
7.209459324624339e+00 -4.585160438478372e+00 1.829666290283203e+02 1.500946331024170e+01
7.415663510020968e+00 -3.606651453376594e+00 2.515979309082031e+02 1.624359130859375e+01
7.621867695417597e+00 -2.628142468274816e+00 2.515979309082031e+02 1.624359130859375e+01
7.828071880814227e+00 -1.649633483173037e+00 2.515979309082031e+02 1.624359130859375e+01
8.034276066210857e+00 -6.711244980712588e-01 2.515979309082031e+02 1.624359130859375e+01
8.240480251607487e+00 3.073844870305196e-01 2.515979309082031e+02 1.624359130859375e+01
8.446684437004116e+00 1.285893472132298e+00 2.515979309082031e+02 1.624359130859375e+01
8.652888622400745e+00 2.264402457234076e+00 1.829666290283203e+02 1.500946331024170e+01
8.859092807797376e+00 3.242911442335854e+00 1.829666290283203e+02 1.500946331024170e+01
9.065296993194005e+00 4.221420427437633e+00 1.829666290283203e+02 1.500946331024170e+01
9.271501178590634e+00 5.199929412539412e+00 4.127154541015625e+02 4.413436508178711e+01
9.477705363987265e+00 6.178438397641190e+00 2.248726196289062e+02 2.932072830200195e+01
9.683909549383895e+00 7.156947382742969e+00 2.248726196289062e+02 2.932072830200195e+01
