# y_px x_px signal noise
1.900000000000000000e+01 2.800000000000000000e+01 2.438851833343505859e+00 2.220474481582641602e+00
1.900000000000000000e+01 2.900000000000000000e+01 2.546682596206665039e+00 2.182528972625732422e+00
1.900000000000000000e+01 3.000000000000000000e+01 2.829580307006835938e+00 2.244756937026977539e+00
1.900000000000000000e+01 3.100000000000000000e+01 2.606238842010498047e+00 2.213358402252197266e+00
1.900000000000000000e+01 3.200000000000000000e+01 2.477450370788574219e+00 2.271136283874511719e+00
2.000000000000000000e+01 2.600000000000000000e+01 2.561795949935913086e+00 2.403192043304443359e+00
2.000000000000000000e+01 2.700000000000000000e+01 2.774021863937377930e+00 2.402163982391357422e+00
2.000000000000000000e+01 2.800000000000000000e+01 3.328468084335327148e+00 2.399335622787475586e+00
2.000000000000000000e+01 2.900000000000000000e+01 2.980519294738769531e+00 2.367925643920898438e+00
2.000000000000000000e+01 3.000000000000000000e+01 3.455883979797363281e+00 2.412015438079833984e+00
2.000000000000000000e+01 3.100000000000000000e+01 3.293900966644287109e+00 2.384793996810913086e+00
2.000000000000000000e+01 3.200000000000000000e+01 3.026568174362182617e+00 2.436084508895874023e+00
2.000000000000000000e+01 3.300000000000000000e+01 2.909611463546752930e+00 2.485332965850830078e+00
2.000000000000000000e+01 3.400000000000000000e+01 2.660987377166748047e+00 2.433694362640380859e+00
2.100000000000000000e+01 2.500000000000000000e+01 2.843823194503784180e+00 2.456282615661621094e+00
2.100000000000000000e+01 2.600000000000000000e+01 3.264441251754760742e+00 2.433322191238403320e+00
2.100000000000000000e+01 2.700000000000000000e+01 3.576308965682983398e+00 2.424613714218139648e+00
2.100000000000000000e+01 2.800000000000000000e+01 3.996737480163574219e+00 2.399626493453979492e+00
2.100000000000000000e+01 2.900000000000000000e+01 4.135736942291259766e+00 2.378944158554077148e+00
2.100000000000000000e+01 3.000000000000000000e+01 4.098821163177490234e+00 2.432065248489379883e+00
2.100000000000000000e+01 3.100000000000000000e+01 3.802986860275268555e+00 2.377499818801879883e+00
2.100000000000000000e+01 3.200000000000000000e+01 3.598368167877197266e+00 2.441907644271850586e+00
2.100000000000000000e+01 3.300000000000000000e+01 3.434262990951538086e+00 2.479940891265869141e+00
2.100000000000000000e+01 3.400000000000000000e+01 2.967284440994262695e+00 2.442289352416992188e+00
2.200000000000000000e+01 2.300000000000000000e+01 2.601944923400878906e+00 2.512249231338500977e+00
2.200000000000000000e+01 2.400000000000000000e+01 2.937901735305786133e+00 2.511420965194702148e+00
2.200000000000000000e+01 2.500000000000000000e+01 3.603147983551025391e+00 2.530015707015991211e+00
2.200000000000000000e+01 2.600000000000000000e+01 4.001236915588378906e+00 2.496824979782104492e+00
2.200000000000000000e+01 2.700000000000000000e+01 4.440807819366455078e+00 2.498908281326293945e+00
2.200000000000000000e+01 2.800000000000000000e+01 5.015448093414306641e+00 2.469487667083740234e+00
2.200000000000000000e+01 2.900000000000000000e+01 5.367174148559570312e+00 2.434486865997314453e+00
