# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 163 2.382507849001715670e+02 8.858530859594843099e-01 7.099868114211117742e+00 7.594224402774154115e+00
1 149 2.439664617195224423e+02 1.031220422428904993e+00 7.341409773385481508e+00 7.477115598136422570e+00
2 147 2.283574159493455227e+02 9.711843485617789318e-01 7.182843039754362557e+00 7.361815271452377019e+00
3 162 2.545167458397390874e+02 9.976728906922663898e-01 7.111671521542782592e+00 7.489670613150617662e+00
4 166 2.269592073976604922e+02 1.323225966292147060e+00 7.066640515312158755e+00 6.996864515709029675e+00
5 160 1.916801887273152261e+02 1.259526224439619702e+00 1.581659053739441489e+01 9.210852193365601792e+00
6 146 2.116957248428295486e+02 1.494559584104066641e+00 1.283836769966485214e+01 1.256952790636929507e+01
7 133 2.112075634718567017e+02 1.463751493388060876e+00 1.161749024595854607e+01 1.240977468905428616e+01
8 166 2.255006098677944522e+02 1.376265632778624681e+00 6.450080740940377311e+00 6.761731918394492169e+00
9 158 2.474057507493746755e+02 1.088541910227496023e+00 6.783038474798291695e+00 7.287176427788959465e+00
10 149 2.244833617099575633e+02 1.168526782267594877e+00 6.494241906936286668e+00 7.032923206279917849e+00
11 170 2.160680776519639323e+02 1.422457834200825610e+00 1.304682043811805059e+01 1.386252387735409464e+01
12 164 2.371336917097331423e+02 1.287914339673321029e+00 6.765985526782184678e+00 6.663463700919210808e+00
13 198 2.167277236141796948e+02 1.454139460392027905e+00 1.465725506635823194e+01 1.400654102977786764e+01
14 161 2.349618459345187489e+02 1.173642166265581599e+00 5.391708216171186230e+00 5.784823639986088395e+00
15 147 2.354854861026946651e+02 9.738358637155033470e-01 7.068370808602564281e+00 6.918812029496832494e+00
16 171 2.292997721473136323e+02 8.797830073400046969e-01 7.887322314325327710e+00 7.886198444024761223e+00
17 123 2.112038596275966711e+02 1.598545536285508106e+00 1.185421074806431463e+01 1.302346723091745240e+01
18 150 2.325510043247478507e+02 1.067294390682371974e+00 6.939881644789100967e+00 7.541837706273679665e+00
19 157 2.410450475583724028e+02 1.022732866253221573e+00 6.949624184770123669e+00 7.419645835287253632e+00
20 159 2.202856064194369878e+02 1.396249468499867197e+00 5.687494076179590685e+00 6.028133663531145103e+00
21 161 2.360656245702700176e+02 1.250125254511242678e+00 6.414361359460823309e+00 6.039780582414637777e+00
22 204 2.140074050528563134e+02 1.405537871738502753e+00 1.273825821454206775e+01 1.368483356240581905e+01
23 156 2.334646272430854594e+02 1.426174805552966163e+00 1.100803508037835066e+01 1.197910954722290278e+01
24 165 2.244722436341425009e+02 1.291818545278016872e+00 6.169917486493932124e+00 6.354620030951099174e+00
25 168 2.110456780966736403e+02 1.322210537304341349e+00 7.427447265786324415e+00 8.062067630972233445e+00
26 153 2.253154911322825740e+02 1.631904320365707317e+00 1.169095506757897596e+01 1.233922865621612175e+01
27 145 2.311185288329663194e+02 1.540203259406837999e+00 1.537938990132220241e+01 1.552815646073432632e+01
