# y_px 	 x_px 	 Bin_Id
 16.000000  30.000000       13
 16.000000  31.000000       13
 17.000000  28.000000       12
 17.000000  29.000000       12
 17.000000  30.000000       12
 17.000000  31.000000       12
 17.000000  32.000000       12
 18.000000  26.000000       11
 18.000000  27.000000       11
 18.000000  28.000000       11
 18.000000  29.000000       11
 18.000000  30.000000       11
 18.000000  31.000000       11
 18.000000  32.000000       11
 18.000000  33.000000       11
 18.000000  34.000000       12
 19.000000  25.000000       11
 19.000000  26.000000       11
 19.000000  27.000000       10
 19.000000  28.000000       10
 19.000000  29.000000       10
 19.000000  30.000000       10
 19.000000  31.000000       10
 19.000000  32.000000       10
 19.000000  33.000000       10
 19.000000  34.000000       11
 19.000000  35.000000       11
 19.000000  37.000000       13
 20.000000  23.000000       12
 20.000000  24.000000       11
 20.000000  25.000000       10
 20.000000  26.000000       10
 20.000000  27.000000        9
 20.000000  28.000000        9
 20.000000  29.000000        9
 20.000000  30.000000        9
 20.000000  31.000000        9
 20.000000  32.000000        9
 20.000000  33.000000        9
 20.000000  34.000000       10
 20.000000  35.000000       11
 20.000000  36.000000       11
 20.000000  37.000000       12
 21.000000  23.000000       11
 21.000000  24.000000       10
 21.000000  25.000000        9
 21.000000  26.000000        9
 21.000000  27.000000        8
 21.000000  28.000000        8
 21.000000  29.000000        8
 21.000000  30.000000        8
 21.000000  31.000000        8
 21.000000  32.000000        8
 21.000000  33.000000        9
 21.000000  34.000000        9
 21.000000  35.000000       10
 21.000000  36.000000       11
 21.000000  37.000000       12
 22.000000  22.000000       11
 22.000000  23.000000       10
 22.000000  24.000000        9
 22.000000  25.000000        8
 22.000000  26.000000        8
 22.000000  27.000000        7
 22.000000  28.000000        7
 22.000000  29.000000        7
 22.000000  30.000000        7
 22.000000  31.000000        7
 22.000000  32.000000        7
 22.000000  33.000000        8
 22.000000  34.000000        8
 22.000000  35.000000        9
 22.000000  36.000000       10
 22.000000  37.000000       11
 22.000000  38.000000       12
 23.000000  21.000000       11
 23.000000  22.000000       10
 23.000000  23.000000        9
 23.000000  24.000000        8
 23.000000  25.000000        8
 23.000000  26.000000        7
 23.000000  27.000000        6
 23.000000  28.000000        6
 23.000000  29.000000        6
 23.000000  30.000000        6
 23.000000  31.000000        6
 23.000000  32.000000        6
 23.000000  33.000000        7
 23.000000  34.000000        8
 23.000000  35.000000        9
 23.000000  36.000000       10
 23.000000  37.000000       11
 23.000000  38.000000       12
 24.000000  20.000000       12
 24.000000  21.000000       11
 24.000000  22.000000       10
 24.000000  23.000000        9
 24.000000  24.000000        8
 24.000000  25.000000        7
 24.000000  26.000000        6
 24.000000  27.000000        5
 24.000000  28.000000        5
 24.000000  29.000000        5
 24.000000  30.000000        5
 24.000000  31.000000        5
 24.000000  32.000000        5
 24.000000  33.000000        6
 24.000000  34.000000        7
 24.000000  35.000000        8
 24.000000  36.000000        9
 24.000000  37.000000       10
 24.000000  38.000000       11
 25.000000  21.000000       10
 25.000000  22.000000        9
 25.000000  23.000000        8
 25.000000  24.000000        7
 25.000000  25.000000        6
 25.000000  26.000000        5
 25.000000  27.000000        4
 25.000000  28.000000        4
 25.000000  29.000000        4
 25.000000  30.000000        4
 25.000000  31.000000        4
 25.000000  32.000000        5
 25.000000  33.000000        6
 25.000000  34.000000        7
 25.000000  35.000000        8
 25.000000  36.000000        9
 25.000000  37.000000       10
 25.000000  38.000000       11
 26.000000  20.000000       11
 26.000000  21.000000       10
 26.000000  22.000000        9
 26.000000  23.000000        8
 26.000000  24.000000        6
 26.000000  25.000000        5
 26.000000  26.000000        4
 26.000000  27.000000        4
 26.000000  28.000000        3
 26.000000  29.000000        3
 26.000000  30.000000        3
 26.000000  31.000000        3
 26.000000  32.000000        4
 26.000000  33.000000        5
 26.000000  34.000000        6
 26.000000  35.000000        7
 26.000000  36.000000        8
 26.000000  37.000000        9
 26.000000  38.000000       11
 26.000000  39.000000       12
 27.000000  19.000000       12
 27.000000  20.000000       11
 27.000000  21.000000       10
 27.000000  22.000000        8
 27.000000  23.000000        7
 27.000000  24.000000        6
 27.000000  25.000000        5
 27.000000  26.000000        4
 27.000000  27.000000        3
 27.000000  28.000000        2
 27.000000  29.000000        2
 27.000000  30.000000        2
 27.000000  31.000000        3
 27.000000  32.000000        4
 27.000000  33.000000        5
 27.000000  34.000000        6
 27.000000  35.000000        7
 27.000000  36.000000        8
 27.000000  37.000000        9
 27.000000  38.000000       10
 27.000000  39.000000       12
 28.000000  18.000000       13
 28.000000  20.000000       11
 28.000000  21.000000        9
 28.000000  22.000000        8
 28.000000  23.000000        7
 28.000000  24.000000        6
 28.000000  25.000000        5
 28.000000  26.000000        3
 28.000000  27.000000        2
 28.000000  28.000000        1
 28.000000  29.000000        1
 28.000000  30.000000        1
 28.000000  31.000000        2
 28.000000  32.000000        3
 28.000000  33.000000        4
 28.000000  34.000000        6
 28.000000  35.000000        7
 28.000000  36.000000        8
 28.000000  37.000000        9
 28.000000  38.000000       10
 28.000000  39.000000       12
 29.000000  18.000000       13
 29.000000  20.000000       10
 29.000000  21.000000        9
