# y_px x_px signal noise
1.600000000000000000e+01 3.000000000000000000e+01 2.205503702163696289e+00 2.199547529220581055e+00
1.600000000000000000e+01 3.100000000000000000e+01 2.498771667480468750e+00 2.143467903137207031e+00
1.700000000000000000e+01 2.800000000000000000e+01 2.479942798614501953e+00 2.230376482009887695e+00
1.700000000000000000e+01 2.900000000000000000e+01 2.401349067687988281e+00 2.145890235900878906e+00
1.700000000000000000e+01 3.000000000000000000e+01 2.471169233322143555e+00 2.154066562652587891e+00
1.700000000000000000e+01 3.100000000000000000e+01 2.467764854431152344e+00 2.080666542053222656e+00
1.700000000000000000e+01 3.200000000000000000e+01 2.671750545501708984e+00 2.195698976516723633e+00
1.800000000000000000e+01 2.600000000000000000e+01 2.257283210754394531e+00 2.200031280517578125e+00
1.800000000000000000e+01 2.700000000000000000e+01 2.883803129196166992e+00 2.155050992965698242e+00
1.800000000000000000e+01 2.800000000000000000e+01 2.501679658889770508e+00 2.167069911956787109e+00
1.800000000000000000e+01 2.900000000000000000e+01 2.706624984741210938e+00 2.141121625900268555e+00
1.800000000000000000e+01 3.000000000000000000e+01 2.894949197769165039e+00 2.204878330230712891e+00
1.800000000000000000e+01 3.100000000000000000e+01 2.835746526718139648e+00 2.137043237686157227e+00
1.800000000000000000e+01 3.200000000000000000e+01 2.756833076477050781e+00 2.258750200271606445e+00
1.800000000000000000e+01 3.300000000000000000e+01 2.739895105361938477e+00 2.353149175643920898e+00
1.800000000000000000e+01 3.400000000000000000e+01 2.544691324234008789e+00 2.291817903518676758e+00
1.900000000000000000e+01 2.500000000000000000e+01 2.234685182571411133e+00 2.196328163146972656e+00
1.900000000000000000e+01 2.600000000000000000e+01 2.803116798400878906e+00 2.124287366867065430e+00
1.900000000000000000e+01 2.700000000000000000e+01 2.833443880081176758e+00 2.060752153396606445e+00
1.900000000000000000e+01 2.800000000000000000e+01 3.456796884536743164e+00 2.124213218688964844e+00
1.900000000000000000e+01 2.900000000000000000e+01 3.231241226196289062e+00 2.055406332015991211e+00
1.900000000000000000e+01 3.000000000000000000e+01 3.637012004852294922e+00 2.112557411193847656e+00
1.900000000000000000e+01 3.100000000000000000e+01 3.431703329086303711e+00 2.052217483520507812e+00
1.900000000000000000e+01 3.200000000000000000e+01 3.259624242782592773e+00 2.206414937973022461e+00
1.900000000000000000e+01 3.300000000000000000e+01 3.260311126708984375e+00 2.281499624252319336e+00
1.900000000000000000e+01 3.400000000000000000e+01 2.761257410049438477e+00 2.225138664245605469e+00
1.900000000000000000e+01 3.500000000000000000e+01 2.632939577102661133e+00 2.426546096801757812e+00
1.900000000000000000e+01 3.700000000000000000e+01 2.141939878463745117e+00 2.135276794433593750e+00
2.000000000000000000e+01 2.300000000000000000e+01 2.399171590805053711e+00 2.207698106765747070e+00
2.000000000000000000e+01 2.400000000000000000e+01 2.499018430709838867e+00 2.195647716522216797e+00
2.000000000000000000e+01 2.500000000000000000e+01 3.271485090255737305e+00 2.248395442962646484e+00
2.000000000000000000e+01 2.600000000000000000e+01 3.276515007019042969e+00 2.136187076568603516e+00
2.000000000000000000e+01 2.700000000000000000e+01 3.717181921005249023e+00 2.086654663085937500e+00
2.000000000000000000e+01 2.800000000000000000e+01 4.140603065490722656e+00 2.156330585479736328e+00
2.000000000000000000e+01 2.900000000000000000e+01 4.243074417114257812e+00 2.101002216339111328e+00
2.000000000000000000e+01 3.000000000000000000e+01 4.655220985412597656e+00 2.107997894287109375e+00
2.000000000000000000e+01 3.100000000000000000e+01 3.949272394180297852e+00 2.041057586669921875e+00
2.000000000000000000e+01 3.200000000000000000e+01 3.946342945098876953e+00 2.209408283233642578e+00
2.000000000000000000e+01 3.300000000000000000e+01 3.962818145751953125e+00 2.286707639694213867e+00
2.000000000000000000e+01 3.400000000000000000e+01 3.287104845046997070e+00 2.244856834411621094e+00
2.000000000000000000e+01 3.500000000000000000e+01 2.928674697875976562e+00 2.276980161666870117e+00
2.000000000000000000e+01 3.600000000000000000e+01 2.320216178894042969e+00 2.201567173004150391e+00
2.000000000000000000e+01 3.700000000000000000e+01 2.146322250366210938e+00 2.026233434677124023e+00
2.100000000000000000e+01 2.300000000000000000e+01 2.348231077194213867e+00 2.219869852066040039e+00
2.100000000000000000e+01 2.400000000000000000e+01 3.272202730178833008e+00 2.229880571365356445e+00
2.100000000000000000e+01 2.500000000000000000e+01 3.765273571014404297e+00 2.275598287582397461e+00
2.100000000000000000e+01 2.600000000000000000e+01 4.144521236419677734e+00 2.167623758316040039e+00
2.100000000000000000e+01 2.700000000000000000e+01 4.887248992919921875e+00 2.130170583724975586e+00
2.100000000000000000e+01 2.800000000000000000e+01 5.422802925109863281e+00 2.169840335845947266e+00
2.100000000000000000e+01 2.900000000000000000e+01 5.387182235717773438e+00 2.099180459976196289e+00
2.100000000000000000e+01 3.000000000000000000e+01 5.516000747680664062e+00 2.157936811447143555e+00
2.100000000000000000e+01 3.100000000000000000e+01 5.175580501556396484e+00 2.075468063354492188e+00
2.100000000000000000e+01 3.200000000000000000e+01 4.516624927520751953e+00 2.230210065841674805e+00
2.100000000000000000e+01 3.300000000000000000e+01 4.355919837951660156e+00 2.280206441879272461e+00
2.100000000000000000e+01 3.400000000000000000e+01 4.092742919921875000e+00 2.279801130294799805e+00
2.100000000000000000e+01 3.500000000000000000e+01 3.361882209777832031e+00 2.312177896499633789e+00
2.100000000000000000e+01 3.600000000000000000e+01 2.503179788589477539e+00 2.239888429641723633e+00
2.100000000000000000e+01 3.700000000000000000e+01 2.810702323913574219e+00 2.055888652801513672e+00
2.200000000000000000e+01 2.200000000000000000e+01 2.463323354721069336e+00 2.302208900451660156e+00
2.200000000000000000e+01 2.300000000000000000e+01 3.227709054946899414e+00 2.319058418273925781e+00
2.200000000000000000e+01 2.400000000000000000e+01 3.828746795654296875e+00 2.328016996383666992e+00
2.200000000000000000e+01 2.500000000000000000e+01 4.892764568328857422e+00 2.416117906570434570e+00
2.200000000000000000e+01 2.600000000000000000e+01 5.405791282653808594e+00 2.300451517105102539e+00
2.200000000000000000e+01 2.700000000000000000e+01 5.859853744506835938e+00 2.302877187728881836e+00
2.200000000000000000e+01 2.800000000000000000e+01 6.973386764526367188e+00 2.364894151687622070e+00
2.200000000000000000e+01 2.900000000000000000e+01 6.605710029602050781e+00 2.280845403671264648e+00
2.200000000000000000e+01 3.000000000000000000e+01 7.462702274322509766e+00 2.274263143539428711e+00
2.200000000000000000e+01 3.100000000000000000e+01 6.689352989196777344e+00 2.240558624267578125e+00
2.200000000000000000e+01 3.200000000000000000e+01 6.100410461425781250e+00 2.401158094406127930e+00
2.200000000000000000e+01 3.300000000000000000e+01 5.550225257873535156e+00 2.424154758453369141e+00
2.200000000000000000e+01 3.400000000000000000e+01 4.638052940368652344e+00 2.406572580337524414e+00
2.200000000000000000e+01 3.500000000000000000e+01 4.208288669586181641e+00 2.537114143371582031e+00
2.200000000000000000e+01 3.600000000000000000e+01 3.344204902648925781e+00 2.375421524047851562e+00
2.200000000000000000e+01 3.700000000000000000e+01 3.068295001983642578e+00 2.158703565597534180e+00
2.200000000000000000e+01 3.800000000000000000e+01 2.418378353118896484e+00 2.178538799285888672e+00
2.300000000000000000e+01 2.100000000000000000e+01 2.850689172744750977e+00 2.256762981414794922e+00
2.300000000000000000e+01 2.200000000000000000e+01 2.678335666656494141e+00 2.254573106765747070e+00
2.300000000000000000e+01 2.300000000000000000e+01 3.946856975555419922e+00 2.276696443557739258e+00
2.300000000000000000e+01 2.400000000000000000e+01 4.832584857940673828e+00 2.299128055572509766e+00
2.300000000000000000e+01 2.500000000000000000e+01 5.595329284667968750e+00 2.371544837951660156e+00
2.300000000000000000e+01 2.600000000000000000e+01 6.923589229583740234e+00 2.267219543457031250e+00
2.300000000000000000e+01 2.700000000000000000e+01 7.573989868164062500e+00 2.268992900848388672e+00
2.300000000000000000e+01 2.800000000000000000e+01 8.919572830200195312e+00 2.333161354064941406e+00
2.300000000000000000e+01 2.900000000000000000e+01 8.763198852539062500e+00 2.252327919006347656e+00
2.300000000000000000e+01 3.000000000000000000e+01 9.121342658996582031e+00 2.213010072708129883e+00
2.300000000000000000e+01 3.100000000000000000e+01 8.573536872863769531e+00 2.204296588897705078e+00
2.300000000000000000e+01 3.200000000000000000e+01 7.653912067413330078e+00 2.354029655456542969e+00
2.300000000000000000e+01 3.300000000000000000e+01 6.767693519592285156e+00 2.353399515151977539e+00
2.300000000000000000e+01 3.400000000000000000e+01 5.992438316345214844e+00 2.349038600921630859e+00
2.300000000000000000e+01 3.500000000000000000e+01 4.653251647949218750e+00 2.496654987335205078e+00
2.300000000000000000e+01 3.600000000000000000e+01 3.856620073318481445e+00 2.404276371002197266e+00
2.300000000000000000e+01 3.700000000000000000e+01 3.177237987518310547e+00 2.170596122741699219e+00
2.300000000000000000e+01 3.800000000000000000e+01 2.525704622268676758e+00 2.201181650161743164e+00
2.400000000000000000e+01 2.000000000000000000e+01 2.619977474212646484e+00 2.399705410003662109e+00
2.400000000000000000e+01 2.100000000000000000e+01 2.917808294296264648e+00 2.205924987792968750e+00
2.400000000000000000e+01 2.200000000000000000e+01 3.765595674514770508e+00 2.250780105590820312e+00
2.400000000000000000e+01 2.300000000000000000e+01 4.422738552093505859e+00 2.240613222122192383e+00
2.400000000000000000e+01 2.400000000000000000e+01 5.839283466339111328e+00 2.296660184860229492e+00
2.400000000000000000e+01 2.500000000000000000e+01 7.123863220214843750e+00 2.391783952713012695e+00
2.400000000000000000e+01 2.600000000000000000e+01 8.632206916809082031e+00 2.292697668075561523e+00
2.400000000000000000e+01 2.700000000000000000e+01 1.003894901275634766e+01 2.322573661804199219e+00
2.400000000000000000e+01 2.800000000000000000e+01 1.129086208343505859e+01 2.415461540222167969e+00
2.400000000000000000e+01 2.900000000000000000e+01 1.197832965850830078e+01 2.350487232208251953e+00
2.400000000000000000e+01 3.000000000000000000e+01 1.221262741088867188e+01 2.307634830474853516e+00
2.400000000000000000e+01 3.100000000000000000e+01 1.162979030609130859e+01 2.300500631332397461e+00
2.400000000000000000e+01 3.200000000000000000e+01 1.034065818786621094e+01 2.445028781890869141e+00
2.400000000000000000e+01 3.300000000000000000e+01 8.356096267700195312e+00 2.407283067703247070e+00
2.400000000000000000e+01 3.400000000000000000e+01 6.664038181304931641e+00 2.391268491744995117e+00
2.400000000000000000e+01 3.500000000000000000e+01 5.503191947937011719e+00 2.441649436950683594e+00
2.400000000000000000e+01 3.600000000000000000e+01 4.439227104187011719e+00 2.410846710205078125e+00
2.400000000000000000e+01 3.700000000000000000e+01 3.666651487350463867e+00 2.132726669311523438e+00
2.400000000000000000e+01 3.800000000000000000e+01 2.748924493789672852e+00 2.159696102142333984e+00
2.500000000000000000e+01 2.100000000000000000e+01 3.198360681533813477e+00 2.369389295578002930e+00
2.500000000000000000e+01 2.200000000000000000e+01 3.756454944610595703e+00 2.418055295944213867e+00
2.500000000000000000e+01 2.300000000000000000e+01 5.239236354827880859e+00 2.423408508300781250e+00
2.500000000000000000e+01 2.400000000000000000e+01 6.388484477996826172e+00 2.473334074020385742e+00
2.500000000000000000e+01 2.500000000000000000e+01 8.543731689453125000e+00 2.606867074966430664e+00
2.500000000000000000e+01 2.600000000000000000e+01 1.077302455902099609e+01 2.508770942687988281e+00
2.500000000000000000e+01 2.700000000000000000e+01 1.287816429138183594e+01 2.543748855590820312e+00
2.500000000000000000e+01 2.800000000000000000e+01 1.528109073638916016e+01 2.669430494308471680e+00
2.500000000000000000e+01 2.900000000000000000e+01 1.662029838562011719e+01 2.597702741622924805e+00
2.500000000000000000e+01 3.000000000000000000e+01 1.680672073364257812e+01 2.551918983459472656e+00
2.500000000000000000e+01 3.100000000000000000e+01 1.529270744323730469e+01 2.540418863296508789e+00
2.500000000000000000e+01 3.200000000000000000e+01 1.319103717803955078e+01 2.648025274276733398e+00
2.500000000000000000e+01 3.300000000000000000e+01 1.009188175201416016e+01 2.567252159118652344e+00
2.500000000000000000e+01 3.400000000000000000e+01 8.435933113098144531e+00 2.545490026473999023e+00
2.500000000000000000e+01 3.500000000000000000e+01 6.514282703399658203e+00 2.632606744766235352e+00
2.500000000000000000e+01 3.600000000000000000e+01 5.049415588378906250e+00 2.462366342544555664e+00
2.500000000000000000e+01 3.700000000000000000e+01 3.847567558288574219e+00 2.174851894378662109e+00
2.500000000000000000e+01 3.800000000000000000e+01 2.602585315704345703e+00 2.200519561767578125e+00
2.600000000000000000e+01 2.000000000000000000e+01 2.776650667190551758e+00 2.506054162979125977e+00
2.600000000000000000e+01 2.100000000000000000e+01 3.574693679809570312e+00 2.329755544662475586e+00
2.600000000000000000e+01 2.200000000000000000e+01 4.355949878692626953e+00 2.384171485900878906e+00
2.600000000000000000e+01 2.300000000000000000e+01 5.805884838104248047e+00 2.361742496490478516e+00
2.600000000000000000e+01 2.400000000000000000e+01 7.657918453216552734e+00 2.433737993240356445e+00
2.600000000000000000e+01 2.500000000000000000e+01 9.927665710449218750e+00 2.571907997131347656e+00
2.600000000000000000e+01 2.600000000000000000e+01 1.265774345397949219e+01 2.470472097396850586e+00
2.600000000000000000e+01 2.700000000000000000e+01 1.620640563964843750e+01 2.523599147796630859e+00
2.600000000000000000e+01 2.800000000000000000e+01 1.991576385498046875e+01 2.666814327239990234e+00
2.600000000000000000e+01 2.900000000000000000e+01 2.162219619750976562e+01 2.583270788192749023e+00
