# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
0.000000e+00 	 2.621603e+02 	 1.930576e+01
2.000000e-01 	 2.459962e+02 	 8.344506e+00
4.000000e-01 	 2.237826e+02 	 7.451169e+00
6.000000e-01 	 2.313505e+02 	 7.958646e+00
8.000000e-01 	 2.260022e+02 	 8.603782e+00
1.000000e+00 	 2.100732e+02 	 1.008137e+01
1.200000e+00 	 2.083514e+02 	 1.144515e+01
1.400000e+00 	 2.378720e+02 	 1.619674e+01
1.600000e+00 	 2.412397e+02 	 1.655759e+01
1.800000e+00 	 2.075977e+02 	 1.660055e+01
2.000000e+00 	 2.811135e+02 	 2.714380e+01
2.200000e+00 	 3.986220e+02 	 4.812703e+01
2.400000e+00 	 2.421122e+02 	 4.255093e+01
2.600000e+00 	 1.879674e+02 	 8.093347e+01
