# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 163 2.621603187267328963e+02 9.874277558798315590e-01 1.750414804257224333e+01 1.930576137857568142e+01
1 130 2.437726996570218603e+02 1.225182820203550627e+00 7.335581544453706471e+00 8.361859010307359341e+00
2 148 2.232793329702676317e+02 1.221848721408153704e+00 6.493440401364395598e+00 7.455212658820942195e+00
3 131 2.291267332980958997e+02 1.330443539439104761e+00 6.828047117653637699e+00 7.979105545339127303e+00
4 157 2.259225117587073157e+02 1.199978971091685498e+00 9.031713478667777295e+00 8.603472807824099178e+00
5 145 2.093006525222791367e+02 1.373258827519936665e+00 9.088711243169779408e+00 1.008835076874296810e+01
6 166 2.083297729494763928e+02 1.230226376149451628e+00 9.643488728872936733e+00 1.144549805584057012e+01
7 164 2.378698809172176425e+02 1.223286677909489306e+00 1.412714859200944417e+01 1.619677157430384540e+01
8 185 2.402344092486152363e+02 1.161241322519385388e+00 1.533263126135857846e+01 1.656747618572990177e+01
9 126 2.042738314810744669e+02 1.139357768695442807e+00 1.853947476877424450e+01 1.653308881927808116e+01
10 170 1.799282071005924308e+02 1.231057276690845637e+00 2.301153073650348091e+01 2.482422649382054658e+01
11 -163 4.384585977746629055e+02 1.309423149036223366e+00 1.508774108906750939e+02 1.786799856810527558e+02
