# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 138 2.435360252642960290e+02 1.135571795693490538e+00 8.713960044070123701e+00 9.420871967826142779e+00
1 141 2.309248131683944223e+02 1.358674621655981962e+00 5.856331355974587538e+00 6.727552929639749379e+00
2 139 2.283582193729618552e+02 1.411187442084673727e+00 5.903490511145596642e+00 6.892132053416299087e+00
3 149 2.168080323397801124e+02 1.433735446510512546e+00 8.810668013856499670e+00 8.318562794407872829e+00
4 155 2.171938124891038626e+02 1.414611514037227291e+00 9.237666994297020651e+00 1.059189319734823620e+01
5 189 2.440103859231000172e+02 1.220383416618417982e+00 1.438997069749363611e+01 1.463580200489354688e+01
6 142 1.937785447242191879e+02 1.271830151883935667e+00 1.308044056714312653e+01 1.482646394144641633e+01
7 94 3.829694939155468205e+02 1.325715551793336555e+00 3.076248749622291356e+01 3.719994832772397331e+01
8 120 2.256569033097154318e+02 1.172182306638171134e+00 3.316655958293613082e+01 3.865555925330414766e+01
9 -232 6.065563984261252699e+02 1.139158298153341242e+00 2.552955548401009480e+02 2.492675673934897986e+02
