# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 1.568285957990752308e+02 2.430474398263829983e+02 9.307522210489538317e-01 7.160697595259441606e+00 7.534624187665243333e+00
1 1.442271853974046678e+02 2.692103591842355286e+02 1.085848765705161423e+00 7.249878056315070651e+00 7.478558893382760253e+00
2 1.471266785476996688e+02 2.458044587917217143e+02 1.070159633407578914e+00 6.492037940829640696e+00 6.662021208071594813e+00
3 1.603599834873077725e+02 2.608994716337026034e+02 1.053138499079432133e+00 7.066813226173899842e+00 7.394937743032124366e+00
4 1.537645764828334620e+02 2.365690095595863056e+02 1.403015305904585786e+00 6.359634705437346547e+00 6.636156744128731688e+00
5 1.588701177420542763e+02 1.932154000534260376e+02 1.261661008354746816e+00 7.809744819320211917e+00 8.395349690302404966e+00
6 1.624422739030249545e+02 2.129865736378394843e+02 1.487255441023372038e+00 1.031282159617226313e+01 1.090210649488476236e+01
7 1.659357155939360666e+02 2.263858628931570252e+02 1.397738614479626218e+00 7.406396256500699771e+00 7.795772505085196258e+00
8 1.574084182385472843e+02 2.638834159694945924e+02 1.128760310356674790e+00 8.066154990956558635e+00 8.286973582157685314e+00
9 1.445893112887096947e+02 2.122831885216770331e+02 1.392831532671638728e+00 1.089171484763976672e+01 1.132392255921628177e+01
10 1.551769140304760413e+02 2.272514874982989284e+02 1.258588775897011791e+00 6.605391014299287100e+00 6.935548630452990970e+00
11 1.475572905984869294e+02 2.384632980794102082e+02 1.127628461763629408e+00 6.952317849206936629e+00 7.250410998786343875e+00
12 1.439229834029257802e+02 2.301608791844688824e+02 1.619373727784428896e+00 9.251898556771500637e+00 9.653777331879179968e+00
13 1.490647028764810784e+02 2.368084774313090577e+02 1.342031491102924745e+00 6.232171628036494049e+00 6.629493590745401121e+00
14 1.627177011930372998e+02 2.537587803966628144e+02 9.163968456196935897e-01 8.053700246866528190e+00 8.413896452121466751e+00
15 1.571710613619936794e+02 2.560446349182464019e+02 9.086167031228783442e-01 8.728658180348123352e+00 9.104370811189154367e+00
16 1.708329143153152359e+02 2.354599241114742938e+02 9.179640887998230525e-01 7.111105094656487324e+00 7.566502740868873644e+00
17 1.705683049783925469e+02 2.504530017500373447e+02 1.237513203273067797e+00 7.572846990710033310e+00 7.923824581422891811e+00
18 1.478289713727625951e+02 2.608220128833993385e+02 9.872086725810107488e-01 6.509265565675151244e+00 6.740823950917487650e+00
19 1.597065430778625057e+02 2.376845128573671104e+02 1.293156283975327003e+00 5.903408202082361278e+00 6.154333895569912727e+00
20 1.631728902418731764e+02 2.493307150763783113e+02 1.041815868240860254e+00 6.888378109810338046e+00 7.081790431382049000e+00
21 1.589722950504636003e+02 2.449794984005591800e+02 1.358216889555477147e+00 6.118622849969066024e+00 6.376090912536959365e+00
22 1.574320970293633479e+02 2.202652877238746214e+02 1.398177714997558718e+00 6.848196734458761092e+00 7.142854717279458754e+00
23 1.320502522135454626e+02 2.584278087413212006e+02 1.476693963049506619e+00 1.226215067071322018e+01 1.302973890755063735e+01
24 1.605029921774262505e+02 2.200403555950863677e+02 1.343219756276391674e+00 6.755611027900503274e+00 7.128470626542493527e+00
25 1.514029126366498872e+02 2.424611914027766773e+02 1.309724896893989632e+00 6.128013374031009874e+00 6.386288371173450606e+00
26 1.523485092551509581e+02 2.275031178921474009e+02 1.373197414784443460e+00 1.103050497875930169e+01 1.173667746929775824e+01
27 1.760567471917547095e+02 2.537941743347061561e+02 1.434818646668524877e+00 1.044710675497970698e+01 1.092082611189994878e+01
28 1.899143384537665042e+02 2.262582243883490776e+02 1.376239114981448353e+00 1.016093907705791288e+01 1.084609428156044686e+01
