# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 162 2.376099248357071190e+02 8.888125147384153824e-01 7.078768765533631324e+00 7.575899641159977271e+00
1 149 2.449595769433680630e+02 9.333205830129264191e-01 8.673031843112456230e+00 9.012334729759853502e+00
2 134 2.327405261575834743e+02 8.898601811729670574e-01 8.627594224068246831e+00 9.012450270683666886e+00
3 153 2.647668289543385640e+02 8.855475500066694039e-01 8.378538692388492137e+00 8.796715309346948786e+00
4 151 2.269593393906082213e+02 9.437154582452662588e-01 8.331491565952356737e+00 9.008023229570216728e+00
5 148 2.504979755662143930e+02 8.505105076738268544e-01 1.010109170244607668e+01 1.091660944715873782e+01
6 181 2.448552874240732535e+02 1.084692010030435139e+00 1.012237531176536720e+01 1.004460516783582769e+01
7 159 2.252650672902436497e+02 1.103828174254287697e+00 7.656453330788790090e+00 8.237052089721421666e+00
8 152 2.127739083955320609e+02 1.251288754912234236e+00 8.971785227190117951e+00 9.372800349009123622e+00
9 154 1.881750054916708734e+02 1.137692994870682206e+00 1.669956104693764587e+01 1.045628920475900081e+01
10 180 2.071309376612732649e+02 1.340259770770677594e+00 1.189242657604685505e+01 1.265093017752389848e+01
11 154 2.055252301193048083e+02 1.279408598715834344e+00 1.135060869357447544e+01 1.252476204034175922e+01
12 161 2.391608464611284433e+02 1.085721368455308644e+00 8.990115395253747366e+00 9.259840934688918779e+00
13 170 1.959114432567610322e+02 1.150359888109186324e+00 9.313118528921314976e+00 9.848629488122796261e+00
14 159 2.233758793874929154e+02 1.040142745594622831e+00 9.244589075321774985e+00 8.834737675766278997e+00
15 148 2.002811058546245988e+02 1.261748660215480378e+00 1.288790037381820497e+01 1.320802187969179364e+01
16 167 2.283085046281406392e+02 1.068405466476745502e+00 8.849086438744377503e+00 9.448790758741681728e+00
17 162 2.288210584233929410e+02 8.836550474767537189e-01 8.915892920874684435e+00 9.330190897297848451e+00
18 211 2.097531883207052203e+02 1.325936035976201133e+00 1.483505919243645721e+01 1.256536270716964232e+01
19 140 2.488996843830404941e+02 8.254582118275202163e-01 8.451207160961402565e+00 8.605295234207062549e+00
20 146 2.324277032546634416e+02 1.183959883521339851e+00 8.611490625326963411e+00 9.263793027467142949e+00
21 157 2.366869053390689146e+02 1.004469828876159543e+00 8.562711780177780341e+00 9.165548435700838326e+00
22 149 2.523101934014453320e+02 9.881768723230550666e-01 1.009182548123857792e+01 1.078999743798331146e+01
23 168 2.257493537691618428e+02 8.855777736609361517e-01 7.428819557499953596e+00 7.782858935877142947e+00
24 151 2.232880258219127541e+02 9.210504132235400876e-01 9.987694006808624181e+00 9.833120643076913581e+00
25 162 2.491039781106725854e+02 8.818629777749601439e-01 8.636981662810866212e+00 8.562609742773599208e+00
26 153 2.384834686652431230e+02 1.204013293017564878e+00 9.423800815739918235e+00 9.905243036716921523e+00
27 173 2.354938462557542493e+02 8.632976404661734104e-01 8.650123482101331973e+00 9.092965068891816216e+00
28 157 2.495842709486804836e+02 8.743764930140688341e-01 8.697044723007859801e+00 9.234418748836608515e+00
29 159 2.343231933023254498e+02 1.159517757439537666e+00 9.476606985068912081e+00 9.965457313421770991e+00
30 170 2.107927431819600486e+02 1.103419528387340032e+00 8.329538075311420542e+00 8.375046634393005007e+00
31 157 2.258751627288597206e+02 9.073331050236876916e-01 9.225389774405655885e+00 9.846575964282262561e+00
32 140 2.341466037903866493e+02 8.957184744680324329e-01 8.285719140006161609e+00 9.041789738272287380e+00
33 153 2.317707405787895709e+02 9.069588965546478976e-01 9.552803856394142201e+00 1.020979175036555908e+01
34 149 2.242978700015444815e+02 1.161274078748381289e+00 9.362651362862097315e+00 9.140747916240707482e+00
35 161 2.307430103291958403e+02 9.193484527013660035e-01 9.811043348264613329e+00 1.032884236273443435e+01
36 160 2.083161975194072966e+02 1.330545247457444624e+00 1.044297104283637800e+01 1.125422922731953257e+01
37 135 2.316945646672406554e+02 1.053500854763218753e+00 8.406859075373494861e+00 8.696090078678567536e+00
38 161 2.163329991437973376e+02 1.113175786938485734e+00 1.786633072467852656e+01 1.007414063321389719e+01
39 175 2.248803792658705731e+02 1.027678702838888070e+00 9.039154284253086757e+00 8.716040319496601185e+00
40 162 2.268205121049366539e+02 1.260496363323553748e+00 8.610361651161149155e+00 9.274648622180873048e+00
41 189 2.171809335915421570e+02 1.242808905256299834e+00 1.227609228853166101e+01 1.236365263078262444e+01
42 132 2.283554220334031868e+02 1.343605129889858363e+00 2.721085049294684666e+01 1.576138378101733650e+01
43 160 2.164023620868817659e+02 1.183074764006895041e+00 9.267498774862877653e+00 8.666592280757697608e+00
44 161 2.160646510381307905e+02 1.346265911440847507e+00 8.378955224795294754e+00 8.369958037741421109e+00
45 140 2.364109950455190301e+02 1.381120580192749525e+00 2.168467314310361260e+01 1.380467567995991729e+01
46 164 2.244479972284003111e+02 1.316539009245258685e+00 1.202338487299893188e+01 1.242260835237861016e+01
47 156 2.117859724114613869e+02 1.389899383488732987e+00 1.110357036998787450e+01 1.120705572681914752e+01
