# y_px 	 x_px 	 Vorbin_Id
 20.000000  29.000000       15
 20.000000  30.000000       15
 20.000000  31.000000       18
 21.000000  26.000000       15
 21.000000  27.000000       15
 21.000000  28.000000       15
 21.000000  29.000000       15
 21.000000  30.000000       15
 21.000000  31.000000       18
 21.000000  32.000000       18
 21.000000  33.000000       18
 22.000000  25.000000       15
 22.000000  26.000000       15
 22.000000  27.000000       15
 22.000000  28.000000       15
 22.000000  29.000000       15
 22.000000  30.000000       18
 22.000000  31.000000       18
 22.000000  32.000000       18
 22.000000  33.000000       18
 22.000000  34.000000       18
 23.000000  24.000000       10
 23.000000  25.000000        9
 23.000000  26.000000       13
 23.000000  27.000000       13
 23.000000  28.000000       13
 23.000000  29.000000       13
 23.000000  30.000000       18
 23.000000  31.000000       18
 23.000000  32.000000       18
 23.000000  33.000000       18
 23.000000  34.000000       18
 23.000000  35.000000       41
 24.000000  23.000000       10
 24.000000  24.000000       10
 24.000000  25.000000        9
 24.000000  26.000000        9
 24.000000  27.000000       13
 24.000000  28.000000       13
 24.000000  29.000000       13
 24.000000  30.000000       16
 24.000000  31.000000       20
 24.000000  32.000000       20
 24.000000  33.000000       26
 24.000000  34.000000       41
 24.000000  35.000000       41
 25.000000  23.000000       10
 25.000000  24.000000       10
 25.000000  25.000000       10
 25.000000  26.000000        9
 25.000000  27.000000        9
 25.000000  28.000000       14
 25.000000  29.000000       14
 25.000000  30.000000       16
 25.000000  31.000000       20
 25.000000  32.000000       20
 25.000000  33.000000       26
 25.000000  34.000000       41
 25.000000  35.000000       41
 25.000000  36.000000       41
 26.000000  22.000000       10
 26.000000  23.000000       10
 26.000000  24.000000       10
 26.000000  25.000000       10
 26.000000  26.000000        9
 26.000000  27.000000        9
 26.000000  28.000000        4
 26.000000  29.000000       14
 26.000000  30.000000       16
 26.000000  31.000000       20
 26.000000  32.000000       26
 26.000000  33.000000       26
 26.000000  34.000000       41
 26.000000  35.000000       41
 26.000000  36.000000       41
 26.000000  37.000000       41
 27.000000  22.000000       10
 27.000000  23.000000       10
 27.000000  24.000000        8
 27.000000  25.000000        8
 27.000000  26.000000        8
 27.000000  27.000000        6
 27.000000  28.000000        4
 27.000000  29.000000        5
 27.000000  30.000000       17
 27.000000  31.000000       21
 27.000000  32.000000       21
 27.000000  33.000000       26
 27.000000  34.000000       26
 27.000000  35.000000       41
 27.000000  36.000000       41
 27.000000  37.000000       42
 28.000000  22.000000       11
 28.000000  23.000000       11
 28.000000  24.000000        8
 28.000000  25.000000        8
 28.000000  26.000000        8
 28.000000  27.000000        6
 28.000000  28.000000        2
 28.000000  29.000000        1
 28.000000  30.000000       19
 28.000000  31.000000       24
 28.000000  32.000000       29
 28.000000  33.000000       29
 28.000000  34.000000       29
 28.000000  35.000000       42
 28.000000  36.000000       42
 28.000000  37.000000       42
 29.000000  22.000000       11
 29.000000  23.000000       11
 29.000000  24.000000       11
 29.000000  25.000000        7
 29.000000  26.000000        7
 29.000000  27.000000        7
 29.000000  28.000000        3
 29.000000  29.000000        0
 29.000000  30.000000       23
 29.000000  31.000000       27
 29.000000  32.000000       34
 29.000000  33.000000       34
 29.000000  34.000000       34
 29.000000  35.000000       42
 29.000000  36.000000       42
 29.000000  37.000000       42
 30.000000  22.000000       11
 30.000000  23.000000       11
 30.000000  24.000000       11
 30.000000  25.000000       12
 30.000000  26.000000       12
 30.000000  27.000000       12
 30.000000  28.000000       22
 30.000000  29.000000       25
 30.000000  30.000000       28
 30.000000  31.000000       33
 30.000000  32.000000       40
 30.000000  33.000000       40
 30.000000  34.000000       40
 30.000000  35.000000       42
 30.000000  36.000000       42
 30.000000  37.000000       42
 31.000000  22.000000       11
 31.000000  23.000000       11
 31.000000  24.000000       11
 31.000000  25.000000       30
 31.000000  26.000000       30
 31.000000  27.000000       30
 31.000000  28.000000       31
 31.000000  29.000000       32
 31.000000  30.000000       35
 31.000000  31.000000       39
 31.000000  32.000000       39
 31.000000  33.000000       40
 31.000000  34.000000       40
 31.000000  35.000000       42
 31.000000  36.000000       42
 31.000000  37.000000       42
 32.000000  22.000000       36
 32.000000  23.000000       36
 32.000000  24.000000       36
 32.000000  25.000000       36
 32.000000  26.000000       30
 32.000000  27.000000       37
 32.000000  28.000000       37
 32.000000  29.000000       38
 32.000000  30.000000       38
 32.000000  31.000000       43
 32.000000  32.000000       43
 32.000000  33.000000       47
 32.000000  34.000000       47
 32.000000  35.000000       47
 32.000000  36.000000       47
 33.000000  22.000000       36
 33.000000  23.000000       36
 33.000000  24.000000       36
 33.000000  25.000000       36
 33.000000  26.000000       37
 33.000000  27.000000       37
 33.000000  28.000000       44
 33.000000  29.000000       44
 33.000000  30.000000       38
 33.000000  31.000000       43
 33.000000  32.000000       43
 33.000000  33.000000       47
 33.000000  34.000000       47
 33.000000  35.000000       47
 33.000000  36.000000       47
 34.000000  23.000000       36
 34.000000  24.000000       36
 34.000000  25.000000       36
 34.000000  26.000000       46
 34.000000  27.000000       44
 34.000000  28.000000       44
 34.000000  29.000000       44
 34.000000  30.000000       44
 34.000000  31.000000       43
 34.000000  32.000000       43
 34.000000  33.000000       47
 34.000000  34.000000       47
 34.000000  35.000000       47
 35.000000  23.000000       36
 35.000000  24.000000       36
 35.000000  25.000000       46
 35.000000  26.000000       46
 35.000000  27.000000       46
 35.000000  28.000000       44
 35.000000  29.000000       44
 35.000000  30.000000       45
 35.000000  31.000000       45
 35.000000  32.000000       45
 35.000000  33.000000       47
 35.000000  34.000000       47
 36.000000  24.000000       46
 36.000000  25.000000       46
 36.000000  26.000000       46
 36.000000  27.000000       46
 36.000000  28.000000       46
 36.000000  29.000000       45
 36.000000  30.000000       45
 36.000000  31.000000       45
 36.000000  32.000000       45
 36.000000  33.000000       45
 36.000000  34.000000       47
 37.000000  26.000000       46
 37.000000  27.000000       46
 37.000000  28.000000       46
 37.000000  29.000000       45
 37.000000  30.000000       45
 37.000000  31.000000       45
 37.000000  32.000000       45
 38.000000  27.000000       46
 38.000000  28.000000       46
 38.000000  29.000000       45
 38.000000  30.000000       45
