_RAJ2000,_DEJ2000,_r,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS12,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
135.803365,0.63907,0.013745,135.803365,0.63907,1,+,6,J090312.80+003820.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.80%2b003820.6,1999.2202,3,24.873,0.796,23.431,0.304,21.804,0.091,20.801,0.059,20.105,0.115,,,,
135.806407,0.640698,0.013805,135.806407,0.640698,1,,3,J090313.53+003826.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.53%2b003826.5,1999.2202,3,22.986,0.393,22.888,0.207,22.98,0.276,21.88,0.169,21.466,0.398,,0.8457,0.0686,0.7446
135.809819,0.644409,0.013757,135.809819,0.644409,1,,6,J090314.35+003839.8,,1999.2202,3,25.397,0.609,23.651,0.352,23.677,0.413,22.852,0.329,20.886,0.219,,,,
135.803352,0.639027,0.01378,135.803352,0.639027,2,,6,J090312.80+003820.4,,2000.34,1,24.178,1.05,23.323,0.319,21.879,0.133,20.81,0.065,20.126,0.137,,,,
135.806608,0.640781,0.013859,135.806608,0.640781,2,,3,J090313.58+003826.8,,2000.34,1,25.877,0.924,24.401,1.027,21.511,0.148,22.724,0.532,21.541,0.705,,,,
135.796034,0.638375,0.013622,135.796034,0.638375,2,,3,J090311.04+003818.1,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.04%2b003818.1,2000.9157,3,22.959,0.583,22.075,0.15,20.896,0.078,20.02,0.06,19.545,0.146,,,,
135.803316,0.639094,0.013705,135.803316,0.639094,2,,6,J090312.79+003820.7,,2000.9157,3,25.662,0.677,23.142,0.281,21.708,0.114,20.753,0.081,20.005,0.15,,,,
135.806421,0.640642,0.013859,135.806421,0.640642,2,,3,J090313.54+003826.3,,2000.9157,3,25.695,0.859,23.487,0.476,21.764,0.154,21.717,0.246,20.802,0.398,,,,
135.796091,0.638371,0.013617,135.796091,0.638371,2,,3,J090311.06+003818.1,,2006.8815,3,25.777,1.505,21.953,0.138,20.701,0.084,19.769,0.057,19.109,0.139,,,,
135.803338,0.639072,0.013733,135.803338,0.639072,2,,3,J090312.80+003820.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.80%2b003820.6,2006.8815,3,25.779,0.81,23.442,0.246,21.961,0.126,20.931,0.078,20.049,0.142,,,,
135.806393,0.640714,0.013784,135.806393,0.640714,2,,3,J090313.53+003826.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.53%2b003826.5,2006.8815,3,23.023,0.679,24.967,0.703,21.912,0.146,22.534,0.397,23.409,0.965,,,,
135.796697,0.658872,0.007217,135.796697,0.658872,1,+,6,J090311.20+003931.9,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.20%2b003931.9,1999.2202,3,17.806,0.01,16.277,0.004,15.721,0.004,15.512,0.004,15.425,0.005,,,,
135.797657,0.657746,0.005954,135.797657,0.657746,1,+,6,J090311.43+003927.8,,1999.2202,3,24.371,0.781,21.956,0.086,20.516,0.031,18.969,0.014,18.2,0.024,,,,
135.788861,0.659088,0.011855,135.788861,0.659088,1,+,6,J090309.32+003932.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090309.32%2b003932.7,1999.2202,3,19.799,0.031,18.634,0.008,18.166,0.007,17.988,0.008,17.954,0.02,,,,
135.789832,0.658451,0.010698,135.789832,0.658451,1,,6,J090309.55+003930.4,,1999.2202,3,21.822,0.236,26.047,0.902,24.659,1.217,24.543,1.323,22.284,1.106,,,,
135.801547,0.652386,0.003368,135.801547,0.652386,1,+,6,J090312.37+003908.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.37%2b003908.5,1999.2202,3,19.655,0.028,19.182,0.011,19.181,0.012,19.124,0.016,18.963,0.043,2.2545,,,
135.802967,0.654182,0.005296,135.802967,0.654182,1,+,3,J090312.71+003915.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.71%2b003915.0,1999.2202,3,22.721,0.502,21.363,0.083,19.941,0.032,19.314,0.029,18.999,0.077,,0.3257,0.0515,0.3184
135.800969,0.650981,0.002867,135.800969,0.650981,1,+,6,J090312.23+003903.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.23%2b003903.5,1999.2202,3,25.024,0.753,23.898,0.436,21.726,0.084,21.102,0.076,20.741,0.198,,,,
135.80055,0.654079,0.003241,135.80055,0.654079,1,+,6,J090312.13+003914.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.13%2b003914.6,1999.2202,3,22.9,0.34,22.637,0.158,22.019,0.111,21.353,0.097,20.558,0.173,,,,
135.804166,0.648722,0.006698,135.804166,0.648722,1,+,6,J090312.99+003855.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.99%2b003855.4,1999.2202,3,22.009,0.157,19.309,0.012,17.922,0.006,16.992,0.006,16.514,0.008,,,,
135.80393,0.650027,0.005978,135.80393,0.650027,1,,3,J090312.94+003900.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.94%2b003900.0,1999.2202,3,21.618,0.276,20.548,0.057,20.029,0.051,19.86,0.073,20.006,0.283,,0.1785,0.0595,0.1595
135.793267,0.652719,0.005041,135.793267,0.652719,1,+,6,J090310.38+003909.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.38%2b003909.7,1999.2202,3,22.435,0.225,20.289,0.023,19.006,0.011,18.422,0.01,18.084,0.022,,,,
135.793283,0.653597,0.005254,135.793283,0.653597,1,,3,J090310.38+003912.9,,1999.2202,3,24.998,0.742,24.268,0.557,23.252,0.301,21.781,0.136,21.98,0.496,,0.5667,0.1146,0.5502
135.793739,0.651145,0.004538,135.793739,0.651145,1,,6,J090310.49+003904.1,,1999.2202,3,24.522,0.838,24.197,0.555,23.903,0.515,22.297,0.224,22.205,0.596,,,,
135.791116,0.654577,0.007627,135.791116,0.654577,1,,3,J090309.86+003916.4,,1999.2202,3,22.134,0.222,25.719,0.794,25.007,0.859,24.013,0.907,21.921,0.656,,-9999.0,-9999.0,0.6266
135.798225,0.651815,4.0E-6,135.798225,0.651815,1,+,3,J090311.57+003906.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.57%2b003906.5,1999.2202,3,22.354,0.465,20.427,0.047,18.763,0.015,18.172,0.015,17.804,0.035,0.29972,0.3189,0.0204,0.3196
135.810031,0.651479,0.011808,135.810031,0.651479,1,+,6,J090314.40+003905.3,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090314.40%2b003905.3,1999.2202,3,23.304,0.438,20.762,0.032,19.329,0.013,18.558,0.011,18.157,0.023,,,,
135.785069,0.651312,0.013167,135.785069,0.651312,1,+,3,J090308.41+003904.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090308.41%2b003904.7,1999.2202,3,21.675,0.192,21.17,0.066,20.276,0.04,19.937,0.048,19.601,0.124,,0.3774,0.0818,0.3694
