# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
2.457807e-01 	 2.582503e+02 	 1.433125e+01
1.177132e+00 	 2.120853e+02 	 1.738770e+01
4.138236e-01 	 2.141685e+02 	 1.225845e+01
1.455401e+00 	 2.401024e+02 	 1.998206e+01
1.355586e+00 	 2.064721e+02 	 1.763585e+01
5.656854e-01 	 2.402748e+02 	 1.190578e+01
1.322224e+00 	 2.130106e+02 	 1.875844e+01
4.247448e-01 	 2.262095e+02 	 1.254602e+01
1.422548e+00 	 2.272535e+02 	 2.349561e+01
6.082763e-01 	 2.372842e+02 	 1.594143e+01
1.253527e+00 	 2.559395e+02 	 1.396438e+01
1.526151e+00 	 2.130586e+02 	 1.875581e+01
