# y_px 	 x_px 	 Vorbin_Id
 19.000000  28.000000       11
 19.000000  29.000000       11
 19.000000  30.000000       11
 19.000000  31.000000       11
 19.000000  32.000000       11
 20.000000  26.000000       11
 20.000000  27.000000       11
 20.000000  28.000000       11
 20.000000  29.000000       11
 20.000000  30.000000       11
 20.000000  31.000000       11
 20.000000  32.000000       11
 20.000000  33.000000       11
 20.000000  34.000000       11
 21.000000  25.000000       10
 21.000000  26.000000       10
 21.000000  27.000000       11
 21.000000  28.000000       11
 21.000000  29.000000       11
 21.000000  30.000000       11
 21.000000  31.000000       11
 21.000000  32.000000       11
 21.000000  33.000000       11
 21.000000  34.000000       11
 22.000000  23.000000       10
 22.000000  24.000000       10
 22.000000  25.000000       10
 22.000000  26.000000       10
 22.000000  27.000000       11
 22.000000  28.000000       11
 22.000000  29.000000       11
 22.000000  30.000000       11
 22.000000  31.000000       11
 22.000000  32.000000       11
 22.000000  33.000000       11
 22.000000  34.000000        8
 22.000000  35.000000        8
 22.000000  36.000000        8
 23.000000  23.000000       10
 23.000000  24.000000       10
 23.000000  25.000000       10
 23.000000  26.000000       10
 23.000000  27.000000       10
 23.000000  28.000000       11
 23.000000  29.000000       11
 23.000000  30.000000       11
 23.000000  31.000000       11
 23.000000  32.000000       11
 23.000000  33.000000       11
 23.000000  34.000000        8
 23.000000  35.000000        8
 23.000000  36.000000        8
 24.000000  22.000000       10
 24.000000  23.000000       10
 24.000000  24.000000       10
 24.000000  25.000000       10
 24.000000  26.000000       10
 24.000000  27.000000       10
 24.000000  28.000000       11
 24.000000  29.000000       11
 24.000000  30.000000       11
 24.000000  31.000000       11
 24.000000  32.000000       11
 24.000000  33.000000        8
 24.000000  34.000000        8
 24.000000  35.000000        8
 24.000000  36.000000        8
 24.000000  37.000000        8
 25.000000  22.000000       10
 25.000000  23.000000       10
 25.000000  24.000000       10
 25.000000  25.000000       10
 25.000000  26.000000       10
 25.000000  27.000000       10
 25.000000  28.000000       10
 25.000000  29.000000        9
 25.000000  30.000000        9
 25.000000  31.000000       11
 25.000000  32.000000        8
 25.000000  33.000000        8
 25.000000  34.000000        8
 25.000000  35.000000        8
 25.000000  36.000000        8
 25.000000  37.000000        8
 26.000000  21.000000       10
 26.000000  22.000000       10
 26.000000  23.000000       10
 26.000000  24.000000       10
 26.000000  25.000000       10
 26.000000  26.000000       10
 26.000000  27.000000       10
 26.000000  28.000000        9
 26.000000  29.000000        9
 26.000000  30.000000        9
 26.000000  31.000000        9
 26.000000  32.000000        8
 26.000000  33.000000        8
 26.000000  34.000000        8
 26.000000  35.000000        8
 26.000000  36.000000        8
 26.000000  37.000000        8
 26.000000  38.000000        8
 27.000000  21.000000        1
 27.000000  22.000000        1
