# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 1.496218194895884039e+02 2.388675785501935991e+02 9.195528377757314908e-01 8.477681656494063134e+00 8.553109634660053473e+00
1 1.315356423827693106e+02 2.583959873446292477e+02 1.103582528084425585e+00 8.284016933393150595e+00 8.471045878255786477e+00
2 1.427060334459284547e+02 2.416369754736435880e+02 1.134910971367469212e+00 7.552204661324872781e+00 7.583143064361291152e+00
3 1.575542064518404004e+02 2.507143354552261769e+02 1.076039122158954697e+00 8.201836259288057818e+00 8.506235649093492057e+00
4 1.438415401626767789e+02 2.393087066615702838e+02 1.316012051630552904e+00 7.901783405716335196e+00 7.972766952551413766e+00
5 1.549565275739736876e+02 2.089966427147342642e+02 1.301881752712938933e+00 1.106634035219618539e+01 9.214833450878215260e+00
6 1.569269585007604917e+02 2.488185128762132479e+02 1.229484810286401331e+00 7.653774712046132578e+00 7.709045015793431155e+00
7 1.481786015948215720e+02 1.997725411564348406e+02 1.503104413371643577e+00 1.057821813960619473e+01 1.150682431608555056e+01
8 1.585757381936699630e+02 2.429899820382083249e+02 1.391925279657137082e+00 9.003702386894454790e+00 8.945567988559920636e+00
9 1.559988842890240903e+02 2.164660386710913258e+02 1.420863054940483705e+00 1.073971263962780576e+01 1.135520788956104177e+01
10 1.595141725938410104e+02 2.594875009298978625e+02 1.114531878419598332e+00 9.539993733862626613e+00 9.848816896706869883e+00
11 1.414173409758400624e+02 2.293429386459653188e+02 1.333107338850484158e+00 6.487732308335587561e+00 6.955846678719928455e+00
12 1.383859397886239151e+02 2.442348401414762691e+02 1.644212998104527035e+00 1.158435655397119923e+01 1.163834592551716973e+01
13 1.493316478645874383e+02 2.641404855858879728e+02 1.070924914750474466e+00 7.685034905097826829e+00 7.925821269638581690e+00
14 1.614154375247440782e+02 2.167392873021060780e+02 1.312893415998726665e+00 7.789637183520599528e+00 8.037562202064586714e+00
15 1.413393619171876026e+02 2.267312790465986438e+02 1.133041096384532986e+00 7.957951666393483059e+00 8.402182048204531739e+00
16 1.610454023778263206e+02 2.367950604783269455e+02 8.989519729931134684e-01 8.150077687093506995e+00 8.776308845753174381e+00
17 1.418561842704144453e+02 2.524856514400376284e+02 9.922253430358490833e-01 7.413591139239689376e+00 7.686711355908767196e+00
18 1.552738706537097073e+02 2.451173589748804886e+02 1.061714270834579033e+00 8.017262075442747715e+00 8.426097865705898471e+00
19 1.557519867305137495e+02 2.252468927256345239e+02 1.337582616086597120e+00 8.580464543025065893e+00 7.182053217876593898e+00
20 1.592220306358754556e+02 2.496832621305381963e+02 1.253410547036716061e+00 7.294539942695442036e+00 7.457563712077242890e+00
21 1.500864485743383625e+02 2.398042338884287688e+02 1.202762823855687335e+00 7.422004459658066544e+00 7.797784408410023183e+00
22 1.878918555612328021e+02 2.329758010045149206e+02 1.370561364473409816e+00 1.164405487328827959e+01 1.209210326137062097e+01
23 1.685226382004352388e+02 2.582386245092005765e+02 1.381036758486396288e+00 1.207033463041083543e+01 1.236003954067988175e+01
24 1.476249169755461423e+02 2.347080763624247197e+02 1.374798535521166931e+00 8.308450549070345303e+00 8.589489787198671067e+00
25 1.408017240150867906e+02 2.050676634305576727e+02 1.395006599357580424e+00 8.801046174177310277e+00 9.414316817923385372e+00
26 1.351004770486737243e+02 2.382196900136648594e+02 1.382843900630521539e+00 1.358634589158234718e+01 1.396578633456213581e+01
27 1.470336992163222476e+02 2.572285574351491277e+02 1.441872170764143091e+00 1.232891416325617762e+01 1.262683908821014533e+01
