# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 1.405245287032713577e+02 2.455659951815812008e+02 1.085454422911570127e+00 6.947234254114662555e+00 6.934932407306938273e+00
1 1.458046835343776024e+02 2.370707508633587679e+02 1.426964681977311189e+00 6.232239994678295147e+00 6.186405176841240916e+00
2 1.533336341873192339e+02 2.424277070946319839e+02 1.291439770808612275e+00 6.305897593131281731e+00 6.743381823519623453e+00
3 1.476049429644736506e+02 2.495175670689132801e+02 1.343087942807401181e+00 6.385251236414339893e+00 6.210199359863735502e+00
4 1.481870832118533770e+02 2.323428767858407298e+02 1.375523292324033031e+00 9.099975280830829405e+00 9.460703105945990288e+00
5 1.508582477560405266e+02 2.271815450293694312e+02 1.522731476742269274e+00 9.665301093313045655e+00 9.583455510629940832e+00
6 1.421676328651807637e+02 2.282328917598962903e+02 1.449824601632844212e+00 6.817040590897147645e+00 6.728596454175283625e+00
7 1.511844868246147371e+02 2.355951666325026963e+02 1.495216264960472996e+00 9.978279708258321890e+00 1.028801638954672271e+01
8 1.523169607770318805e+02 2.380149668866385468e+02 1.377454038908855427e+00 6.243948284558956452e+00 6.309424657486840893e+00
9 1.477498839633640273e+02 2.491217788452023001e+02 1.040113210357292095e+00 6.714861842119474566e+00 7.156477158312870124e+00
10 1.595023901982781922e+02 2.425273551572616384e+02 1.561892709007429048e+00 5.595521844390389354e+00 5.720988972518385118e+00
11 1.309266805184758766e+02 2.256124713049516117e+02 1.436655091229598336e+00 8.894701337808308850e+00 9.368061287065208020e+00
12 1.545800083860195855e+02 2.377695271399979049e+02 1.283246191762259958e+00 5.660492847259847693e+00 6.025643293813670809e+00
13 1.596311387408274243e+02 2.426275933434438343e+02 1.308899469020496475e+00 6.079359430251562557e+00 6.333113880399088735e+00
14 1.462786596619783097e+02 2.475670629779795320e+02 1.379531028214082911e+00 9.437295709695051826e+00 9.788715469204909425e+00
15 1.532520084352136394e+02 1.872830525271398585e+02 1.470213578950719135e+00 8.438476883417155960e+00 8.969130813083360465e+00
16 1.821969979997854239e+02 2.479111648277041127e+02 1.467503746393813202e+00 1.050028214416471606e+01 1.113781006899202808e+01
