# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 1.405245287032713577e+02 2.455659951815812008e+02 1.085454422911570127e+00 6.947234254114662555e+00 6.934932407306938273e+00
1 1.456338648575266745e+02 2.315747911986665031e+02 1.403794785058923855e+00 5.987460508967568984e+00 5.987596417410913752e+00
2 1.525416332803199566e+02 2.441944530052163884e+02 1.291309033969447517e+00 6.238618999289577971e+00 6.674542832587577301e+00
3 1.476049429644736506e+02 2.495175670689132801e+02 1.343087942807401181e+00 6.385251236414339893e+00 6.210199359863735502e+00
4 1.552835756019426015e+02 2.087739767314972141e+02 1.397106621121193770e+00 8.748672228764572623e+00 9.248429903706160360e+00
5 1.494696321486190129e+02 2.326963488015855148e+02 1.489739536098075634e+00 9.418711587416215281e+00 9.881932937829349228e+00
6 1.421676328651807637e+02 2.282328917598962903e+02 1.449824601632844212e+00 6.817040590897147645e+00 6.728596454175283625e+00
7 1.509157802701762989e+02 2.335774968104668687e+02 1.501121646932578990e+00 9.822992998052532343e+00 1.023333547681598255e+01
8 1.523169607770318805e+02 2.380149668866385468e+02 1.377454038908855427e+00 6.243948284558956452e+00 6.309424657486840893e+00
9 1.477498839633640273e+02 2.491217788452023001e+02 1.040113210357292095e+00 6.714861842119474566e+00 7.156477158312870124e+00
10 1.595023901982781922e+02 2.425273551572616384e+02 1.561892709007429048e+00 5.595521844390389354e+00 5.720988972518385118e+00
11 1.309266805184758766e+02 2.256124713049516117e+02 1.436655091229598336e+00 8.894701337808308850e+00 9.368061287065208020e+00
12 1.569033595668991836e+02 2.408798409477909672e+02 1.286954768255558879e+00 5.939179133636189434e+00 6.273335350184256143e+00
13 1.561984358548841101e+02 2.450887953778124313e+02 1.287127045832380690e+00 6.197637605817695849e+00 6.472995414890686305e+00
14 1.365852214915593379e+02 2.438216965513997536e+02 1.394535365651196290e+00 9.523856121111368367e+00 9.639856963647588373e+00
15 1.581814753117853343e+02 2.167547272181897426e+02 1.438267728831376324e+00 9.236766137107414565e+00 9.666363196913547284e+00
16 1.864015967857330907e+02 2.477736191834866020e+02 1.499828375211247788e+00 1.209805256197058476e+01 1.280836363490048413e+01
