# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
1.000000e-01 	 2.455660e+02 	 1.025146e+01
4.242641e-01 	 2.316311e+02 	 6.224979e+00
3.399346e-01 	 2.444900e+02 	 7.396798e+00
2.981424e-01 	 2.496180e+02 	 7.909004e+00
1.160856e+00 	 2.092950e+02 	 6.550202e+00
1.249704e+00 	 2.328682e+02 	 6.258001e+00
6.449806e-01 	 2.282388e+02 	 8.701321e+00
1.484369e+00 	 2.338085e+02 	 6.275337e+00
5.215362e-01 	 2.383069e+02 	 6.590143e+00
2.236068e-01 	 2.492265e+02 	 9.375675e+00
5.656854e-01 	 2.432687e+02 	 1.136318e+01
1.341310e+00 	 2.258165e+02 	 9.492002e+00
5.315073e-01 	 2.414360e+02 	 1.001706e+01
6.000000e-01 	 2.455895e+02 	 9.768061e+00
1.284556e+00 	 2.438535e+02 	 6.080363e+00
1.401155e+00 	 2.174727e+02 	 6.446168e+00
1.525781e+00 	 2.519851e+02 	 6.675336e+00
