# y_px x_px signal noise
1.900000000000000000e+01 2.800000000000000000e+01 4.526635646820068359e+00 2.242308616638183594e+00
1.900000000000000000e+01 2.900000000000000000e+01 4.815150737762451172e+00 2.233399629592895508e+00
1.900000000000000000e+01 3.000000000000000000e+01 4.919028759002685547e+00 2.272640705108642578e+00
1.900000000000000000e+01 3.100000000000000000e+01 4.722842693328857422e+00 2.286760091781616211e+00
2.000000000000000000e+01 2.500000000000000000e+01 4.356204509735107422e+00 2.154483318328857422e+00
2.000000000000000000e+01 2.600000000000000000e+01 4.796610355377197266e+00 2.131965875625610352e+00
2.000000000000000000e+01 2.700000000000000000e+01 5.254515171051025391e+00 2.236727237701416016e+00
2.000000000000000000e+01 2.800000000000000000e+01 5.605241298675537109e+00 2.255698442459106445e+00
2.000000000000000000e+01 2.900000000000000000e+01 5.837259292602539062e+00 2.254022121429443359e+00
2.000000000000000000e+01 3.000000000000000000e+01 5.881903171539306641e+00 2.289563179016113281e+00
2.000000000000000000e+01 3.100000000000000000e+01 5.768590450286865234e+00 2.312516212463378906e+00
2.000000000000000000e+01 3.200000000000000000e+01 5.337534427642822266e+00 2.343953847885131836e+00
2.000000000000000000e+01 3.300000000000000000e+01 5.045292377471923828e+00 2.236787080764770508e+00
2.000000000000000000e+01 3.400000000000000000e+01 4.663099288940429688e+00 2.277279138565063477e+00
2.100000000000000000e+01 2.500000000000000000e+01 5.175825595855712891e+00 2.184543371200561523e+00
2.100000000000000000e+01 2.600000000000000000e+01 5.948482990264892578e+00 2.160677433013916016e+00
2.100000000000000000e+01 2.700000000000000000e+01 6.546689033508300781e+00 2.274382829666137695e+00
2.100000000000000000e+01 2.800000000000000000e+01 6.993906021118164062e+00 2.273613214492797852e+00
2.100000000000000000e+01 2.900000000000000000e+01 7.297650814056396484e+00 2.262310504913330078e+00
2.100000000000000000e+01 3.000000000000000000e+01 7.390098094940185547e+00 2.306440591812133789e+00
2.100000000000000000e+01 3.100000000000000000e+01 7.201665878295898438e+00 2.329437732696533203e+00
2.100000000000000000e+01 3.200000000000000000e+01 6.607368946075439453e+00 2.363906621932983398e+00
2.100000000000000000e+01 3.300000000000000000e+01 6.108513832092285156e+00 2.238089799880981445e+00
2.100000000000000000e+01 3.400000000000000000e+01 5.370415687561035156e+00 2.280482053756713867e+00
2.200000000000000000e+01 2.400000000000000000e+01 5.316145420074462891e+00 2.292296886444091797e+00
2.200000000000000000e+01 2.500000000000000000e+01 6.343574523925781250e+00 2.275896787643432617e+00
2.200000000000000000e+01 2.600000000000000000e+01 7.268877506256103516e+00 2.252307176589965820e+00
2.200000000000000000e+01 2.700000000000000000e+01 8.244280815124511719e+00 2.383978843688964844e+00
