# Vel [km/s] 	 Disp [km/s]
1.40995e+02 	 1.93604e+02
1.32727e+02 	 2.04955e+02
1.59985e+02 	 1.89444e+02
1.53408e+02 	 1.86634e+02
1.49560e+02 	 1.75335e+02
1.43957e+02 	 1.95462e+02
1.69133e+02 	 1.73819e+02
1.55337e+02 	 1.92515e+02
1.56766e+02 	 1.94522e+02
1.38630e+02 	 1.91747e+02
1.63573e+02 	 1.83345e+02
1.57700e+02 	 1.82883e+02
1.52433e+02 	 2.04054e+02
1.58186e+02 	 1.62195e+02
1.43047e+02 	 1.88093e+02
1.51930e+02 	 1.90930e+02
1.52388e+02 	 2.03555e+02
1.58623e+02 	 1.77095e+02
1.45920e+02 	 2.16671e+02
1.55949e+02 	 1.88851e+02
1.65332e+02 	 1.92720e+02
1.50223e+02 	 1.96485e+02
1.67369e+02 	 1.87400e+02
1.67450e+02 	 1.79432e+02
1.64038e+02 	 1.97020e+02
1.51678e+02 	 1.89399e+02
1.46568e+02 	 1.85110e+02
1.53561e+02 	 1.75622e+02
1.59825e+02 	 1.77723e+02
1.43846e+02 	 1.99391e+02
1.38056e+02 	 2.05619e+02
1.68523e+02 	 1.80212e+02
1.64266e+02 	 1.81771e+02
1.53579e+02 	 1.79868e+02
1.48768e+02 	 1.77864e+02
1.60631e+02 	 1.90314e+02
1.57341e+02 	 2.05402e+02
1.59650e+02 	 1.73491e+02
1.57418e+02 	 1.72785e+02
1.50837e+02 	 1.88337e+02
1.31678e+02 	 1.87727e+02
1.41682e+02 	 1.83910e+02
1.57503e+02 	 1.82203e+02
1.56395e+02 	 2.11643e+02
1.52200e+02 	 1.80917e+02
1.44456e+02 	 1.84945e+02
1.42816e+02 	 1.80702e+02
1.49906e+02 	 1.91777e+02
1.50144e+02 	 1.85936e+02
1.42693e+02 	 1.84707e+02
1.41494e+02 	 1.90756e+02
1.46437e+02 	 1.99860e+02
1.42077e+02 	 2.09326e+02
1.44259e+02 	 1.90747e+02
1.49117e+02 	 1.96063e+02
1.39658e+02 	 1.85452e+02
1.54324e+02 	 1.73551e+02
1.43852e+02 	 1.90448e+02
1.60518e+02 	 1.87677e+02
1.44554e+02 	 1.77768e+02
1.56269e+02 	 1.80038e+02
1.48321e+02 	 1.91657e+02
1.65879e+02 	 1.84373e+02
1.51965e+02 	 1.82977e+02
1.52896e+02 	 1.90797e+02
1.51034e+02 	 1.90906e+02
1.48749e+02 	 1.88890e+02
1.58584e+02 	 1.86420e+02
1.58344e+02 	 1.99992e+02
1.56282e+02 	 1.83567e+02
1.55782e+02 	 1.84141e+02
1.50769e+02 	 2.06264e+02
1.53471e+02 	 1.85102e+02
1.58172e+02 	 1.76806e+02
1.65919e+02 	 1.78366e+02
1.35192e+02 	 1.89096e+02
1.54525e+02 	 1.76693e+02
1.73619e+02 	 1.96969e+02
1.49494e+02 	 1.88515e+02
1.43900e+02 	 1.97294e+02
1.48765e+02 	 1.73725e+02
1.57008e+02 	 1.86750e+02
1.55147e+02 	 1.76661e+02
1.56632e+02 	 1.79659e+02
1.47130e+02 	 1.99982e+02
1.65486e+02 	 2.04519e+02
1.46723e+02 	 1.89014e+02
1.37496e+02 	 1.94913e+02
1.68280e+02 	 1.76635e+02
1.54858e+02 	 1.88220e+02
1.62001e+02 	 1.95186e+02
1.40475e+02 	 1.85736e+02
1.52028e+02 	 1.80714e+02
1.71435e+02 	 1.83167e+02
1.31623e+02 	 1.97177e+02
1.65822e+02 	 1.85897e+02
1.49331e+02 	 1.84593e+02
1.48522e+02 	 1.83011e+02
1.56121e+02 	 1.81075e+02
1.59424e+02 	 1.69778e+02
1.37609e+02 	 1.82058e+02
1.38421e+02 	 2.02077e+02
1.58022e+02 	 1.77669e+02
1.58818e+02 	 1.84394e+02
1.44525e+02 	 2.10658e+02
1.48684e+02 	 1.89336e+02
1.55174e+02 	 1.78459e+02
1.69336e+02 	 1.70671e+02
1.48554e+02 	 1.96805e+02
1.63813e+02 	 1.68467e+02
1.57874e+02 	 1.87313e+02
1.55771e+02 	 1.93420e+02
1.45473e+02 	 1.86635e+02
1.52907e+02 	 1.98967e+02
1.51997e+02 	 1.83719e+02
1.59695e+02 	 1.93415e+02
1.45343e+02 	 2.02421e+02
1.57634e+02 	 1.88835e+02
1.41579e+02 	 1.76169e+02
1.53691e+02 	 1.93455e+02
1.53236e+02 	 2.06417e+02
1.59100e+02 	 1.80720e+02
1.54904e+02 	 1.67415e+02
1.47452e+02 	 1.64106e+02
1.64950e+02 	 1.93733e+02
1.50025e+02 	 1.89090e+02
1.45075e+02 	 1.85090e+02
1.65743e+02 	 1.88639e+02
1.48299e+02 	 1.78826e+02
1.40784e+02 	 1.89186e+02
1.56914e+02 	 1.88431e+02
1.55321e+02 	 1.93447e+02
1.36062e+02 	 1.69170e+02
1.51568e+02 	 2.07921e+02
1.57633e+02 	 1.90547e+02
1.60202e+02 	 1.94813e+02
1.49918e+02 	 1.97172e+02
1.61095e+02 	 1.89988e+02
1.53839e+02 	 1.87516e+02
1.66757e+02 	 2.01815e+02
1.49686e+02 	 1.78978e+02
1.47003e+02 	 1.93021e+02
1.48166e+02 	 1.85710e+02
1.47354e+02 	 2.06525e+02
1.54158e+02 	 1.57212e+02
1.53010e+02 	 1.81809e+02
1.70517e+02 	 1.84565e+02
1.58014e+02 	 1.91305e+02
1.69097e+02 	 1.85208e+02
1.71224e+02 	 1.73963e+02
1.45881e+02 	 1.78289e+02
1.55834e+02 	 1.79400e+02
1.36472e+02 	 2.00490e+02
1.60756e+02 	 1.87260e+02
1.51945e+02 	 1.85394e+02
1.55535e+02 	 1.89326e+02
1.57167e+02 	 1.86188e+02
1.69670e+02 	 1.85526e+02
1.53002e+02 	 1.96060e+02
1.54178e+02 	 2.02232e+02
1.64826e+02 	 1.80989e+02
1.55518e+02 	 1.95724e+02
1.59935e+02 	 1.81563e+02
1.68414e+02 	 1.81619e+02
1.59412e+02 	 1.91605e+02
1.42490e+02 	 1.70543e+02
1.56290e+02 	 1.83805e+02
1.55382e+02 	 1.78642e+02
1.51694e+02 	 1.76978e+02
1.61954e+02 	 1.99289e+02
1.51482e+02 	 1.88077e+02
1.42835e+02 	 1.93671e+02
1.48959e+02 	 1.82581e+02
1.53673e+02 	 1.90244e+02
1.36761e+02 	 1.99328e+02
1.57512e+02 	 1.85012e+02
1.64444e+02 	 1.87856e+02
1.46731e+02 	 1.80052e+02
1.54909e+02 	 1.87224e+02
1.38617e+02 	 1.85515e+02
1.68609e+02 	 1.76464e+02
