# Vel [km/s] 	 Disp [km/s]
1.62676e+02 	 2.37407e+02
1.62349e+02 	 2.50498e+02
1.57050e+02 	 2.48584e+02
1.57202e+02 	 2.40065e+02
1.54062e+02 	 2.39412e+02
1.47816e+02 	 2.43712e+02
1.58336e+02 	 2.45230e+02
1.48049e+02 	 2.46383e+02
1.52021e+02 	 2.41057e+02
1.55806e+02 	 2.44115e+02
1.62317e+02 	 2.41015e+02
1.61613e+02 	 2.45327e+02
1.63778e+02 	 2.38803e+02
1.70964e+02 	 2.43222e+02
1.55001e+02 	 2.47772e+02
1.56853e+02 	 2.35205e+02
1.67382e+02 	 2.36257e+02
1.46628e+02 	 2.36840e+02
1.62567e+02 	 2.32227e+02
1.47355e+02 	 2.41323e+02
1.50769e+02 	 2.38157e+02
1.54920e+02 	 2.40898e+02
1.54810e+02 	 2.47442e+02
1.54900e+02 	 2.38735e+02
1.59244e+02 	 2.40964e+02
1.61182e+02 	 2.46419e+02
1.51691e+02 	 2.26093e+02
1.58069e+02 	 2.47343e+02
1.56649e+02 	 2.50167e+02
1.54261e+02 	 2.34834e+02
1.64127e+02 	 2.25547e+02
1.67354e+02 	 2.46220e+02
1.50574e+02 	 2.40910e+02
1.56532e+02 	 2.35784e+02
1.50229e+02 	 2.42773e+02
1.61177e+02 	 2.53509e+02
1.54983e+02 	 2.50903e+02
1.52033e+02 	 2.43854e+02
1.50955e+02 	 2.39046e+02
1.63253e+02 	 2.35581e+02
1.59377e+02 	 2.51023e+02
1.61540e+02 	 2.44815e+02
1.48348e+02 	 2.53795e+02
1.53792e+02 	 2.42459e+02
1.60446e+02 	 2.41178e+02
1.62443e+02 	 2.40695e+02
1.60532e+02 	 2.33085e+02
1.68580e+02 	 2.47858e+02
1.53073e+02 	 2.40872e+02
1.52914e+02 	 2.39972e+02
1.66306e+02 	 2.37281e+02
1.66339e+02 	 2.36713e+02
1.62151e+02 	 2.43181e+02
1.57901e+02 	 2.51745e+02
1.71618e+02 	 2.54010e+02
1.65647e+02 	 2.36448e+02
1.64635e+02 	 2.34909e+02
1.46270e+02 	 2.42368e+02
1.51125e+02 	 2.45890e+02
1.54082e+02 	 2.39200e+02
1.67474e+02 	 2.43953e+02
1.58106e+02 	 2.49261e+02
1.70261e+02 	 2.55162e+02
1.62531e+02 	 2.43061e+02
1.62254e+02 	 2.34483e+02
1.63939e+02 	 2.46102e+02
1.62062e+02 	 2.49222e+02
1.62609e+02 	 2.48757e+02
1.62581e+02 	 2.44155e+02
1.55387e+02 	 2.43424e+02
1.62124e+02 	 2.39119e+02
1.56431e+02 	 2.45573e+02
1.59935e+02 	 2.48823e+02
1.48996e+02 	 2.52336e+02
1.54054e+02 	 2.39233e+02
1.63462e+02 	 2.41228e+02
1.65170e+02 	 2.48473e+02
1.61504e+02 	 2.42668e+02
1.51390e+02 	 2.42184e+02
1.63182e+02 	 2.36544e+02
1.54121e+02 	 2.39459e+02
1.59673e+02 	 2.47251e+02
1.59275e+02 	 2.43306e+02
1.50180e+02 	 2.36826e+02
1.52902e+02 	 2.50971e+02
1.51439e+02 	 2.50886e+02
1.57290e+02 	 2.36198e+02
1.57891e+02 	 2.43383e+02
1.58034e+02 	 2.34376e+02
1.60598e+02 	 2.18707e+02
1.57973e+02 	 2.49551e+02
1.58603e+02 	 2.50595e+02
1.64154e+02 	 2.46427e+02
1.60834e+02 	 2.39043e+02
1.53758e+02 	 2.41177e+02
1.61158e+02 	 2.40026e+02
1.61313e+02 	 2.45258e+02
1.66534e+02 	 2.48862e+02
1.49471e+02 	 2.44647e+02
1.58890e+02 	 2.34635e+02
1.50384e+02 	 2.48676e+02
1.74357e+02 	 2.36589e+02
1.67110e+02 	 2.40484e+02
1.64188e+02 	 2.45154e+02
1.59666e+02 	 2.48715e+02
1.53538e+02 	 2.39632e+02
1.63557e+02 	 2.49686e+02
1.56482e+02 	 2.49093e+02
1.67483e+02 	 2.38665e+02
1.54837e+02 	 2.47536e+02
1.66329e+02 	 2.47360e+02
1.45529e+02 	 2.39439e+02
1.56406e+02 	 2.35727e+02
1.54584e+02 	 2.36943e+02
1.49486e+02 	 2.31303e+02
1.61302e+02 	 2.51663e+02
1.67039e+02 	 2.35887e+02
1.64551e+02 	 2.45253e+02
1.58711e+02 	 2.42307e+02
1.54410e+02 	 2.40505e+02
1.54447e+02 	 2.50853e+02
1.50724e+02 	 2.45758e+02
1.64298e+02 	 2.54748e+02
1.57620e+02 	 2.51001e+02
1.60898e+02 	 2.35194e+02
1.56950e+02 	 2.54027e+02
1.59234e+02 	 2.39021e+02
1.53828e+02 	 2.44010e+02
1.54715e+02 	 2.51212e+02
1.54625e+02 	 2.38592e+02
1.57160e+02 	 2.40045e+02
1.59590e+02 	 2.45295e+02
1.55301e+02 	 2.43502e+02
1.62527e+02 	 2.41982e+02
1.52697e+02 	 2.46866e+02
1.59430e+02 	 2.32409e+02
1.61133e+02 	 2.44151e+02
1.50846e+02 	 2.41138e+02
1.60892e+02 	 2.36185e+02
1.56103e+02 	 2.44664e+02
1.51683e+02 	 2.53834e+02
1.60673e+02 	 2.46790e+02
1.65328e+02 	 2.39157e+02
1.61204e+02 	 2.42801e+02
1.65665e+02 	 2.35177e+02
1.63725e+02 	 2.50450e+02
1.61675e+02 	 2.40756e+02
1.54710e+02 	 2.46046e+02
1.54140e+02 	 2.40103e+02
1.54354e+02 	 2.43050e+02
1.46358e+02 	 2.32215e+02
1.57581e+02 	 2.51250e+02
1.60097e+02 	 2.48850e+02
1.64914e+02 	 2.47874e+02
1.58326e+02 	 2.46985e+02
1.58457e+02 	 2.54650e+02
1.54185e+02 	 2.34816e+02
1.48805e+02 	 2.46863e+02
1.47012e+02 	 2.42493e+02
